date,district,rainfall_mm,temperature_c,weather_condition
2025-10-01,BENGALURU_URBAN,0.2,22.9,SUNNY
2025-10-02,BENGALURU_URBAN,1.5,22.6,SUNNY
2025-10-03,BENGALURU_URBAN,0.1,23.0,SUNNY
2025-10-04,BENGALURU_URBAN,0.5,20.2,SUNNY
2025-10-05,BENGALURU_URBAN,0.1,22.6,SUNNY
2025-10-06,BENGALURU_URBAN,1.0,22.7,SUNNY
2025-10-07,BENGALURU_URBAN,0.7,21.8,SUNNY
2025-10-08,BENGALURU_URBAN,0.6,21.2,SUNNY
2025-10-09,BENGALURU_URBAN,0.8,21.8,SUNNY
2025-10-10,BENGALURU_URBAN,0.0,20.3,SUNNY
2025-10-11,BENGALURU_URBAN,0.1,21.2,SUNNY
2025-10-12,BENGALURU_URBAN,0.1,22.1,SUNNY
2025-10-13,BENGALURU_URBAN,0.3,20.8,SUNNY
2025-10-14,BENGALURU_URBAN,0.3,21.9,SUNNY
2025-10-15,BENGALURU_URBAN,0.6,21.8,SUNNY
2025-10-16,BENGALURU_URBAN,0.8,22.5,SUNNY
2025-10-17,BENGALURU_URBAN,1.2,23.2,SUNNY
2025-10-18,BENGALURU_URBAN,0.3,24.2,SUNNY
2025-10-19,BENGALURU_URBAN,0.3,23.6,SUNNY
2025-10-20,BENGALURU_URBAN,0.7,21.6,SUNNY
2025-10-21,BENGALURU_URBAN,0.2,23.4,SUNNY
2025-10-22,BENGALURU_URBAN,1.3,23.2,SUNNY
2025-10-23,BENGALURU_URBAN,0.0,22.5,SUNNY
2025-10-24,BENGALURU_URBAN,0.8,22.7,SUNNY
2025-10-25,BENGALURU_URBAN,1.5,20.8,SUNNY
2025-10-26,BENGALURU_URBAN,0.1,22.7,SUNNY
2025-10-27,BENGALURU_URBAN,0.3,24.0,SUNNY
2025-10-28,BENGALURU_URBAN,0.4,22.6,SUNNY
2025-10-29,BENGALURU_URBAN,1.7,21.2,SUNNY
2025-10-30,BENGALURU_URBAN,0.9,21.3,SUNNY
2025-10-31,BENGALURU_URBAN,0.3,21.1,SUNNY
2025-11-01,BENGALURU_URBAN,0.2,23.5,SUNNY
2025-11-02,BENGALURU_URBAN,0.1,21.9,SUNNY
2025-11-03,BENGALURU_URBAN,1.1,23.5,SUNNY
2025-11-04,BENGALURU_URBAN,1.0,21.4,SUNNY
2025-11-05,BENGALURU_URBAN,0.3,24.1,SUNNY
2025-11-06,BENGALURU_URBAN,0.2,24.2,SUNNY
2025-11-07,BENGALURU_URBAN,0.1,22.9,SUNNY
2025-11-08,BENGALURU_URBAN,0.2,22.2,SUNNY
2025-11-09,BENGALURU_URBAN,0.1,23.5,SUNNY
2025-11-10,BENGALURU_URBAN,0.2,22.5,SUNNY
2025-11-11,BENGALURU_URBAN,0.2,23.4,SUNNY
2025-11-12,BENGALURU_URBAN,0.0,22.6,SUNNY
2025-11-13,BENGALURU_URBAN,0.1,25.5,SUNNY
2025-11-14,BENGALURU_URBAN,0.2,23.0,SUNNY
2025-11-15,BENGALURU_URBAN,0.6,24.2,SUNNY
2025-11-16,BENGALURU_URBAN,0.2,24.3,SUNNY
2025-11-17,BENGALURU_URBAN,0.5,25.3,SUNNY
2025-11-18,BENGALURU_URBAN,0.3,24.6,SUNNY
2025-11-19,BENGALURU_URBAN,0.3,23.9,SUNNY
2025-11-20,BENGALURU_URBAN,0.1,23.7,SUNNY
2025-11-21,BENGALURU_URBAN,0.6,25.7,SUNNY
2025-11-22,BENGALURU_URBAN,0.3,23.0,SUNNY
2025-11-23,BENGALURU_URBAN,0.1,22.5,SUNNY
2025-11-24,BENGALURU_URBAN,0.0,22.8,SUNNY
2025-11-25,BENGALURU_URBAN,0.0,25.5,SUNNY
2025-11-26,BENGALURU_URBAN,0.1,22.8,SUNNY
2025-11-27,BENGALURU_URBAN,0.2,23.0,SUNNY
2025-11-28,BENGALURU_URBAN,0.7,25.8,SUNNY
2025-11-29,BENGALURU_URBAN,0.1,24.0,SUNNY
2025-11-30,BENGALURU_URBAN,0.7,23.3,SUNNY
2025-12-01,BENGALURU_URBAN,0.5,26.9,SUNNY
2025-12-02,BENGALURU_URBAN,0.0,24.2,SUNNY
2025-12-03,BENGALURU_URBAN,0.8,26.9,SUNNY
2025-12-04,BENGALURU_URBAN,0.1,27.1,SUNNY
2025-12-05,BENGALURU_URBAN,0.4,24.7,SUNNY
2025-12-06,BENGALURU_URBAN,0.1,24.1,SUNNY
2025-12-07,BENGALURU_URBAN,0.1,25.9,SUNNY
2025-12-08,BENGALURU_URBAN,0.1,25.9,SUNNY
2025-12-09,BENGALURU_URBAN,0.0,27.5,SUNNY
2025-12-10,BENGALURU_URBAN,0.6,25.4,SUNNY
2025-12-11,BENGALURU_URBAN,0.6,24.2,SUNNY
2025-12-12,BENGALURU_URBAN,0.4,26.6,SUNNY
2025-12-13,BENGALURU_URBAN,1.2,25.8,SUNNY
2025-12-14,BENGALURU_URBAN,0.8,25.4,SUNNY
2025-12-15,BENGALURU_URBAN,0.9,25.5,SUNNY
2025-12-16,BENGALURU_URBAN,0.5,25.9,SUNNY
2025-12-17,BENGALURU_URBAN,0.0,27.2,SUNNY
2025-12-18,BENGALURU_URBAN,1.7,28.0,SUNNY
2025-12-19,BENGALURU_URBAN,1.0,28.4,SUNNY
2025-12-20,BENGALURU_URBAN,0.9,25.7,SUNNY
2025-12-21,BENGALURU_URBAN,0.0,28.4,SUNNY
2025-12-22,BENGALURU_URBAN,0.1,28.5,SUNNY
2025-12-23,BENGALURU_URBAN,0.5,25.6,SUNNY
2025-12-24,BENGALURU_URBAN,0.0,27.3,SUNNY
2025-12-25,BENGALURU_URBAN,0.0,28.3,SUNNY
2025-12-26,BENGALURU_URBAN,0.3,27.4,SUNNY
2025-12-27,BENGALURU_URBAN,0.3,29.0,SUNNY
2025-12-28,BENGALURU_URBAN,0.4,28.0,SUNNY
2025-12-29,BENGALURU_URBAN,1.8,27.0,SUNNY
2025-12-30,BENGALURU_URBAN,0.0,26.2,SUNNY
2025-12-31,BENGALURU_URBAN,1.2,27.5,SUNNY
2026-01-01,BENGALURU_URBAN,1.3,29.9,SUNNY
2026-01-02,BENGALURU_URBAN,0.8,26.5,SUNNY
2026-01-03,BENGALURU_URBAN,0.1,29.4,SUNNY
2026-01-04,BENGALURU_URBAN,0.3,29.9,SUNNY
2026-01-05,BENGALURU_URBAN,1.8,30.2,SUNNY
2026-01-06,BENGALURU_URBAN,0.8,27.1,SUNNY
2026-01-07,BENGALURU_URBAN,0.2,27.8,SUNNY
2026-01-08,BENGALURU_URBAN,0.7,27.0,SUNNY
2026-01-09,BENGALURU_URBAN,0.1,29.2,SUNNY
2026-01-10,BENGALURU_URBAN,0.2,28.5,SUNNY
2026-01-11,BENGALURU_URBAN,0.3,29.1,SUNNY
2026-01-12,BENGALURU_URBAN,0.1,27.7,SUNNY
2026-01-13,BENGALURU_URBAN,0.2,28.1,SUNNY
2026-01-14,BENGALURU_URBAN,0.4,29.0,SUNNY
2026-01-15,BENGALURU_URBAN,0.3,28.1,SUNNY
2026-01-16,BENGALURU_URBAN,0.5,31.0,SUNNY
2026-01-17,BENGALURU_URBAN,0.1,28.1,SUNNY
2026-01-18,BENGALURU_URBAN,0.3,28.3,SUNNY
2026-01-19,BENGALURU_URBAN,0.4,30.2,SUNNY
2026-01-20,BENGALURU_URBAN,0.1,31.1,SUNNY
2026-01-21,BENGALURU_URBAN,0.2,29.6,SUNNY
2026-01-22,BENGALURU_URBAN,0.4,28.3,SUNNY
2026-01-23,BENGALURU_URBAN,1.1,31.6,SUNNY
2026-01-24,BENGALURU_URBAN,1.0,29.4,SUNNY
2026-01-25,BENGALURU_URBAN,0.0,30.2,SUNNY
2026-01-26,BENGALURU_URBAN,1.3,31.9,SUNNY
2026-01-27,BENGALURU_URBAN,0.6,29.8,SUNNY
2026-01-28,BENGALURU_URBAN,0.0,29.9,SUNNY
2026-01-29,BENGALURU_URBAN,0.8,32.8,SUNNY
2026-01-30,BENGALURU_URBAN,0.1,32.7,SUNNY
2026-01-31,BENGALURU_URBAN,0.3,32.7,SUNNY
2026-02-01,BENGALURU_URBAN,0.5,29.9,SUNNY
2026-02-02,BENGALURU_URBAN,0.4,29.8,SUNNY
2026-02-03,BENGALURU_URBAN,0.3,30.7,SUNNY
2026-02-04,BENGALURU_URBAN,1.8,31.1,SUNNY
2026-02-05,BENGALURU_URBAN,0.8,33.0,SUNNY
2026-02-06,BENGALURU_URBAN,0.0,31.9,SUNNY
2026-02-07,BENGALURU_URBAN,0.2,31.4,SUNNY
2026-02-08,BENGALURU_URBAN,0.9,30.2,SUNNY
2026-02-09,BENGALURU_URBAN,0.1,33.0,SUNNY
2026-02-10,BENGALURU_URBAN,0.1,33.1,SUNNY
2026-02-11,BENGALURU_URBAN,2.4,31.6,CLOUDY
2026-02-12,BENGALURU_URBAN,0.0,32.5,SUNNY
2026-02-13,BENGALURU_URBAN,0.1,30.7,SUNNY
2026-02-14,BENGALURU_URBAN,1.8,33.8,SUNNY
2026-02-15,BENGALURU_URBAN,0.6,32.7,SUNNY
2026-02-16,BENGALURU_URBAN,0.2,33.2,SUNNY
2026-02-17,BENGALURU_URBAN,0.1,32.2,SUNNY
2026-02-18,BENGALURU_URBAN,0.1,32.2,SUNNY
2026-02-19,BENGALURU_URBAN,0.1,31.6,SUNNY
2026-02-20,BENGALURU_URBAN,0.1,31.4,SUNNY
2026-02-21,BENGALURU_URBAN,0.3,33.4,SUNNY
2026-02-22,BENGALURU_URBAN,0.0,32.8,SUNNY
2026-02-23,BENGALURU_URBAN,1.6,33.1,SUNNY
2026-02-24,BENGALURU_URBAN,0.8,32.8,SUNNY
2026-02-25,BENGALURU_URBAN,0.4,34.6,SUNNY
2026-02-26,BENGALURU_URBAN,0.6,34.0,SUNNY
2026-02-27,BENGALURU_URBAN,0.1,31.2,SUNNY
2025-09-01,MYSURU,1.0,21.3,SUNNY
2025-09-02,MYSURU,0.8,22.8,SUNNY
2025-09-03,MYSURU,0.8,24.7,SUNNY
2025-09-04,MYSURU,1.9,22.3,SUNNY
2025-09-05,MYSURU,1.7,20.7,SUNNY
2025-09-06,MYSURU,0.3,21.4,SUNNY
2025-09-07,MYSURU,5.0,24.3,CLOUDY
2025-09-08,MYSURU,0.1,24.4,SUNNY
2025-09-09,MYSURU,1.6,22.3,SUNNY
2025-09-10,MYSURU,0.7,23.0,SUNNY
2025-09-11,MYSURU,3.2,22.1,CLOUDY
2025-09-12,MYSURU,9.0,23.0,CLOUDY
2025-09-13,MYSURU,2.7,21.8,CLOUDY
2025-09-14,MYSURU,2.4,22.2,CLOUDY
2025-09-15,MYSURU,1.3,22.4,SUNNY
2025-09-16,MYSURU,1.9,21.0,SUNNY
2025-09-17,MYSURU,0.8,22.2,SUNNY
2025-09-18,MYSURU,0.5,20.4,SUNNY
2025-09-19,MYSURU,2.5,20.2,CLOUDY
2025-09-20,MYSURU,0.3,21.2,SUNNY
2025-09-21,MYSURU,1.1,22.3,SUNNY
2025-09-22,MYSURU,3.9,23.1,CLOUDY
2025-09-23,MYSURU,0.7,20.3,SUNNY
2025-09-24,MYSURU,1.7,20.5,SUNNY
2025-09-25,MYSURU,3.0,20.4,CLOUDY
2025-09-26,MYSURU,0.3,22.4,SUNNY
2025-09-27,MYSURU,5.1,23.9,CLOUDY
2025-09-28,MYSURU,3.5,21.9,CLOUDY
2025-09-29,MYSURU,2.0,21.1,CLOUDY
2025-09-30,MYSURU,2.9,22.2,CLOUDY
2025-10-01,MYSURU,1.5,22.2,SUNNY
2025-10-02,MYSURU,1.2,20.7,SUNNY
2025-10-03,MYSURU,0.1,23.0,SUNNY
2025-10-04,MYSURU,1.7,21.9,SUNNY
2025-10-05,MYSURU,0.5,21.0,SUNNY
2025-10-06,MYSURU,0.0,23.8,SUNNY
2025-10-07,MYSURU,0.3,22.5,SUNNY
2025-10-08,MYSURU,1.0,21.2,SUNNY
2025-10-09,MYSURU,0.7,23.9,SUNNY
2025-10-10,MYSURU,0.2,20.7,SUNNY
2025-10-11,MYSURU,0.7,21.1,SUNNY
2025-10-12,MYSURU,0.3,22.9,SUNNY
2025-10-13,MYSURU,0.3,21.3,SUNNY
2025-10-14,MYSURU,0.0,23.9,SUNNY
2025-10-15,MYSURU,0.2,23.5,SUNNY
2025-10-16,MYSURU,0.9,21.2,SUNNY
2025-10-17,MYSURU,0.1,23.4,SUNNY
2025-10-18,MYSURU,0.1,20.9,SUNNY
2025-10-19,MYSURU,1.4,21.6,SUNNY
2025-10-20,MYSURU,0.5,20.5,SUNNY
2025-10-21,MYSURU,0.5,22.2,SUNNY
2025-10-22,MYSURU,1.1,22.7,SUNNY
2025-10-23,MYSURU,0.6,21.6,SUNNY
2025-10-24,MYSURU,0.2,21.5,SUNNY
2025-10-25,MYSURU,0.5,23.8,SUNNY
2025-10-26,MYSURU,0.6,23.3,SUNNY
2025-10-27,MYSURU,0.4,23.9,SUNNY
2025-10-28,MYSURU,0.8,21.5,SUNNY
2025-10-29,MYSURU,0.1,22.1,SUNNY
2025-10-30,MYSURU,0.1,24.5,SUNNY
2025-10-31,MYSURU,0.3,24.4,SUNNY
2025-11-01,MYSURU,0.1,23.0,SUNNY
2025-11-02,MYSURU,0.3,22.3,SUNNY
2025-11-03,MYSURU,0.5,24.1,SUNNY
2025-11-04,MYSURU,0.3,21.2,SUNNY
2025-11-05,MYSURU,0.2,23.4,SUNNY
2025-11-06,MYSURU,0.2,23.1,SUNNY
2025-11-07,MYSURU,0.2,24.7,SUNNY
2025-11-08,MYSURU,0.7,23.7,SUNNY
2025-11-09,MYSURU,1.3,21.8,SUNNY
2025-11-10,MYSURU,0.6,23.7,SUNNY
2025-11-11,MYSURU,0.2,24.1,SUNNY
2025-11-12,MYSURU,0.5,25.4,SUNNY
2025-11-13,MYSURU,0.1,22.8,SUNNY
2025-11-14,MYSURU,0.0,23.6,SUNNY
2025-11-15,MYSURU,0.3,21.8,SUNNY
2025-11-16,MYSURU,0.8,22.9,SUNNY
2025-11-17,MYSURU,0.6,24.1,SUNNY
2025-11-18,MYSURU,0.9,22.2,SUNNY
2025-11-19,MYSURU,0.2,25.2,SUNNY
2025-11-20,MYSURU,1.3,22.2,SUNNY
2025-11-21,MYSURU,0.1,24.3,SUNNY
2025-11-22,MYSURU,0.7,23.8,SUNNY
2025-11-23,MYSURU,0.1,25.1,SUNNY
2025-11-24,MYSURU,0.5,25.4,SUNNY
2025-11-25,MYSURU,0.3,25.3,SUNNY
2025-11-26,MYSURU,0.1,23.2,SUNNY
2025-11-27,MYSURU,0.4,22.9,SUNNY
2025-11-28,MYSURU,1.2,26.0,SUNNY
2025-11-29,MYSURU,0.0,26.1,SUNNY
2025-11-30,MYSURU,1.0,23.5,SUNNY
2025-12-01,MYSURU,0.4,26.1,SUNNY
2025-12-02,MYSURU,0.2,24.2,SUNNY
2025-12-03,MYSURU,0.8,24.8,SUNNY
2025-12-04,MYSURU,0.5,23.5,SUNNY
2025-12-05,MYSURU,0.7,26.7,SUNNY
2025-12-06,MYSURU,2.0,24.6,SUNNY
2025-12-07,MYSURU,0.0,25.4,SUNNY
2025-12-08,MYSURU,0.8,26.4,SUNNY
2025-12-09,MYSURU,0.1,24.3,SUNNY
2025-12-10,MYSURU,0.8,25.8,SUNNY
2025-12-11,MYSURU,0.3,25.9,SUNNY
2025-12-12,MYSURU,0.1,24.1,SUNNY
2025-12-13,MYSURU,0.7,24.4,SUNNY
2025-12-14,MYSURU,0.4,26.2,SUNNY
2025-12-15,MYSURU,0.2,27.2,SUNNY
2025-12-16,MYSURU,0.8,26.0,SUNNY
2025-12-17,MYSURU,0.5,26.7,SUNNY
2025-12-18,MYSURU,0.5,28.2,SUNNY
2025-12-19,MYSURU,0.3,26.9,SUNNY
2025-12-20,MYSURU,0.9,25.5,SUNNY
2025-12-21,MYSURU,0.1,26.5,SUNNY
2025-12-22,MYSURU,0.4,27.2,SUNNY
2025-12-23,MYSURU,0.3,28.8,SUNNY
2025-12-24,MYSURU,0.2,27.4,SUNNY
2025-12-25,MYSURU,0.3,27.3,SUNNY
2025-12-26,MYSURU,2.1,26.5,CLOUDY
2025-12-27,MYSURU,0.0,26.4,SUNNY
2025-12-28,MYSURU,0.4,28.8,SUNNY
2025-12-29,MYSURU,0.7,27.8,SUNNY
2025-12-30,MYSURU,0.5,26.8,SUNNY
2025-12-31,MYSURU,0.1,27.6,SUNNY
2026-01-01,MYSURU,1.9,28.3,SUNNY
2026-01-02,MYSURU,0.2,27.4,SUNNY
2026-01-03,MYSURU,0.0,27.3,SUNNY
2026-01-04,MYSURU,0.5,28.3,SUNNY
2026-01-05,MYSURU,0.4,29.9,SUNNY
2026-01-06,MYSURU,0.2,30.5,SUNNY
2026-01-07,MYSURU,0.3,29.6,SUNNY
2026-01-08,MYSURU,0.4,29.0,SUNNY
2026-01-09,MYSURU,0.2,30.5,SUNNY
2026-01-10,MYSURU,0.1,27.9,SUNNY
2026-01-11,MYSURU,1.3,30.2,SUNNY
2026-01-12,MYSURU,0.1,27.4,SUNNY
2026-01-13,MYSURU,0.1,30.4,SUNNY
2026-01-14,MYSURU,1.1,28.2,SUNNY
2026-01-15,MYSURU,1.0,28.4,SUNNY
2026-01-16,MYSURU,0.4,29.1,SUNNY
2026-01-17,MYSURU,0.4,27.9,SUNNY
2026-01-18,MYSURU,0.3,29.2,SUNNY
2026-01-19,MYSURU,0.5,30.2,SUNNY
2026-01-20,MYSURU,0.4,31.9,SUNNY
2026-01-21,MYSURU,0.3,29.5,SUNNY
2026-01-22,MYSURU,0.3,30.1,SUNNY
2026-01-23,MYSURU,0.1,31.1,SUNNY
2026-01-24,MYSURU,0.4,31.0,SUNNY
2026-01-25,MYSURU,1.0,30.5,SUNNY
2026-01-26,MYSURU,0.7,29.2,SUNNY
2026-01-27,MYSURU,1.2,30.0,SUNNY
2026-01-28,MYSURU,0.4,31.4,SUNNY
2026-01-29,MYSURU,0.1,31.0,SUNNY
2026-01-30,MYSURU,1.6,32.1,SUNNY
2026-01-31,MYSURU,0.2,33.0,SUNNY
2026-02-01,MYSURU,0.4,32.4,SUNNY
2026-02-02,MYSURU,3.3,31.8,CLOUDY
2026-02-03,MYSURU,0.0,31.3,SUNNY
2026-02-04,MYSURU,0.9,31.4,SUNNY
2026-02-05,MYSURU,0.7,29.5,SUNNY
2026-02-06,MYSURU,0.1,29.6,SUNNY
2026-02-07,MYSURU,1.5,32.7,SUNNY
2026-02-08,MYSURU,4.2,30.7,CLOUDY
2026-02-09,MYSURU,0.4,33.8,SUNNY
2026-02-10,MYSURU,0.1,31.4,SUNNY
2026-02-11,MYSURU,0.1,30.1,SUNNY
2026-02-12,MYSURU,0.9,33.4,SUNNY
2026-02-13,MYSURU,0.4,33.7,SUNNY
2026-02-14,MYSURU,0.2,32.7,SUNNY
2026-02-15,MYSURU,1.2,32.1,SUNNY
2026-02-16,MYSURU,0.3,33.9,SUNNY
2026-02-17,MYSURU,0.0,32.7,SUNNY
2026-02-18,MYSURU,0.4,33.3,SUNNY
2026-02-19,MYSURU,0.6,34.2,SUNNY
2026-02-20,MYSURU,0.0,34.4,SUNNY
2026-02-21,MYSURU,0.5,34.3,SUNNY
2026-02-22,MYSURU,0.0,31.1,SUNNY
2026-02-23,MYSURU,1.4,32.7,SUNNY
2026-02-24,MYSURU,0.1,33.9,SUNNY
2026-02-25,MYSURU,0.3,33.8,SUNNY
2026-02-26,MYSURU,0.3,32.7,SUNNY
2026-02-27,MYSURU,0.4,33.8,SUNNY
2025-09-01,TUMAKURU,6.9,22.3,CLOUDY
2025-09-02,TUMAKURU,1.4,24.2,SUNNY
2025-09-03,TUMAKURU,2.0,23.1,CLOUDY
2025-09-04,TUMAKURU,2.2,22.9,CLOUDY
2025-09-05,TUMAKURU,0.0,24.3,SUNNY
2025-09-06,TUMAKURU,3.8,24.4,CLOUDY
2025-09-07,TUMAKURU,0.7,20.8,SUNNY
2025-09-08,TUMAKURU,1.1,24.1,SUNNY
2025-09-09,TUMAKURU,1.1,24.3,SUNNY
2025-09-10,TUMAKURU,1.7,23.6,SUNNY
2025-09-11,TUMAKURU,4.7,23.9,CLOUDY
2025-09-12,TUMAKURU,1.9,20.9,SUNNY
2025-09-13,TUMAKURU,0.0,20.9,SUNNY
2025-09-14,TUMAKURU,3.3,20.6,CLOUDY
2025-09-15,TUMAKURU,6.2,24.2,CLOUDY
2025-09-16,TUMAKURU,2.9,23.7,CLOUDY
2025-09-17,TUMAKURU,0.2,21.8,SUNNY
2025-09-18,TUMAKURU,8.7,22.1,CLOUDY
2025-09-19,TUMAKURU,6.0,23.4,CLOUDY
2025-09-20,TUMAKURU,3.8,23.8,CLOUDY
2025-09-21,TUMAKURU,2.2,21.0,CLOUDY
2025-09-22,TUMAKURU,0.8,20.5,SUNNY
2025-09-23,TUMAKURU,4.1,23.0,CLOUDY
2025-09-24,TUMAKURU,0.2,21.0,SUNNY
2025-09-25,TUMAKURU,10.9,21.5,RAINY
2025-09-26,TUMAKURU,0.1,23.5,SUNNY
2025-09-27,TUMAKURU,6.1,21.6,CLOUDY
2025-09-28,TUMAKURU,0.8,23.1,SUNNY
2025-09-29,TUMAKURU,0.5,20.9,SUNNY
2025-09-30,TUMAKURU,3.4,21.3,CLOUDY
2025-10-01,TUMAKURU,0.7,22.2,SUNNY
2025-10-02,TUMAKURU,0.4,20.6,SUNNY
2025-10-03,TUMAKURU,0.3,20.1,SUNNY
2025-10-04,TUMAKURU,0.4,21.2,SUNNY
2025-10-05,TUMAKURU,0.6,20.8,SUNNY
2025-10-06,TUMAKURU,0.2,23.8,SUNNY
2025-10-07,TUMAKURU,0.6,21.5,SUNNY
2025-10-08,TUMAKURU,0.2,23.1,SUNNY
2025-10-09,TUMAKURU,0.8,20.7,SUNNY
2025-10-10,TUMAKURU,1.2,20.5,SUNNY
2025-10-11,TUMAKURU,0.2,20.7,SUNNY
2025-10-12,TUMAKURU,0.1,21.3,SUNNY
2025-10-13,TUMAKURU,0.1,21.5,SUNNY
2025-10-14,TUMAKURU,0.6,22.3,SUNNY
2025-10-15,TUMAKURU,0.7,20.3,SUNNY
2025-10-16,TUMAKURU,0.1,21.2,SUNNY
2025-10-17,TUMAKURU,1.3,21.0,SUNNY
2025-10-18,TUMAKURU,0.2,20.5,SUNNY
2025-10-19,TUMAKURU,0.3,20.4,SUNNY
2025-10-20,TUMAKURU,0.1,23.9,SUNNY
2025-10-21,TUMAKURU,0.3,23.9,SUNNY
2025-10-22,TUMAKURU,0.3,22.6,SUNNY
2025-10-23,TUMAKURU,0.1,22.8,SUNNY
2025-10-24,TUMAKURU,0.4,22.5,SUNNY
2025-10-25,TUMAKURU,0.4,22.5,SUNNY
2025-10-26,TUMAKURU,1.8,22.2,SUNNY
2025-10-27,TUMAKURU,0.4,23.9,SUNNY
2025-10-28,TUMAKURU,0.4,23.8,SUNNY
2025-10-29,TUMAKURU,0.1,24.6,SUNNY
2025-10-30,TUMAKURU,0.2,23.0,SUNNY
2025-10-31,TUMAKURU,0.1,23.6,SUNNY
2025-11-01,TUMAKURU,0.6,24.7,SUNNY
2025-11-02,TUMAKURU,1.2,23.5,SUNNY
2025-11-03,TUMAKURU,1.3,22.9,SUNNY
2025-11-04,TUMAKURU,0.1,21.2,SUNNY
2025-11-05,TUMAKURU,0.2,24.6,SUNNY
2025-11-06,TUMAKURU,0.1,22.6,SUNNY
2025-11-07,TUMAKURU,0.3,24.9,SUNNY
2025-11-08,TUMAKURU,0.1,21.9,SUNNY
2025-11-09,TUMAKURU,0.0,22.6,SUNNY
2025-11-10,TUMAKURU,0.2,22.9,SUNNY
2025-11-11,TUMAKURU,0.4,22.0,SUNNY
2025-11-12,TUMAKURU,0.2,22.9,SUNNY
2025-11-13,TUMAKURU,0.5,24.0,SUNNY
2025-11-14,TUMAKURU,0.1,22.6,SUNNY
2025-11-15,TUMAKURU,0.4,21.9,SUNNY
2025-11-16,TUMAKURU,0.7,25.2,SUNNY
2025-11-17,TUMAKURU,0.6,25.1,SUNNY
2025-11-18,TUMAKURU,0.5,25.6,SUNNY
2025-11-19,TUMAKURU,0.2,24.2,SUNNY
2025-11-20,TUMAKURU,1.3,23.7,SUNNY
2025-11-21,TUMAKURU,0.1,24.9,SUNNY
2025-11-22,TUMAKURU,0.4,23.5,SUNNY
2025-11-23,TUMAKURU,0.1,24.9,SUNNY
2025-11-24,TUMAKURU,0.1,22.5,SUNNY
2025-11-25,TUMAKURU,0.2,24.8,SUNNY
2025-11-26,TUMAKURU,0.3,23.6,SUNNY
2025-11-27,TUMAKURU,1.0,23.5,SUNNY
2025-11-28,TUMAKURU,0.4,26.3,SUNNY
2025-11-29,TUMAKURU,0.1,24.6,SUNNY
2025-11-30,TUMAKURU,1.7,23.7,SUNNY
2025-12-01,TUMAKURU,0.5,23.8,SUNNY
2025-12-02,TUMAKURU,0.2,25.0,SUNNY
2025-12-03,TUMAKURU,0.3,24.3,SUNNY
2025-12-04,TUMAKURU,1.1,25.4,SUNNY
2025-12-05,TUMAKURU,0.0,25.5,SUNNY
2025-12-06,TUMAKURU,0.2,25.4,SUNNY
2025-12-07,TUMAKURU,0.8,24.8,SUNNY
2025-12-08,TUMAKURU,0.6,24.3,SUNNY
2025-12-09,TUMAKURU,0.6,24.0,SUNNY
2025-12-10,TUMAKURU,0.9,25.4,SUNNY
2025-12-11,TUMAKURU,1.2,24.8,SUNNY
2025-12-12,TUMAKURU,0.5,27.2,SUNNY
2025-12-13,TUMAKURU,0.5,26.8,SUNNY
2025-12-14,TUMAKURU,0.1,26.0,SUNNY
2025-12-15,TUMAKURU,1.0,25.3,SUNNY
2025-12-16,TUMAKURU,1.3,26.5,SUNNY
