fps_id,cycle,commodity,stockout_flag,stockout_days,shortage_kg
FPS-0318,2025-12,RICE,1,7,171
FPS-0318,2025-12,WHEAT,1,2,106
FPS-0318,2025-06,WHEAT,1,5,117
FPS-0087,2025-12,RICE,1,3,214
FPS-0087,2025-10,WHEAT,1,6,215
FPS-0386,2025-12,RICE,1,5,114
FPS-0244,2025-12,RICE,1,4,222
FPS-0586,2025-01,RICE,1,7,212
FPS-0586,2025-01,WHEAT,1,2,107
FPS-0586,2025-06,RICE,1,7,378
FPS-0529,2025-12,RICE,1,4,110
FPS-0417,2025-02,RICE,1,2,384
FPS-0221,2025-09,RICE,1,2,230
FPS-0221,2025-01,RICE,1,4,394
FPS-0424,2025-04,WHEAT,1,3,220
FPS-0424,2025-02,RICE,1,4,219
FPS-0424,2025-02,WHEAT,1,7,176
FPS-0333,2025-12,WHEAT,1,6,144
FPS-0399,2025-12,RICE,1,3,151
FPS-0399,2025-12,WHEAT,1,6,163
FPS-0399,2025-02,RICE,1,6,194
FPS-0399,2025-02,WHEAT,1,5,378
FPS-0399,2025-09,RICE,1,2,500
FPS-0135,2025-03,RICE,1,2,513
FPS-0135,2025-09,WHEAT,1,5,595
FPS-0135,2025-04,RICE,1,5,322
FPS-0135,2025-04,WHEAT,1,3,333
FPS-0041,2025-01,RICE,1,4,248
FPS-0041,2025-01,WHEAT,1,5,176
FPS-0576,2025-01,WHEAT,1,3,438
FPS-0491,2025-05,RICE,1,3,360
FPS-0491,2025-09,RICE,1,7,282
FPS-0093,2025-07,RICE,1,7,574
FPS-0598,2025-06,RICE,1,4,370
FPS-0598,2025-06,WHEAT,1,4,171
FPS-0598,2025-03,RICE,1,2,593
FPS-0435,2025-08,RICE,1,5,100
FPS-0435,2025-07,RICE,1,2,591
FPS-0435,2025-07,WHEAT,1,2,377
FPS-0495,2025-03,RICE,1,2,566
FPS-0495,2025-08,WHEAT,1,6,570
FPS-0495,2025-04,RICE,1,7,574
FPS-0495,2025-04,WHEAT,1,2,120
FPS-0593,2025-02,RICE,1,1,489
FPS-0593,2025-02,WHEAT,1,3,430
FPS-0449,2025-04,RICE,1,2,118
FPS-0449,2025-04,WHEAT,1,7,204
FPS-0439,2025-03,RICE,1,7,441
FPS-0439,2025-03,WHEAT,1,5,350
FPS-0263,2025-10,RICE,1,1,522
FPS-0263,2025-09,RICE,1,2,400
FPS-0263,2025-09,WHEAT,1,1,438
FPS-0263,2025-05,RICE,1,1,312
FPS-0263,2025-05,WHEAT,1,1,174
FPS-0484,2025-07,RICE,1,4,179
FPS-0484,2025-07,WHEAT,1,7,211
FPS-0484,2025-01,WHEAT,1,6,280
FPS-0484,2025-10,RICE,1,3,347
FPS-0484,2025-10,WHEAT,1,5,535
FPS-0562,2025-10,RICE,1,5,334
FPS-0562,2025-10,WHEAT,1,6,458
FPS-0562,2025-01,RICE,1,6,521
FPS-0562,2025-01,WHEAT,1,6,492
FPS-0562,2025-03,RICE,1,5,214
FPS-0562,2025-03,WHEAT,1,3,296
FPS-0092,2025-06,RICE,1,5,471
FPS-0498,2025-05,RICE,1,5,497
FPS-0498,2025-05,WHEAT,1,3,227
FPS-0272,2025-06,RICE,1,1,546
FPS-0545,2025-11,RICE,1,6,513
FPS-0545,2025-11,WHEAT,1,6,426
FPS-0545,2025-01,WHEAT,1,2,559
FPS-0099,2025-01,WHEAT,1,2,139
FPS-0294,2025-01,WHEAT,1,7,560
FPS-0294,2025-09,RICE,1,2,479
FPS-0294,2025-09,WHEAT,1,1,535
FPS-0458,2025-01,RICE,1,4,463
FPS-0458,2025-01,WHEAT,1,3,136
FPS-0490,2025-02,RICE,1,1,224
FPS-0490,2025-02,WHEAT,1,5,316
FPS-0490,2025-03,WHEAT,1,7,100
FPS-0247,2025-09,WHEAT,1,2,431
FPS-0247,2025-07,RICE,1,2,130
FPS-0247,2025-07,WHEAT,1,4,231
FPS-0247,2025-04,WHEAT,1,7,514
FPS-0383,2025-12,RICE,1,1,503
FPS-0471,2025-07,RICE,1,1,325
FPS-0471,2025-07,WHEAT,1,7,544
FPS-0471,2025-04,RICE,1,6,452
FPS-0471,2025-10,RICE,1,2,190
FPS-0471,2025-10,WHEAT,1,6,225
FPS-0224,2025-03,RICE,1,7,553
FPS-0224,2025-10,RICE,1,1,221
FPS-0224,2025-10,WHEAT,1,1,396
FPS-0074,2025-04,RICE,1,6,163
FPS-0465,2025-12,RICE,1,3,388
FPS-0465,2025-12,WHEAT,1,3,226
FPS-0438,2025-10,RICE,1,2,571
FPS-0438,2025-10,WHEAT,1,5,416
FPS-0438,2025-07,RICE,1,1,500
FPS-0438,2025-07,WHEAT,1,7,550
FPS-0438,2025-01,WHEAT,1,3,539
FPS-0381,2025-09,WHEAT,1,3,249
FPS-0381,2025-05,RICE,1,4,506
FPS-0381,2025-05,WHEAT,1,5,335
FPS-0180,2025-03,RICE,1,3,531
FPS-0180,2025-03,WHEAT,1,5,356
FPS-0032,2025-04,RICE,1,3,537
FPS-0453,2025-08,WHEAT,1,2,140
FPS-0453,2025-07,WHEAT,1,5,443
FPS-0336,2025-08,RICE,1,7,179
FPS-0336,2025-08,WHEAT,1,5,238
FPS-0572,2025-02,RICE,1,4,168
FPS-0572,2025-02,WHEAT,1,4,290
FPS-0572,2025-10,RICE,1,7,314
FPS-0302,2025-10,WHEAT,1,6,528
FPS-0302,2025-07,RICE,1,2,355
FPS-0302,2025-04,RICE,1,5,355
FPS-0518,2025-07,RICE,1,5,235
FPS-0518,2025-07,WHEAT,1,5,201
FPS-0518,2025-06,RICE,1,2,191
FPS-0013,2025-01,RICE,1,5,415
FPS-0013,2025-01,WHEAT,1,4,540
FPS-0008,2025-08,RICE,1,4,461
FPS-0008,2025-08,WHEAT,1,5,584
FPS-0008,2025-11,RICE,1,4,510
FPS-0577,2025-02,WHEAT,1,1,494
FPS-0577,2025-06,RICE,1,7,257
FPS-0577,2025-07,RICE,1,6,114
FPS-0577,2025-07,WHEAT,1,7,274
FPS-0248,2025-12,RICE,1,2,333
FPS-0248,2025-12,WHEAT,1,3,277
FPS-0248,2025-09,RICE,1,1,553
FPS-0051,2025-06,WHEAT,1,7,417
FPS-0011,2025-10,RICE,1,4,272
FPS-0011,2025-02,RICE,1,7,584
FPS-0011,2025-02,WHEAT,1,4,495
FPS-0037,2025-04,RICE,1,7,206
FPS-0037,2025-04,WHEAT,1,6,389
FPS-0521,2025-11,RICE,1,2,241
FPS-0521,2025-11,WHEAT,1,7,557
FPS-0521,2025-09,RICE,1,7,294
FPS-0521,2025-09,WHEAT,1,2,449
FPS-0138,2025-01,RICE,1,2,525
FPS-0138,2025-02,RICE,1,3,121
FPS-0215,2025-10,RICE,1,3,205
FPS-0215,2025-01,RICE,1,6,101
FPS-0215,2025-08,RICE,1,4,226
FPS-0216,2025-02,RICE,1,2,276
FPS-0216,2025-02,WHEAT,1,5,573
FPS-0140,2025-01,WHEAT,1,6,349
FPS-0172,2025-11,WHEAT,1,5,161
FPS-0358,2025-04,WHEAT,1,7,191
FPS-0358,2025-08,WHEAT,1,1,401
FPS-0493,2025-03,RICE,1,6,445
FPS-0493,2025-11,RICE,1,1,278
FPS-0496,2025-10,RICE,1,2,174
FPS-0534,2025-03,WHEAT,1,6,137
FPS-0534,2025-04,WHEAT,1,2,341
FPS-0534,2025-12,WHEAT,1,5,386
FPS-0039,2025-11,WHEAT,1,1,316
FPS-0537,2025-02,RICE,1,6,185
FPS-0537,2025-02,WHEAT,1,2,466
FPS-0537,2025-10,RICE,1,3,137
FPS-0425,2025-06,RICE,1,7,279
FPS-0425,2025-06,WHEAT,1,2,293
FPS-0425,2025-12,RICE,1,4,257
FPS-0251,2025-08,RICE,1,6,375
FPS-0251,2025-08,WHEAT,1,4,182
FPS-0251,2025-10,RICE,1,6,134
FPS-0251,2025-10,WHEAT,1,6,160
FPS-0133,2025-07,WHEAT,1,5,108
FPS-0189,2025-07,WHEAT,1,3,203
FPS-0178,2025-02,RICE,1,6,430
FPS-0178,2025-02,WHEAT,1,5,392
FPS-0178,2025-11,RICE,1,1,500
FPS-0178,2025-11,WHEAT,1,5,545
FPS-0258,2025-08,RICE,1,1,453
FPS-0258,2025-04,RICE,1,3,354
FPS-0543,2025-11,WHEAT,1,3,317
FPS-0543,2025-12,RICE,1,2,254
FPS-0589,2025-11,RICE,1,1,526
FPS-0068,2025-09,RICE,1,5,221
FPS-0068,2025-09,WHEAT,1,1,240
FPS-0367,2025-06,RICE,1,5,474
FPS-0367,2025-02,RICE,1,3,301
FPS-0367,2025-02,WHEAT,1,2,424
FPS-0330,2025-01,RICE,1,3,269
FPS-0330,2025-01,WHEAT,1,4,323
FPS-0330,2025-03,WHEAT,1,1,520
FPS-0330,2025-08,WHEAT,1,4,313
FPS-0243,2025-12,RICE,1,1,156
FPS-0214,2025-01,RICE,1,4,159
FPS-0214,2025-01,WHEAT,1,5,355
FPS-0214,2025-08,RICE,1,1,130
FPS-0214,2025-08,WHEAT,1,6,545
FPS-0583,2025-05,RICE,1,6,438
FPS-0555,2025-07,RICE,1,6,453
FPS-0555,2025-07,WHEAT,1,5,249
FPS-0555,2025-04,WHEAT,1,5,231
FPS-0207,2025-06,RICE,1,6,162
FPS-0207,2025-05,RICE,1,5,102
FPS-0128,2025-05,WHEAT,1,5,256
FPS-0128,2025-03,RICE,1,6,203
FPS-0128,2025-03,WHEAT,1,7,161
FPS-0128,2025-12,RICE,1,2,315
FPS-0459,2025-06,RICE,1,3,122
FPS-0459,2025-09,RICE,1,1,336
FPS-0043,2025-05,RICE,1,3,554
FPS-0043,2025-05,WHEAT,1,6,517
FPS-0043,2025-06,RICE,1,4,198
FPS-0063,2025-07,WHEAT,1,5,118
FPS-0297,2025-03,RICE,1,2,406
FPS-0297,2025-11,RICE,1,1,533
FPS-0297,2025-11,WHEAT,1,3,208
FPS-0452,2025-04,RICE,1,1,360
FPS-0452,2025-04,WHEAT,1,4,367
FPS-0452,2025-10,RICE,1,2,245
FPS-0494,2025-01,WHEAT,1,5,176
FPS-0389,2025-05,RICE,1,1,264
FPS-0389,2025-05,WHEAT,1,5,456
FPS-0187,2025-02,RICE,1,4,112
FPS-0114,2025-09,WHEAT,1,3,200
FPS-0296,2025-05,RICE,1,7,479
FPS-0296,2025-12,RICE,1,4,525
FPS-0296,2025-12,WHEAT,1,2,269
FPS-0296,2025-08,RICE,1,2,528
FPS-0296,2025-08,WHEAT,1,4,434
FPS-0149,2025-05,WHEAT,1,5,228
FPS-0475,2025-04,RICE,1,6,139
FPS-0475,2025-04,WHEAT,1,7,153
FPS-0475,2025-11,WHEAT,1,6,354
FPS-0223,2025-02,RICE,1,2,312
FPS-0223,2025-02,WHEAT,1,6,441
FPS-0223,2025-01,RICE,1,3,573
FPS-0223,2025-01,WHEAT,1,2,581
FPS-0464,2025-10,RICE,1,7,519
FPS-0464,2025-10,WHEAT,1,2,218
FPS-0464,2025-12,RICE,1,4,448
FPS-0525,2025-09,WHEAT,1,4,295
FPS-0525,2025-10,RICE,1,1,419
FPS-0525,2025-10,WHEAT,1,7,309
FPS-0525,2025-12,RICE,1,3,218
FPS-0228,2025-08,RICE,1,5,275
FPS-0228,2025-08,WHEAT,1,7,381
FPS-0127,2025-09,RICE,1,6,493
FPS-0127,2025-09,WHEAT,1,3,250
FPS-0455,2025-07,RICE,1,3,592
FPS-0455,2025-07,WHEAT,1,2,105
FPS-0455,2025-08,WHEAT,1,4,348
FPS-0455,2025-02,RICE,1,3,399
FPS-0201,2025-04,WHEAT,1,7,398
FPS-0036,2025-06,RICE,1,7,281
FPS-0036,2025-04,RICE,1,4,341
FPS-0036,2025-04,WHEAT,1,4,371
FPS-0574,2025-04,RICE,1,6,131
FPS-0096,2025-01,RICE,1,7,168
FPS-0096,2025-01,WHEAT,1,6,420
FPS-0096,2025-10,RICE,1,4,164
FPS-0096,2025-10,WHEAT,1,6,308
FPS-0509,2025-12,RICE,1,2,436
FPS-0507,2025-10,WHEAT,1,4,152
FPS-0507,2025-11,RICE,1,6,154
FPS-0507,2025-11,WHEAT,1,4,133
FPS-0322,2025-07,RICE,1,5,106
FPS-0322,2025-07,WHEAT,1,4,504
FPS-0322,2025-05,WHEAT,1,1,257
FPS-0322,2025-12,RICE,1,5,526
FPS-0322,2025-12,WHEAT,1,4,179
FPS-0348,2025-02,WHEAT,1,4,204
FPS-0348,2025-04,RICE,1,1,229
FPS-0348,2025-04,WHEAT,1,7,506
FPS-0378,2025-01,RICE,1,4,429
FPS-0378,2025-01,WHEAT,1,7,339
FPS-0378,2025-11,WHEAT,1,4,585
FPS-0169,2025-01,RICE,1,6,368
FPS-0169,2025-01,WHEAT,1,4,465
FPS-0169,2025-07,RICE,1,3,108
FPS-0169,2025-07,WHEAT,1,4,130
FPS-0052,2025-04,RICE,1,5,383
FPS-0052,2025-08,RICE,1,5,544
FPS-0354,2025-08,RICE,1,3,204
FPS-0354,2025-08,WHEAT,1,6,360
FPS-0447,2025-05,WHEAT,1,3,122
FPS-0447,2025-08,WHEAT,1,1,410
FPS-0124,2025-11,RICE,1,1,413
FPS-0145,2025-09,WHEAT,1,7,162
FPS-0145,2025-03,WHEAT,1,5,362
FPS-0531,2025-02,RICE,1,3,597
FPS-0578,2025-06,WHEAT,1,3,531
FPS-0578,2025-04,WHEAT,1,7,259
FPS-0431,2025-07,RICE,1,4,121
FPS-0470,2025-11,WHEAT,1,1,564
FPS-0102,2025-01,WHEAT,1,3,117
FPS-0102,2025-07,RICE,1,6,113
FPS-0102,2025-07,WHEAT,1,4,451
FPS-0205,2025-12,RICE,1,1,192
FPS-0311,2025-12,RICE,1,3,240
FPS-0311,2025-12,WHEAT,1,4,217
FPS-0311,2025-07,WHEAT,1,4,429
FPS-0025,2025-09,RICE,1,3,347
FPS-0025,2025-09,WHEAT,1,5,177
FPS-0290,2025-04,WHEAT,1,3,598
FPS-0524,2025-06,RICE,1,3,177
FPS-0524,2025-06,WHEAT,1,7,324
FPS-0403,2025-09,WHEAT,1,5,110
FPS-0195,2025-07,RICE,1,5,250
FPS-0195,2025-07,WHEAT,1,4,499
FPS-0195,2025-03,RICE,1,4,146
FPS-0597,2025-08,RICE,1,4,275
FPS-0113,2025-03,WHEAT,1,7,365
FPS-0113,2025-08,RICE,1,4,408
FPS-0113,2025-08,WHEAT,1,6,186
FPS-0396,2025-06,RICE,1,1,346
FPS-0396,2025-06,WHEAT,1,1,268
FPS-0396,2025-03,RICE,1,1,306
FPS-0396,2025-03,WHEAT,1,1,326
FPS-0112,2025-02,RICE,1,2,464
