route_id,manifest_id,vehicle_id,warehouse_id,stop_sequence,fps_id,latitude,longitude,distance_from_previous_km,eta_minutes,route_status
RT-0000066,MAN-000006,VEH-0077,WH-002,3,FPS-0152,12.212922,76.468282,33.72,74,PLANNED
RT-0000067,MAN-000006,VEH-0077,WH-002,4,FPS-0227,12.052485,76.633838,25.34,55,PLANNED
RT-0000068,MAN-000006,VEH-0077,WH-002,4,FPS-0227,12.052485,76.633838,25.34,55,PLANNED
RT-0000069,MAN-000006,VEH-0077,WH-002,5,FPS-0477,12.169732,76.524413,17.65,38,PLANNED
RT-0000070,MAN-000006,VEH-0077,WH-002,5,FPS-0477,12.169732,76.524413,17.65,38,PLANNED
RT-0000071,MAN-000006,VEH-0077,WH-002,6,FPS-0252,12.152537,76.638926,12.59,27,PLANNED
RT-0000072,MAN-000006,VEH-0077,WH-002,6,FPS-0252,12.152537,76.638926,12.59,27,PLANNED
RT-0000073,MAN-000007,VEH-0127,WH-002,1,FPS-0402,12.020309,76.636463,10.6,23,DRAFT
RT-0000074,MAN-000007,VEH-0127,WH-002,1,FPS-0402,12.020309,76.636463,10.6,23,DRAFT
RT-0000075,MAN-000007,VEH-0127,WH-002,2,FPS-0002,12.130101,76.464161,22.36,49,DRAFT
RT-0000076,MAN-000007,VEH-0127,WH-002,2,FPS-0002,12.130101,76.464161,22.36,49,DRAFT
RT-0000077,MAN-000007,VEH-0127,WH-002,3,FPS-0377,12.210284,76.652631,22.34,49,DRAFT
RT-0000078,MAN-000007,VEH-0127,WH-002,3,FPS-0377,12.210284,76.652631,22.34,49,DRAFT
RT-0000079,MAN-000007,VEH-0127,WH-002,4,FPS-0352,12.110416,76.572282,14.13,31,DRAFT
RT-0000080,MAN-000007,VEH-0127,WH-002,4,FPS-0352,12.110416,76.572282,14.13,31,DRAFT
RT-0000081,MAN-000007,VEH-0127,WH-002,5,FPS-0027,12.203743,76.742832,21.25,46,DRAFT
RT-0000082,MAN-000007,VEH-0127,WH-002,5,FPS-0027,12.203743,76.742832,21.25,46,DRAFT
RT-0000083,MAN-000007,VEH-0127,WH-002,6,FPS-0127,12.070386,76.482706,31.93,70,DRAFT
RT-0000084,MAN-000007,VEH-0127,WH-002,6,FPS-0127,12.070386,76.482706,31.93,70,DRAFT
RT-0000085,MAN-000008,VEH-0002,WH-002,1,FPS-0102,12.25058,76.480988,20.82,45,PLANNED
RT-0000086,MAN-000008,VEH-0002,WH-002,1,FPS-0102,12.25058,76.480988,20.82,45,PLANNED
RT-0000087,MAN-000008,VEH-0002,WH-002,2,FPS-0277,12.234343,76.645853,18.01,39,PLANNED
RT-0000088,MAN-000008,VEH-0002,WH-002,2,FPS-0277,12.234343,76.645853,18.01,39,PLANNED
RT-0000089,MAN-000008,VEH-0002,WH-002,3,FPS-0552,11.983831,76.536295,30.3,66,PLANNED
RT-0000090,MAN-000008,VEH-0002,WH-002,3,FPS-0552,11.983831,76.536295,30.3,66,PLANNED
RT-0000091,MAN-000008,VEH-0002,WH-002,4,FPS-0077,11.947305,76.45004,10.22,22,PLANNED
RT-0000092,MAN-000008,VEH-0002,WH-002,4,FPS-0077,11.947305,76.45004,10.22,22,PLANNED
RT-0000093,MAN-000008,VEH-0002,WH-002,5,FPS-0302,12.193984,76.550132,29.51,64,PLANNED
RT-0000094,MAN-000008,VEH-0002,WH-002,5,FPS-0302,12.193984,76.550132,29.51,64,PLANNED
RT-0000095,MAN-000008,VEH-0002,WH-002,6,FPS-0452,12.194421,76.433211,12.71,27,PLANNED
RT-0000096,MAN-000008,VEH-0002,WH-002,6,FPS-0452,12.194421,76.433211,12.71,27,PLANNED
RT-0000097,MAN-000009,VEH-0078,WH-003,1,FPS-0403,13.279713,76.883791,4.76,10,PLANNED
RT-0000098,MAN-000009,VEH-0078,WH-003,1,FPS-0403,13.279713,76.883791,4.76,10,PLANNED
RT-0000099,MAN-000009,VEH-0078,WH-003,2,FPS-0478,13.345301,76.94658,9.97,21,PLANNED
RT-0000100,MAN-000009,VEH-0078,WH-003,2,FPS-0478,13.345301,76.94658,9.97,21,PLANNED
RT-0000101,MAN-000009,VEH-0078,WH-003,3,FPS-0003,13.395854,76.927554,5.99,13,PLANNED
RT-0000102,MAN-000009,VEH-0078,WH-003,3,FPS-0003,13.395854,76.927554,5.99,13,PLANNED
RT-0000103,MAN-000009,VEH-0078,WH-003,4,FPS-0528,13.302632,76.831589,14.67,32,PLANNED
RT-0000104,MAN-000009,VEH-0078,WH-003,4,FPS-0528,13.302632,76.831589,14.67,32,PLANNED
RT-0000105,MAN-000009,VEH-0078,WH-003,5,FPS-0078,13.418285,76.964807,19.32,42,PLANNED
RT-0000106,MAN-000009,VEH-0078,WH-003,5,FPS-0078,13.418285,76.964807,19.32,42,PLANNED
RT-0000107,MAN-000009,VEH-0078,WH-003,6,FPS-0128,13.235026,76.746995,31.16,68,PLANNED
RT-0000108,MAN-000009,VEH-0078,WH-003,6,FPS-0128,13.235026,76.746995,31.16,68,PLANNED
RT-0000109,MAN-000010,VEH-0128,WH-003,1,FPS-0553,13.374277,76.781972,14.46,31,PLANNED
RT-0000110,MAN-000010,VEH-0128,WH-003,1,FPS-0553,13.374277,76.781972,14.46,31,PLANNED
RT-0000111,MAN-000010,VEH-0128,WH-003,2,FPS-0378,13.37205,76.954128,18.63,40,PLANNED
RT-0000112,MAN-000010,VEH-0128,WH-003,2,FPS-0378,13.37205,76.954128,18.63,40,PLANNED
RT-0000113,MAN-000010,VEH-0128,WH-003,3,FPS-0278,13.283478,76.922824,10.41,22,PLANNED
RT-0000114,MAN-000010,VEH-0128,WH-003,3,FPS-0278,13.283478,76.922824,10.41,22,PLANNED
RT-0000115,MAN-000010,VEH-0128,WH-003,4,FPS-0253,13.267826,76.957885,4.17,9,PLANNED
RT-0000116,MAN-000010,VEH-0128,WH-003,4,FPS-0253,13.267826,76.957885,4.17,9,PLANNED
RT-0000117,MAN-000010,VEH-0128,WH-003,5,FPS-0053,13.375308,76.884907,14.32,31,PLANNED
RT-0000118,MAN-000010,VEH-0128,WH-003,5,FPS-0053,13.375308,76.884907,14.32,31,PLANNED
RT-0000119,MAN-000010,VEH-0128,WH-003,6,FPS-0453,13.309301,76.904724,7.65,16,PLANNED
RT-0000120,MAN-000010,VEH-0128,WH-003,6,FPS-0453,13.309301,76.904724,7.65,16,PLANNED
RT-0000121,MAN-000011,VEH-0128,WH-003,1,FPS-0228,13.486669,76.966816,19.96,43,PLANNED
RT-0000122,MAN-000011,VEH-0128,WH-003,1,FPS-0228,13.486669,76.966816,19.96,43,PLANNED
RT-0000123,MAN-000011,VEH-0128,WH-003,2,FPS-0203,13.377194,76.737131,27.66,60,PLANNED
RT-0000124,MAN-000011,VEH-0128,WH-003,2,FPS-0203,13.377194,76.737131,27.66,60,PLANNED
RT-0000125,MAN-000011,VEH-0128,WH-003,3,FPS-0353,13.196502,76.988818,33.85,74,PLANNED
RT-0000126,MAN-000011,VEH-0128,WH-003,3,FPS-0353,13.196502,76.988818,33.85,74,PLANNED
RT-0000127,MAN-000011,VEH-0128,WH-003,4,FPS-0178,13.410077,77.046951,24.57,54,PLANNED
RT-0000128,MAN-000011,VEH-0128,WH-003,4,FPS-0178,13.410077,77.046951,24.57,54,PLANNED
RT-0000129,MAN-000011,VEH-0128,WH-003,5,FPS-0103,13.174595,77.022936,26.31,57,PLANNED
RT-0000130,MAN-000011,VEH-0128,WH-003,5,FPS-0103,13.174595,77.022936,26.31,57,PLANNED
RT-0000131,MAN-000011,VEH-0128,WH-003,6,FPS-0328,13.173659,76.968851,5.86,12,PLANNED
RT-0000132,MAN-000011,VEH-0128,WH-003,6,FPS-0328,13.173659,76.968851,5.86,12,PLANNED
RT-0000133,MAN-000012,VEH-0053,WH-003,1,FPS-0303,13.292211,76.915689,3.23,7,DRAFT
RT-0000134,MAN-000012,VEH-0053,WH-003,1,FPS-0303,13.292211,76.915689,3.23,7,DRAFT
RT-0000135,MAN-000012,VEH-0053,WH-003,2,FPS-0153,13.289502,76.989106,7.95,17,DRAFT
RT-0000136,MAN-000012,VEH-0053,WH-003,2,FPS-0153,13.289502,76.989106,7.95,17,DRAFT
RT-0000137,MAN-000012,VEH-0053,WH-003,3,FPS-0428,13.16838,77.040492,14.57,32,DRAFT
RT-0000138,MAN-000012,VEH-0053,WH-003,3,FPS-0428,13.16838,77.040492,14.57,32,DRAFT
RT-0000139,MAN-000012,VEH-0053,WH-003,4,FPS-0578,13.388219,76.744785,40.27,88,DRAFT
RT-0000140,MAN-000012,VEH-0053,WH-003,4,FPS-0578,13.388219,76.744785,40.27,88,DRAFT
RT-0000141,MAN-000012,VEH-0053,WH-003,5,FPS-0028,13.168105,77.072903,43.13,94,DRAFT
RT-0000142,MAN-000012,VEH-0053,WH-003,5,FPS-0028,13.168105,77.072903,43.13,94,DRAFT
RT-0000143,MAN-000012,VEH-0053,WH-003,6,FPS-0503,13.155418,76.896168,19.19,42,DRAFT
RT-0000144,MAN-000012,VEH-0053,WH-003,6,FPS-0503,13.155418,76.896168,19.19,42,DRAFT
RT-0000145,MAN-000013,VEH-0104,WH-004,1,FPS-0279,12.652298,76.892851,19.09,41,PLANNED
RT-0000146,MAN-000013,VEH-0104,WH-004,1,FPS-0279,12.652298,76.892851,19.09,41,PLANNED
RT-0000147,MAN-000013,VEH-0104,WH-004,2,FPS-0504,12.559751,76.863845,10.76,23,PLANNED
RT-0000148,MAN-000013,VEH-0104,WH-004,2,FPS-0504,12.559751,76.863845,10.76,23,PLANNED
RT-0000149,MAN-000013,VEH-0104,WH-004,3,FPS-0479,12.451308,76.731004,18.8,41,PLANNED
RT-0000150,MAN-000013,VEH-0104,WH-004,3,FPS-0479,12.451308,76.731004,18.8,41,PLANNED
RT-0000151,MAN-000013,VEH-0104,WH-004,4,FPS-0129,12.431362,76.904414,18.96,41,PLANNED
RT-0000152,MAN-000013,VEH-0104,WH-004,4,FPS-0129,12.431362,76.904414,18.96,41,PLANNED
RT-0000153,MAN-000013,VEH-0104,WH-004,5,FPS-0079,12.444037,76.802378,11.17,24,PLANNED
RT-0000154,MAN-000013,VEH-0104,WH-004,5,FPS-0079,12.444037,76.802378,11.17,24,PLANNED
RT-0000155,MAN-000013,VEH-0104,WH-004,6,FPS-0154,12.39983,76.734618,8.85,19,PLANNED
RT-0000156,MAN-000013,VEH-0104,WH-004,6,FPS-0154,12.39983,76.734618,8.85,19,PLANNED
RT-0000157,MAN-000014,VEH-0129,WH-004,1,FPS-0104,12.451835,76.716587,11.04,24,DRAFT
RT-0000158,MAN-000014,VEH-0129,WH-004,1,FPS-0104,12.451835,76.716587,11.04,24,DRAFT
RT-0000159,MAN-000014,VEH-0129,WH-004,2,FPS-0579,12.545473,76.92839,25.24,55,DRAFT
RT-0000160,MAN-000014,VEH-0129,WH-004,2,FPS-0579,12.545473,76.92839,25.24,55,DRAFT
RT-0000161,MAN-000014,VEH-0129,WH-004,3,FPS-0529,12.62002,76.976617,9.8,21,DRAFT
RT-0000162,MAN-000014,VEH-0129,WH-004,3,FPS-0529,12.62002,76.976617,9.8,21,DRAFT
RT-0000163,MAN-000014,VEH-0129,WH-004,4,FPS-0379,12.385105,76.758319,35.27,77,DRAFT
RT-0000164,MAN-000014,VEH-0129,WH-004,4,FPS-0379,12.385105,76.758319,35.27,77,DRAFT
RT-0000165,MAN-000014,VEH-0129,WH-004,5,FPS-0554,12.560305,76.856624,22.21,48,DRAFT
RT-0000166,MAN-000014,VEH-0129,WH-004,5,FPS-0554,12.560305,76.856624,22.21,48,DRAFT
RT-0000167,MAN-000014,VEH-0129,WH-004,6,FPS-0354,12.660191,76.631991,26.79,58,DRAFT
RT-0000168,MAN-000014,VEH-0129,WH-004,6,FPS-0354,12.660191,76.631991,26.79,58,DRAFT
RT-0000169,MAN-000015,VEH-0129,WH-004,1,FPS-0254,12.670306,76.803073,18.38,40,PLANNED
RT-0000170,MAN-000015,VEH-0129,WH-004,1,FPS-0254,12.670306,76.803073,18.38,40,PLANNED
RT-0000171,MAN-000015,VEH-0129,WH-004,2,FPS-0179,12.655854,76.909239,11.63,25,PLANNED
RT-0000172,MAN-000015,VEH-0129,WH-004,2,FPS-0179,12.655854,76.909239,11.63,25,PLANNED
RT-0000173,MAN-000015,VEH-0129,WH-004,3,FPS-0229,12.587087,76.842812,10.51,23,PLANNED
RT-0000174,MAN-000015,VEH-0129,WH-004,3,FPS-0229,12.587087,76.842812,10.51,23,PLANNED
RT-0000175,MAN-000015,VEH-0129,WH-004,4,FPS-0429,12.47573,76.774962,14.41,31,PLANNED
RT-0000176,MAN-000015,VEH-0129,WH-004,4,FPS-0429,12.47573,76.774962,14.41,31,PLANNED
RT-0000177,MAN-000015,VEH-0129,WH-004,5,FPS-0454,12.38026,76.635442,18.5,40,PLANNED
RT-0000178,MAN-000015,VEH-0129,WH-004,5,FPS-0454,12.38026,76.635442,18.5,40,PLANNED
RT-0000179,MAN-000015,VEH-0129,WH-004,6,FPS-0404,12.67463,76.769892,35.84,78,PLANNED
RT-0000180,MAN-000015,VEH-0129,WH-004,6,FPS-0404,12.67463,76.769892,35.84,78,PLANNED
RT-0000181,MAN-000016,VEH-0104,WH-004,1,FPS-0204,12.576922,76.636332,19.72,43,PLANNED
RT-0000182,MAN-000016,VEH-0104,WH-004,1,FPS-0204,12.576922,76.636332,19.72,43,PLANNED
RT-0000183,MAN-000016,VEH-0104,WH-004,2,FPS-0029,12.580035,76.886493,27.15,59,PLANNED
RT-0000184,MAN-000016,VEH-0104,WH-004,2,FPS-0029,12.580035,76.886493,27.15,59,PLANNED
RT-0000185,MAN-000016,VEH-0104,WH-004,3,FPS-0054,12.566547,76.696545,20.67,45,PLANNED
RT-0000186,MAN-000016,VEH-0104,WH-004,3,FPS-0054,12.566547,76.696545,20.67,45,PLANNED
RT-0000187,MAN-000016,VEH-0104,WH-004,4,FPS-0329,12.347132,76.934894,35.57,78,PLANNED
RT-0000188,MAN-000016,VEH-0104,WH-004,4,FPS-0329,12.347132,76.934894,35.57,78,PLANNED
RT-0000189,MAN-000016,VEH-0104,WH-004,5,FPS-0304,12.552161,76.981742,23.36,51,PLANNED
RT-0000190,MAN-000016,VEH-0104,WH-004,5,FPS-0304,12.552161,76.981742,23.36,51,PLANNED
RT-0000191,MAN-000016,VEH-0104,WH-004,6,FPS-0004,12.423851,76.793313,24.94,54,PLANNED
RT-0000192,MAN-000016,VEH-0104,WH-004,6,FPS-0004,12.423851,76.793313,24.94,54,PLANNED
RT-0000193,MAN-000017,VEH-0055,WH-005,1,FPS-0330,13.392411,76.196393,7.16,15,PLANNED
RT-0000194,MAN-000017,VEH-0055,WH-005,1,FPS-0330,13.392411,76.196393,7.16,15,PLANNED
RT-0000195,MAN-000017,VEH-0055,WH-005,2,FPS-0305,13.488492,76.393998,23.89,52,PLANNED
RT-0000196,MAN-000017,VEH-0055,WH-005,2,FPS-0305,13.488492,76.393998,23.89,52,PLANNED
RT-0000197,MAN-000017,VEH-0055,WH-005,3,FPS-0005,13.237108,76.220089,33.69,74,PLANNED
RT-0000198,MAN-000017,VEH-0055,WH-005,3,FPS-0005,13.237108,76.220089,33.69,74,PLANNED
RT-0000199,MAN-000017,VEH-0055,WH-005,4,FPS-0030,13.222006,76.069235,16.42,36,PLANNED
RT-0000200,MAN-000017,VEH-0055,WH-005,4,FPS-0030,13.222006,76.069235,16.42,36,PLANNED
RT-0000201,MAN-000017,VEH-0055,WH-005,5,FPS-0455,13.279023,76.121192,8.47,18,PLANNED
RT-0000202,MAN-000017,VEH-0055,WH-005,5,FPS-0455,13.279023,76.121192,8.47,18,PLANNED
RT-0000203,MAN-000017,VEH-0055,WH-005,6,FPS-0280,13.319746,76.224959,12.11,26,PLANNED
RT-0000204,MAN-000017,VEH-0055,WH-005,6,FPS-0280,13.319746,76.224959,12.11,26,PLANNED
RT-0000205,MAN-000018,VEH-0130,WH-005,1,FPS-0155,13.288476,76.381533,18.71,41,PLANNED
RT-0000206,MAN-000018,VEH-0130,WH-005,1,FPS-0155,13.288476,76.381533,18.71,41,PLANNED
RT-0000207,MAN-000018,VEH-0130,WH-005,2,FPS-0530,13.253705,76.389198,3.95,8,PLANNED
RT-0000208,MAN-000018,VEH-0130,WH-005,2,FPS-0530,13.253705,76.389198,3.95,8,PLANNED
RT-0000209,MAN-000018,VEH-0130,WH-005,3,FPS-0255,13.388102,76.039513,40.68,89,PLANNED
RT-0000210,MAN-000018,VEH-0130,WH-005,3,FPS-0255,13.388102,76.039513,40.68,89,PLANNED
RT-0000211,MAN-000018,VEH-0130,WH-005,4,FPS-0355,13.427937,76.175023,15.31,33,PLANNED
RT-0000212,MAN-000018,VEH-0130,WH-005,4,FPS-0355,13.427937,76.175023,15.31,33,PLANNED
RT-0000213,MAN-000018,VEH-0130,WH-005,5,FPS-0230,13.254926,76.036882,24.36,53,PLANNED
RT-0000214,MAN-000018,VEH-0130,WH-005,5,FPS-0230,13.254926,76.036882,24.36,53,PLANNED
RT-0000215,MAN-000018,VEH-0130,WH-005,6,FPS-0180,13.235743,76.19526,17.27,38,PLANNED
RT-0000216,MAN-000018,VEH-0130,WH-005,6,FPS-0180,13.235743,76.19526,17.27,38,PLANNED
RT-0000217,MAN-000019,VEH-0055,WH-005,1,FPS-0555,13.190211,76.353029,21.66,47,PLANNED
RT-0000218,MAN-000019,VEH-0055,WH-005,1,FPS-0555,13.190211,76.353029,21.66,47,PLANNED
RT-0000219,MAN-000019,VEH-0055,WH-005,2,FPS-0055,13.254,76.189834,19.04,41,PLANNED
RT-0000220,MAN-000019,VEH-0055,WH-005,2,FPS-0055,13.254,76.189834,19.04,41,PLANNED
RT-0000221,MAN-000019,VEH-0055,WH-005,3,FPS-0380,13.488831,76.299121,28.66,63,PLANNED
RT-0000222,MAN-000019,VEH-0055,WH-005,3,FPS-0380,13.488831,76.299121,28.66,63,PLANNED
RT-0000223,MAN-000019,VEH-0055,WH-005,4,FPS-0505,13.223445,76.305995,29.52,64,PLANNED
RT-0000224,MAN-000019,VEH-0055,WH-005,4,FPS-0505,13.223445,76.305995,29.52,64,PLANNED
RT-0000225,MAN-000019,VEH-0055,WH-005,5,FPS-0105,13.25214,76.270001,5.04,11,PLANNED
RT-0000226,MAN-000019,VEH-0055,WH-005,5,FPS-0105,13.25214,76.270001,5.04,11,PLANNED
RT-0000227,MAN-000019,VEH-0055,WH-005,6,FPS-0430,13.243469,76.083239,20.24,44,PLANNED
RT-0000228,MAN-000019,VEH-0055,WH-005,6,FPS-0430,13.243469,76.083239,20.24,44,PLANNED
RT-0000229,MAN-000020,VEH-0030,WH-005,1,FPS-0205,13.217233,76.066193,20.36,44,PLANNED
RT-0000230,MAN-000020,VEH-0030,WH-005,1,FPS-0205,13.217233,76.066193,20.36,44,PLANNED
RT-0000231,MAN-000020,VEH-0030,WH-005,2,FPS-0130,13.392114,76.309062,32.69,71,PLANNED
RT-0000232,MAN-000020,VEH-0030,WH-005,2,FPS-0130,13.392114,76.309062,32.69,71,PLANNED
RT-0000233,MAN-000020,VEH-0030,WH-005,3,FPS-0580,13.469282,76.301483,8.62,18,PLANNED
RT-0000234,MAN-000020,VEH-0030,WH-005,3,FPS-0580,13.469282,76.301483,8.62,18,PLANNED
RT-0000235,MAN-000020,VEH-0030,WH-005,4,FPS-0080,13.261738,76.31788,23.15,50,PLANNED
RT-0000236,MAN-000020,VEH-0030,WH-005,4,FPS-0080,13.261738,76.31788,23.15,50,PLANNED
RT-0000237,MAN-000020,VEH-0030,WH-005,5,FPS-0480,13.397839,76.204326,19.49,42,PLANNED
RT-0000238,MAN-000020,VEH-0030,WH-005,5,FPS-0480,13.397839,76.204326,19.49,42,PLANNED
RT-0000239,MAN-000020,VEH-0030,WH-005,6,FPS-0405,13.50498,76.159457,12.86,28,PLANNED
RT-0000240,MAN-000020,VEH-0030,WH-005,6,FPS-0405,13.50498,76.159457,12.86,28,PLANNED
RT-0000241,MAN-000021,VEH-0106,WH-006,1,FPS-0506,14.174766,75.565177,25.7,56,PLANNED
RT-0000242,MAN-000021,VEH-0106,WH-006,1,FPS-0506,14.174766,75.565177,25.7,56,PLANNED
RT-0000243,MAN-000021,VEH-0106,WH-006,2,FPS-0181,14.022747,75.406812,24.03,52,PLANNED
