allocation_id,cycle,fps_id,commodity,requested_kg,allocated_kg,warehouse_id,status,source,approved_by,approved_at
ALLOC-0000057,2026-01,FPS-0029,RICE,206,206,WH-004,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000058,2026-01,FPS-0029,WHEAT,137,137,WH-004,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000059,2026-01,FPS-0030,RICE,141,141,WH-005,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000060,2026-01,FPS-0030,WHEAT,117,117,WH-005,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000061,2026-01,FPS-0031,RICE,139,139,WH-006,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000062,2026-01,FPS-0031,WHEAT,122,122,WH-006,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000063,2026-01,FPS-0032,RICE,151,151,WH-007,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000064,2026-01,FPS-0032,WHEAT,126,126,WH-007,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000065,2026-01,FPS-0033,RICE,191,191,WH-008,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000066,2026-01,FPS-0033,WHEAT,138,138,WH-008,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000067,2026-01,FPS-0034,RICE,192,192,WH-009,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000068,2026-01,FPS-0034,WHEAT,147,147,WH-009,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000069,2026-01,FPS-0035,RICE,206,206,WH-010,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000070,2026-01,FPS-0035,WHEAT,149,149,WH-010,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000071,2026-01,FPS-0036,RICE,186,186,WH-011,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000072,2026-01,FPS-0036,WHEAT,144,144,WH-011,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000073,2026-01,FPS-0037,RICE,1450,1150,WH-012,BLOCKED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000074,2026-01,FPS-0037,WHEAT,159,159,WH-012,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000075,2026-01,FPS-0038,RICE,225,225,WH-013,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000076,2026-01,FPS-0038,WHEAT,164,164,WH-013,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000077,2026-01,FPS-0039,RICE,210,210,WH-014,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000078,2026-01,FPS-0039,WHEAT,162,162,WH-014,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000079,2026-01,FPS-0040,RICE,147,147,WH-015,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000080,2026-01,FPS-0040,WHEAT,126,126,WH-015,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000081,2026-01,FPS-0041,RICE,150,150,WH-016,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000082,2026-01,FPS-0041,WHEAT,127,127,WH-016,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000083,2026-01,FPS-0042,RICE,157,157,WH-017,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000084,2026-01,FPS-0042,WHEAT,140,140,WH-017,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000085,2026-01,FPS-0043,RICE,168,168,WH-018,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000086,2026-01,FPS-0043,WHEAT,142,142,WH-018,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000087,2026-01,FPS-0044,RICE,156,156,WH-019,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000088,2026-01,FPS-0044,WHEAT,136,136,WH-019,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000089,2026-01,FPS-0045,RICE,207,207,WH-020,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000090,2026-01,FPS-0045,WHEAT,150,150,WH-020,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000091,2026-01,FPS-0046,RICE,166,166,WH-021,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000092,2026-01,FPS-0046,WHEAT,138,138,WH-021,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000093,2026-01,FPS-0047,RICE,200,200,WH-022,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000094,2026-01,FPS-0047,WHEAT,144,144,WH-022,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000095,2026-01,FPS-0048,RICE,130,130,WH-023,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000096,2026-01,FPS-0048,WHEAT,111,111,WH-023,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000097,2026-01,FPS-0049,RICE,180,180,WH-024,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000098,2026-01,FPS-0049,WHEAT,153,153,WH-024,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000099,2026-01,FPS-0050,RICE,249,249,WH-025,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000100,2026-01,FPS-0050,WHEAT,180,180,WH-025,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000101,2026-01,FPS-0051,RICE,185,185,WH-001,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000102,2026-01,FPS-0051,WHEAT,136,136,WH-001,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000103,2026-01,FPS-0052,RICE,206,206,WH-002,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000104,2026-01,FPS-0052,WHEAT,143,143,WH-002,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000105,2026-01,FPS-0053,RICE,177,177,WH-003,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000106,2026-01,FPS-0053,WHEAT,147,147,WH-003,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000107,2026-01,FPS-0054,RICE,124,124,WH-004,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000108,2026-01,FPS-0054,WHEAT,117,117,WH-004,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000109,2026-01,FPS-0055,RICE,156,156,WH-005,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000110,2026-01,FPS-0055,WHEAT,126,126,WH-005,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000111,2026-01,FPS-0056,RICE,173,173,WH-006,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000112,2026-01,FPS-0056,WHEAT,139,139,WH-006,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000113,2026-01,FPS-0057,RICE,196,196,WH-007,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000114,2026-01,FPS-0057,WHEAT,144,144,WH-007,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000115,2026-01,FPS-0058,RICE,158,158,WH-008,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000116,2026-01,FPS-0058,WHEAT,127,127,WH-008,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000117,2026-01,FPS-0059,RICE,163,163,WH-009,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000118,2026-01,FPS-0059,WHEAT,151,151,WH-009,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000119,2026-01,FPS-0060,RICE,221,221,WH-010,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000120,2026-01,FPS-0060,WHEAT,160,160,WH-010,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000121,2026-01,FPS-0061,RICE,135,135,WH-011,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000122,2026-01,FPS-0061,WHEAT,125,125,WH-011,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000123,2026-01,FPS-0062,RICE,153,153,WH-012,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000124,2026-01,FPS-0062,WHEAT,129,129,WH-012,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000125,2026-01,FPS-0063,RICE,203,203,WH-013,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000126,2026-01,FPS-0063,WHEAT,146,146,WH-013,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000127,2026-01,FPS-0064,RICE,138,138,WH-014,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000128,2026-01,FPS-0064,WHEAT,115,115,WH-014,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000129,2026-01,FPS-0065,RICE,140,140,WH-015,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000130,2026-01,FPS-0065,WHEAT,121,121,WH-015,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000131,2026-01,FPS-0066,RICE,171,171,WH-016,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000132,2026-01,FPS-0066,WHEAT,141,141,WH-016,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000133,2026-01,FPS-0067,RICE,188,188,WH-017,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000134,2026-01,FPS-0067,WHEAT,145,145,WH-017,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000135,2026-01,FPS-0068,RICE,167,167,WH-018,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000136,2026-01,FPS-0068,WHEAT,150,150,WH-018,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000137,2026-01,FPS-0069,RICE,157,157,WH-019,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000138,2026-01,FPS-0069,WHEAT,134,134,WH-019,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000139,2026-01,FPS-0070,RICE,147,147,WH-020,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000140,2026-01,FPS-0070,WHEAT,133,133,WH-020,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000141,2026-01,FPS-0071,RICE,119,119,WH-021,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000142,2026-01,FPS-0071,WHEAT,114,114,WH-021,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000143,2026-01,FPS-0072,RICE,216,216,WH-022,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000144,2026-01,FPS-0072,WHEAT,164,164,WH-022,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000145,2026-01,FPS-0073,RICE,176,176,WH-023,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000146,2026-01,FPS-0073,WHEAT,142,142,WH-023,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000147,2026-01,FPS-0074,RICE,130,130,WH-024,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000148,2026-01,FPS-0074,WHEAT,104,104,WH-024,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000149,2026-01,FPS-0075,RICE,197,197,WH-025,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000150,2026-01,FPS-0075,WHEAT,146,146,WH-025,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000151,2026-01,FPS-0076,RICE,233,233,WH-001,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000152,2026-01,FPS-0076,WHEAT,144,144,WH-001,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000153,2026-01,FPS-0077,RICE,154,154,WH-002,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000154,2026-01,FPS-0077,WHEAT,113,113,WH-002,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000155,2026-01,FPS-0078,RICE,208,208,WH-003,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000156,2026-01,FPS-0078,WHEAT,148,148,WH-003,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000157,2026-01,FPS-0079,RICE,145,145,WH-004,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000158,2026-01,FPS-0079,WHEAT,132,132,WH-004,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000159,2026-01,FPS-0080,RICE,181,181,WH-005,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000160,2026-01,FPS-0080,WHEAT,147,147,WH-005,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000161,2026-01,FPS-0081,RICE,150,150,WH-006,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000162,2026-01,FPS-0081,WHEAT,129,129,WH-006,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000163,2026-01,FPS-0082,RICE,207,207,WH-007,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000164,2026-01,FPS-0082,WHEAT,164,164,WH-007,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000165,2026-01,FPS-0083,RICE,168,168,WH-008,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000166,2026-01,FPS-0083,WHEAT,134,134,WH-008,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000167,2026-01,FPS-0084,RICE,231,231,WH-009,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000168,2026-01,FPS-0084,WHEAT,171,171,WH-009,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000169,2026-01,FPS-0085,RICE,129,129,WH-010,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000170,2026-01,FPS-0085,WHEAT,118,118,WH-010,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000171,2026-01,FPS-0086,RICE,149,149,WH-011,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000172,2026-01,FPS-0086,WHEAT,128,128,WH-011,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000173,2026-01,FPS-0087,RICE,145,145,WH-012,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000174,2026-01,FPS-0087,WHEAT,122,122,WH-012,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000175,2026-01,FPS-0088,RICE,180,180,WH-013,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000176,2026-01,FPS-0088,WHEAT,132,132,WH-013,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000177,2026-01,FPS-0089,RICE,190,190,WH-014,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000178,2026-01,FPS-0089,WHEAT,159,159,WH-014,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000179,2026-01,FPS-0090,RICE,180,180,WH-015,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000180,2026-01,FPS-0090,WHEAT,159,159,WH-015,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000181,2026-01,FPS-0091,RICE,170,170,WH-016,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000182,2026-01,FPS-0091,WHEAT,143,143,WH-016,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000183,2026-01,FPS-0092,RICE,200,200,WH-017,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000184,2026-01,FPS-0092,WHEAT,151,151,WH-017,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000185,2026-01,FPS-0093,RICE,218,218,WH-018,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000186,2026-01,FPS-0093,WHEAT,165,165,WH-018,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000187,2026-01,FPS-0094,RICE,220,220,WH-019,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000188,2026-01,FPS-0094,WHEAT,158,158,WH-019,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000189,2026-01,FPS-0095,RICE,210,210,WH-020,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000190,2026-01,FPS-0095,WHEAT,149,149,WH-020,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000191,2026-01,FPS-0096,RICE,157,157,WH-021,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000192,2026-01,FPS-0096,WHEAT,136,136,WH-021,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000193,2026-01,FPS-0097,RICE,207,207,WH-022,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000194,2026-01,FPS-0097,WHEAT,154,154,WH-022,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000195,2026-01,FPS-0098,RICE,246,246,WH-023,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000196,2026-01,FPS-0098,WHEAT,166,166,WH-023,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000197,2026-01,FPS-0099,RICE,166,166,WH-024,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000198,2026-01,FPS-0099,WHEAT,140,140,WH-024,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000199,2026-01,FPS-0100,RICE,114,114,WH-025,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000200,2026-01,FPS-0100,WHEAT,81,63,WH-025,BLOCKED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000201,2026-01,FPS-0101,RICE,203,203,WH-001,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
