forecast_id,fps_id,cycle,commodity,baseline_demand_kg,intent_demand_kg,forecast_demand_kg,model_version,prediction_generated_at,training_dataset_version,prediction_horizon
FC-0000033,FPS-0017,2026-01,RICE,200,114,153,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000034,FPS-0017,2026-01,WHEAT,200,73,137,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000035,FPS-0018,2026-01,RICE,276,232,253,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000036,FPS-0018,2026-01,WHEAT,212,149,181,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000037,FPS-0019,2026-01,RICE,235,135,183,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000038,FPS-0019,2026-01,WHEAT,200,87,140,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000039,FPS-0020,2026-01,RICE,200,107,150,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000040,FPS-0020,2026-01,WHEAT,200,72,134,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000041,FPS-0021,2026-01,RICE,307,218,255,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000042,FPS-0021,2026-01,WHEAT,208,148,183,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000043,FPS-0022,2026-01,RICE,200,117,154,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000044,FPS-0022,2026-01,WHEAT,200,82,141,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000045,FPS-0023,2026-01,RICE,200,95,143,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000046,FPS-0023,2026-01,WHEAT,200,67,127,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000047,FPS-0024,2026-01,RICE,201,104,146,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000048,FPS-0024,2026-01,WHEAT,200,72,135,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000049,FPS-0025,2026-01,RICE,284,202,246,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000050,FPS-0025,2026-01,WHEAT,201,130,159,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000051,FPS-0026,2026-01,RICE,204,98,148,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000052,FPS-0026,2026-01,WHEAT,200,67,130,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000053,FPS-0027,2026-01,RICE,200,95,145,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000054,FPS-0027,2026-01,WHEAT,180,68,122,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000055,FPS-0028,2026-01,RICE,200,75,137,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000056,FPS-0028,2026-01,WHEAT,200,48,121,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000057,FPS-0029,2026-01,RICE,235,174,198,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000058,FPS-0029,2026-01,WHEAT,180,117,145,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000059,FPS-0030,2026-01,RICE,200,84,144,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000060,FPS-0030,2026-01,WHEAT,200,57,122,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000061,FPS-0031,2026-01,RICE,200,103,145,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000062,FPS-0031,2026-01,WHEAT,200,64,125,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000063,FPS-0032,2026-01,RICE,205,105,155,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000064,FPS-0032,2026-01,WHEAT,200,75,130,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000065,FPS-0033,2026-01,RICE,221,155,194,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000066,FPS-0033,2026-01,WHEAT,200,106,146,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000067,FPS-0034,2026-01,RICE,233,140,188,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000068,FPS-0034,2026-01,WHEAT,200,93,143,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000069,FPS-0035,2026-01,RICE,232,163,202,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000070,FPS-0035,2026-01,WHEAT,200,107,151,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000071,FPS-0036,2026-01,RICE,271,119,196,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000072,FPS-0036,2026-01,WHEAT,200,79,139,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000073,FPS-0037,2026-01,RICE,229,156,187,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000074,FPS-0037,2026-01,WHEAT,200,105,155,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000075,FPS-0038,2026-01,RICE,253,194,229,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000076,FPS-0038,2026-01,WHEAT,200,128,167,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000077,FPS-0039,2026-01,RICE,238,176,201,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000078,FPS-0039,2026-01,WHEAT,200,130,165,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000079,FPS-0040,2026-01,RICE,200,100,151,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000080,FPS-0040,2026-01,WHEAT,200,62,122,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000081,FPS-0041,2026-01,RICE,200,102,152,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000082,FPS-0041,2026-01,WHEAT,200,69,134,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000083,FPS-0042,2026-01,RICE,183,134,153,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000084,FPS-0042,2026-01,WHEAT,200,88,143,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000085,FPS-0043,2026-01,RICE,200,132,171,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000086,FPS-0043,2026-01,WHEAT,200,88,139,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000087,FPS-0044,2026-01,RICE,200,123,161,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000088,FPS-0044,2026-01,WHEAT,200,77,133,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000089,FPS-0045,2026-01,RICE,242,177,204,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000090,FPS-0045,2026-01,WHEAT,200,113,151,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000091,FPS-0046,2026-01,RICE,200,126,165,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000092,FPS-0046,2026-01,WHEAT,200,79,138,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000093,FPS-0047,2026-01,RICE,258,138,195,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000094,FPS-0047,2026-01,WHEAT,202,92,139,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000095,FPS-0048,2026-01,RICE,180,94,132,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000096,FPS-0048,2026-01,WHEAT,180,62,115,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000097,FPS-0049,2026-01,RICE,218,156,185,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000098,FPS-0049,2026-01,WHEAT,200,109,153,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000099,FPS-0050,2026-01,RICE,294,199,246,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000100,FPS-0050,2026-01,WHEAT,223,134,180,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000101,FPS-0051,2026-01,RICE,220,150,179,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000102,FPS-0051,2026-01,WHEAT,180,101,139,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000103,FPS-0052,2026-01,RICE,263,156,204,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000104,FPS-0052,2026-01,WHEAT,200,104,146,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000105,FPS-0053,2026-01,RICE,200,152,175,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000106,FPS-0053,2026-01,WHEAT,200,101,144,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000107,FPS-0054,2026-01,RICE,200,69,128,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000108,FPS-0054,2026-01,WHEAT,200,47,121,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000109,FPS-0055,2026-01,RICE,243,85,154,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000110,FPS-0055,2026-01,WHEAT,200,62,130,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000111,FPS-0056,2026-01,RICE,188,141,167,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000112,FPS-0056,2026-01,WHEAT,200,96,142,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000113,FPS-0057,2026-01,RICE,232,150,188,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000114,FPS-0057,2026-01,WHEAT,200,102,144,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000115,FPS-0058,2026-01,RICE,229,99,157,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000116,FPS-0058,2026-01,WHEAT,200,67,133,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000117,FPS-0059,2026-01,RICE,207,131,171,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000118,FPS-0059,2026-01,WHEAT,200,100,153,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000119,FPS-0060,2026-01,RICE,242,177,212,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000120,FPS-0060,2026-01,WHEAT,200,118,155,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000121,FPS-0061,2026-01,RICE,200,80,139,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000122,FPS-0061,2026-01,WHEAT,200,55,124,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000123,FPS-0062,2026-01,RICE,200,105,146,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000124,FPS-0062,2026-01,WHEAT,180,70,126,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000125,FPS-0063,2026-01,RICE,255,171,214,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000126,FPS-0063,2026-01,WHEAT,180,112,143,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000127,FPS-0064,2026-01,RICE,180,87,132,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000128,FPS-0064,2026-01,WHEAT,200,61,121,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000129,FPS-0065,2026-01,RICE,200,70,135,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000130,FPS-0065,2026-01,WHEAT,200,41,118,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000131,FPS-0066,2026-01,RICE,204,134,166,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000132,FPS-0066,2026-01,WHEAT,200,89,136,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000133,FPS-0067,2026-01,RICE,200,158,181,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000134,FPS-0067,2026-01,WHEAT,200,100,144,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000135,FPS-0068,2026-01,RICE,205,135,167,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000136,FPS-0068,2026-01,WHEAT,200,96,150,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000137,FPS-0069,2026-01,RICE,200,117,155,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000138,FPS-0069,2026-01,WHEAT,200,83,140,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000139,FPS-0070,2026-01,RICE,182,111,143,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000140,FPS-0070,2026-01,WHEAT,200,79,138,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000141,FPS-0071,2026-01,RICE,200,58,126,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000142,FPS-0071,2026-01,WHEAT,200,36,113,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000143,FPS-0072,2026-01,RICE,252,206,226,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000144,FPS-0072,2026-01,WHEAT,201,140,166,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000145,FPS-0073,2026-01,RICE,228,144,183,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000146,FPS-0073,2026-01,WHEAT,200,98,148,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000147,FPS-0074,2026-01,RICE,200,61,130,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000148,FPS-0074,2026-01,WHEAT,180,41,109,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000149,FPS-0075,2026-01,RICE,248,141,191,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000150,FPS-0075,2026-01,WHEAT,200,97,143,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000151,FPS-0076,2026-01,RICE,292,183,230,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000152,FPS-0076,2026-01,WHEAT,188,122,152,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000153,FPS-0077,2026-01,RICE,200,119,157,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000154,FPS-0077,2026-01,WHEAT,180,73,118,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000155,FPS-0078,2026-01,RICE,227,171,200,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000156,FPS-0078,2026-01,WHEAT,200,111,153,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000157,FPS-0079,2026-01,RICE,200,111,150,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000158,FPS-0079,2026-01,WHEAT,200,76,134,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000159,FPS-0080,2026-01,RICE,202,161,179,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000160,FPS-0080,2026-01,WHEAT,200,104,149,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000161,FPS-0081,2026-01,RICE,220,106,155,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000162,FPS-0081,2026-01,WHEAT,200,68,133,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000163,FPS-0082,2026-01,RICE,246,178,205,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000164,FPS-0082,2026-01,WHEAT,200,117,159,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000165,FPS-0083,2026-01,RICE,215,138,177,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000166,FPS-0083,2026-01,WHEAT,180,94,134,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000167,FPS-0084,2026-01,RICE,282,196,240,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000168,FPS-0084,2026-01,WHEAT,217,133,168,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000169,FPS-0085,2026-01,RICE,200,61,125,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000170,FPS-0085,2026-01,WHEAT,200,41,115,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000171,FPS-0086,2026-01,RICE,201,93,143,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000172,FPS-0086,2026-01,WHEAT,200,65,128,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000173,FPS-0087,2026-01,RICE,200,81,140,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000174,FPS-0087,2026-01,WHEAT,200,52,123,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000175,FPS-0088,2026-01,RICE,200,143,177,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000176,FPS-0088,2026-01,WHEAT,200,91,138,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000177,FPS-0089,2026-01,RICE,222,152,186,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000178,FPS-0089,2026-01,WHEAT,200,104,152,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000179,FPS-0090,2026-01,RICE,204,160,182,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000180,FPS-0090,2026-01,WHEAT,200,109,155,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000181,FPS-0091,2026-01,RICE,204,135,171,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000182,FPS-0091,2026-01,WHEAT,200,94,139,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000183,FPS-0092,2026-01,RICE,253,171,209,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000184,FPS-0092,2026-01,WHEAT,203,117,156,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000185,FPS-0093,2026-01,RICE,278,173,227,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000186,FPS-0093,2026-01,WHEAT,201,127,159,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000187,FPS-0094,2026-01,RICE,266,199,229,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000188,FPS-0094,2026-01,WHEAT,180,135,152,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000189,FPS-0095,2026-01,RICE,273,148,202,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000190,FPS-0095,2026-01,WHEAT,203,101,144,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000191,FPS-0096,2026-01,RICE,200,128,165,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000192,FPS-0096,2026-01,WHEAT,200,80,135,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000193,FPS-0097,2026-01,RICE,270,153,211,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000194,FPS-0097,2026-01,WHEAT,200,102,151,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000195,FPS-0098,2026-01,RICE,273,216,237,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000196,FPS-0098,2026-01,WHEAT,200,147,167,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000197,FPS-0099,2026-01,RICE,205,116,163,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000198,FPS-0099,2026-01,WHEAT,200,79,140,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000199,FPS-0100,2026-01,RICE,180,52,111,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000200,FPS-0100,2026-01,WHEAT,180,35,102,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000201,FPS-0101,2026-01,RICE,256,181,211,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000202,FPS-0101,2026-01,WHEAT,206,119,167,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000203,FPS-0102,2026-01,RICE,200,131,163,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000204,FPS-0102,2026-01,WHEAT,200,90,138,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000205,FPS-0103,2026-01,RICE,277,195,228,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000206,FPS-0103,2026-01,WHEAT,220,135,177,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000207,FPS-0104,2026-01,RICE,200,106,149,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000208,FPS-0104,2026-01,WHEAT,200,71,127,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000209,FPS-0105,2026-01,RICE,299,232,277,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000210,FPS-0105,2026-01,WHEAT,230,152,193,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000211,FPS-0106,2026-01,RICE,200,98,151,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000212,FPS-0106,2026-01,WHEAT,200,64,128,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000213,FPS-0107,2026-01,RICE,200,120,165,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000214,FPS-0107,2026-01,WHEAT,200,82,143,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000215,FPS-0108,2026-01,RICE,200,88,145,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000216,FPS-0108,2026-01,WHEAT,200,62,122,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
