intent_id,beneficiary_id,fps_id,cycle,rice_quantity_kg,wheat_quantity_kg,total_quantity_kg,collection_mode,submitted_at,status
INT-0000034,BEN-000210,FPS-0095,2026-01,2,2,4,AUTHORIZED_PERSON,2026-01-12T18:19:00,SUBMITTED
INT-0000035,BEN-007804,FPS-0518,2026-01,14,11,25,SELF,2026-01-17T18:02:00,SUBMITTED
INT-0000036,BEN-000324,FPS-0235,2026-01,12,8,20,SELF,2026-01-17T17:20:00,SUBMITTED
INT-0000037,BEN-003144,FPS-0351,2026-01,8,6,14,AUTHORIZED_PERSON,2026-01-19T18:24:00,SUBMITTED
INT-0000038,BEN-004168,FPS-0380,2026-01,10,5,15,AUTHORIZED_PERSON,2026-01-18T11:36:00,SUBMITTED
INT-0000039,BEN-002289,FPS-0181,2026-01,14,11,25,AUTHORIZED_PERSON,2026-01-14T16:40:00,SUBMITTED
INT-0000040,BEN-001055,FPS-0422,2026-01,5,5,10,SELF,2026-01-09T11:21:00,SUBMITTED
INT-0000041,BEN-005243,FPS-0424,2026-01,22,13,35,SELF,2026-01-14T09:18:00,SUBMITTED
INT-0000042,BEN-001074,FPS-0097,2026-01,19,12,31,SELF,2026-01-11T17:44:00,SUBMITTED
INT-0000043,BEN-003504,FPS-0600,2026-01,2,2,4,SELF,2026-01-14T15:17:00,SUBMITTED
INT-0000044,BEN-005862,FPS-0209,2026-01,20,15,35,SELF,2026-01-08T19:01:00,SUBMITTED
INT-0000045,BEN-001668,FPS-0457,2026-01,11,7,18,AUTHORIZED_PERSON,2026-01-10T15:35:00,SUBMITTED
INT-0000046,BEN-000668,FPS-0449,2026-01,12,6,18,SELF,2026-01-07T09:43:00,SUBMITTED
INT-0000047,BEN-006867,FPS-0365,2026-01,11,9,20,AUTHORIZED_PERSON,2026-01-09T13:58:00,SUBMITTED
INT-0000048,BEN-000006,FPS-0202,2026-01,11,9,20,SELF,2026-01-19T17:37:00,CANCELLED
INT-0000049,BEN-005590,FPS-0056,2026-01,6,6,12,SELF,2026-01-11T10:41:00,SUBMITTED
INT-0000050,BEN-006516,FPS-0162,2026-01,3,2,5,SELF,2026-01-05T14:31:00,CANCELLED
INT-0000051,BEN-004584,FPS-0347,2026-01,18,12,30,SELF,2026-01-07T14:58:00,SUBMITTED
INT-0000052,BEN-004713,FPS-0314,2026-01,10,9,19,AUTHORIZED_PERSON,2026-01-07T17:44:00,CANCELLED
INT-0000053,BEN-003992,FPS-0508,2026-01,22,13,35,SELF,2026-01-18T17:45:00,SUBMITTED
INT-0000054,BEN-001066,FPS-0450,2026-01,10,8,18,SELF,2026-01-15T10:39:00,SUBMITTED
INT-0000055,BEN-005064,FPS-0006,2026-01,21,14,35,SELF,2026-01-18T13:51:00,SUBMITTED
INT-0000056,BEN-004235,FPS-0161,2026-01,9,6,15,SELF,2026-01-14T10:42:00,SUBMITTED
INT-0000057,BEN-001366,FPS-0284,2026-01,15,9,24,SELF,2026-01-16T16:22:00,CANCELLED
INT-0000058,BEN-004285,FPS-0561,2026-01,8,6,14,SELF,2026-01-15T16:02:00,SUBMITTED
INT-0000059,BEN-008788,FPS-0469,2026-01,6,4,10,SELF,2026-01-05T17:08:00,SUBMITTED
INT-0000060,BEN-001930,FPS-0303,2026-01,16,9,25,SELF,2026-01-15T09:38:00,SUBMITTED
INT-0000061,BEN-006252,FPS-0309,2026-01,8,6,14,SELF,2026-01-18T12:56:00,SUBMITTED
INT-0000062,BEN-001956,FPS-0043,2026-01,7,6,13,AUTHORIZED_PERSON,2026-01-10T17:28:00,SUBMITTED
INT-0000063,BEN-002404,FPS-0080,2026-01,22,13,35,AUTHORIZED_PERSON,2026-01-09T08:20:00,SUBMITTED
INT-0000064,BEN-001908,FPS-0163,2026-01,10,8,18,AUTHORIZED_PERSON,2026-01-05T10:19:00,SUBMITTED
INT-0000065,BEN-008398,FPS-0208,2026-01,9,8,17,SELF,2026-01-20T14:02:00,SUBMITTED
INT-0000066,BEN-008324,FPS-0342,2026-01,13,11,24,AUTHORIZED_PERSON,2026-01-16T17:05:00,SUBMITTED
INT-0000067,BEN-001787,FPS-0052,2026-01,23,12,35,SELF,2026-01-17T15:23:00,SUBMITTED
INT-0000068,BEN-004843,FPS-0276,2026-01,13,9,22,SELF,2026-01-17T16:08:00,SUBMITTED
INT-0000069,BEN-000453,FPS-0057,2026-01,22,13,35,AUTHORIZED_PERSON,2026-01-06T16:08:00,SUBMITTED
INT-0000070,BEN-003349,FPS-0496,2026-01,11,8,19,AUTHORIZED_PERSON,2026-01-08T15:49:00,SUBMITTED
INT-0000071,BEN-006280,FPS-0061,2026-01,11,7,18,SELF,2026-01-18T12:40:00,SUBMITTED
INT-0000072,BEN-002740,FPS-0176,2026-01,6,4,10,SELF,2026-01-18T16:18:00,SUBMITTED
INT-0000073,BEN-002672,FPS-0048,2026-01,11,9,20,AUTHORIZED_PERSON,2026-01-16T11:16:00,SUBMITTED
INT-0000074,BEN-005482,FPS-0162,2026-01,17,12,29,SELF,2026-01-17T18:23:00,SUBMITTED
INT-0000075,BEN-000338,FPS-0010,2026-01,9,8,17,SELF,2026-01-09T16:33:00,SUBMITTED
INT-0000076,BEN-000157,FPS-0384,2026-01,15,10,25,AUTHORIZED_PERSON,2026-01-10T10:30:00,SUBMITTED
INT-0000077,BEN-005640,FPS-0075,2026-01,7,4,11,AUTHORIZED_PERSON,2026-01-10T09:12:00,SUBMITTED
INT-0000078,BEN-000115,FPS-0201,2026-01,13,7,20,SELF,2026-01-12T08:59:00,SUBMITTED
INT-0000079,BEN-009509,FPS-0359,2026-01,19,11,30,AUTHORIZED_PERSON,2026-01-05T18:58:00,SUBMITTED
INT-0000080,BEN-005037,FPS-0316,2026-01,12,7,19,SELF,2026-01-20T12:09:00,SUBMITTED
INT-0000081,BEN-007778,FPS-0496,2026-01,8,7,15,AUTHORIZED_PERSON,2026-01-19T13:30:00,SUBMITTED
INT-0000082,BEN-006202,FPS-0556,2026-01,8,5,13,SELF,2026-01-15T18:02:00,SUBMITTED
INT-0000083,BEN-004197,FPS-0414,2026-01,13,8,21,AUTHORIZED_PERSON,2026-01-17T09:41:00,CANCELLED
INT-0000084,BEN-000038,FPS-0318,2026-01,7,5,12,SELF,2026-01-18T14:58:00,SUBMITTED
INT-0000085,BEN-008668,FPS-0567,2026-01,14,8,22,AUTHORIZED_PERSON,2026-01-12T08:53:00,SUBMITTED
INT-0000086,BEN-009849,FPS-0517,2026-01,8,5,13,AUTHORIZED_PERSON,2026-01-07T17:46:00,SUBMITTED
INT-0000087,BEN-006263,FPS-0089,2026-01,14,9,23,AUTHORIZED_PERSON,2026-01-16T12:11:00,SUBMITTED
INT-0000088,BEN-009487,FPS-0095,2026-01,16,10,26,AUTHORIZED_PERSON,2026-01-17T18:54:00,SUBMITTED
INT-0000089,BEN-004966,FPS-0489,2026-01,6,4,10,AUTHORIZED_PERSON,2026-01-10T10:38:00,SUBMITTED
INT-0000090,BEN-003029,FPS-0035,2026-01,14,10,24,SELF,2026-01-09T10:19:00,SUBMITTED
INT-0000091,BEN-004648,FPS-0465,2026-01,2,2,4,SELF,2026-01-05T11:40:00,SUBMITTED
INT-0000092,BEN-004155,FPS-0538,2026-01,12,8,20,AUTHORIZED_PERSON,2026-01-17T13:52:00,SUBMITTED
INT-0000093,BEN-000074,FPS-0330,2026-01,12,8,20,AUTHORIZED_PERSON,2026-01-09T15:38:00,SUBMITTED
INT-0000094,BEN-001679,FPS-0259,2026-01,5,3,8,SELF,2026-01-17T12:34:00,SUBMITTED
INT-0000095,BEN-006535,FPS-0388,2026-01,6,4,10,AUTHORIZED_PERSON,2026-01-12T09:19:00,SUBMITTED
INT-0000096,BEN-007268,FPS-0136,2026-01,19,12,31,AUTHORIZED_PERSON,2026-01-11T19:15:00,SUBMITTED
INT-0000097,BEN-008070,FPS-0455,2026-01,12,8,20,SELF,2026-01-12T09:35:00,SUBMITTED
INT-0000098,BEN-003312,FPS-0479,2026-01,10,6,16,AUTHORIZED_PERSON,2026-01-20T19:32:00,SUBMITTED
INT-0000099,BEN-007630,FPS-0407,2026-01,12,8,20,AUTHORIZED_PERSON,2026-01-06T14:23:00,SUBMITTED
INT-0000100,BEN-006945,FPS-0452,2026-01,3,2,5,SELF,2026-01-13T12:19:00,SUBMITTED
INT-0000101,BEN-003547,FPS-0172,2026-01,7,4,11,AUTHORIZED_PERSON,2026-01-17T14:59:00,SUBMITTED
INT-0000102,BEN-006791,FPS-0315,2026-01,13,11,24,AUTHORIZED_PERSON,2026-01-13T16:29:00,SUBMITTED
INT-0000103,BEN-001300,FPS-0271,2026-01,15,11,26,AUTHORIZED_PERSON,2026-01-12T15:16:00,SUBMITTED
INT-0000104,BEN-009189,FPS-0420,2026-01,15,8,23,SELF,2026-01-11T12:54:00,SUBMITTED
INT-0000105,BEN-001561,FPS-0108,2026-01,11,9,20,AUTHORIZED_PERSON,2026-01-10T17:34:00,SUBMITTED
INT-0000106,BEN-007746,FPS-0411,2026-01,8,5,13,SELF,2026-01-12T11:19:00,SUBMITTED
INT-0000107,BEN-008826,FPS-0505,2026-01,10,5,15,AUTHORIZED_PERSON,2026-01-18T15:15:00,SUBMITTED
INT-0000108,BEN-000612,FPS-0557,2026-01,12,10,22,AUTHORIZED_PERSON,2026-01-20T18:31:00,CANCELLED
INT-0000109,BEN-009979,FPS-0535,2026-01,9,6,15,SELF,2026-01-09T17:47:00,SUBMITTED
INT-0000110,BEN-000502,FPS-0207,2026-01,22,13,35,AUTHORIZED_PERSON,2026-01-09T12:05:00,SUBMITTED
INT-0000111,BEN-002620,FPS-0499,2026-01,17,13,30,SELF,2026-01-20T11:45:00,SUBMITTED
INT-0000112,BEN-005651,FPS-0519,2026-01,15,10,25,AUTHORIZED_PERSON,2026-01-18T17:14:00,SUBMITTED
INT-0000113,BEN-004946,FPS-0442,2026-01,8,5,13,AUTHORIZED_PERSON,2026-01-12T18:27:00,SUBMITTED
INT-0000114,BEN-004962,FPS-0042,2026-01,8,5,13,AUTHORIZED_PERSON,2026-01-06T09:14:00,SUBMITTED
INT-0000115,BEN-001643,FPS-0088,2026-01,2,1,3,SELF,2026-01-11T19:13:00,SUBMITTED
INT-0000116,BEN-004377,FPS-0410,2026-01,7,4,11,SELF,2026-01-07T09:40:00,SUBMITTED
INT-0000117,BEN-009415,FPS-0234,2026-01,5,3,8,AUTHORIZED_PERSON,2026-01-07T09:17:00,SUBMITTED
INT-0000118,BEN-007822,FPS-0213,2026-01,8,5,13,SELF,2026-01-15T15:58:00,SUBMITTED
INT-0000119,BEN-008320,FPS-0472,2026-01,17,12,29,AUTHORIZED_PERSON,2026-01-19T18:52:00,SUBMITTED
INT-0000120,BEN-002188,FPS-0106,2026-01,14,11,25,AUTHORIZED_PERSON,2026-01-15T14:21:00,SUBMITTED
INT-0000121,BEN-003112,FPS-0224,2026-01,5,3,8,AUTHORIZED_PERSON,2026-01-18T13:41:00,SUBMITTED
INT-0000122,BEN-004975,FPS-0281,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-13T17:01:00,CANCELLED
INT-0000123,BEN-008983,FPS-0538,2026-01,20,15,35,AUTHORIZED_PERSON,2026-01-20T14:35:00,SUBMITTED
INT-0000124,BEN-009603,FPS-0282,2026-01,7,4,11,AUTHORIZED_PERSON,2026-01-09T15:10:00,SUBMITTED
INT-0000125,BEN-008975,FPS-0525,2026-01,8,5,13,SELF,2026-01-17T10:00:00,CANCELLED
INT-0000126,BEN-007508,FPS-0282,2026-01,19,15,34,SELF,2026-01-07T12:46:00,SUBMITTED
INT-0000127,BEN-008011,FPS-0111,2026-01,16,11,27,SELF,2026-01-09T10:04:00,SUBMITTED
INT-0000128,BEN-006218,FPS-0063,2026-01,21,14,35,SELF,2026-01-19T19:03:00,SUBMITTED
INT-0000129,BEN-005954,FPS-0279,2026-01,2,1,3,SELF,2026-01-13T11:55:00,SUBMITTED
INT-0000130,BEN-005652,FPS-0010,2026-01,19,11,30,AUTHORIZED_PERSON,2026-01-19T14:29:00,SUBMITTED
INT-0000131,BEN-001008,FPS-0010,2026-01,12,7,19,SELF,2026-01-17T08:10:00,SUBMITTED
INT-0000132,BEN-008307,FPS-0595,2026-01,10,5,15,AUTHORIZED_PERSON,2026-01-17T18:44:00,SUBMITTED
INT-0000133,BEN-001169,FPS-0060,2026-01,21,14,35,SELF,2026-01-18T18:37:00,SUBMITTED
INT-0000134,BEN-009424,FPS-0357,2026-01,13,7,20,AUTHORIZED_PERSON,2026-01-08T11:12:00,SUBMITTED
INT-0000135,BEN-005501,FPS-0098,2026-01,22,13,35,SELF,2026-01-18T18:48:00,SUBMITTED
INT-0000136,BEN-000839,FPS-0119,2026-01,12,7,19,AUTHORIZED_PERSON,2026-01-09T18:46:00,SUBMITTED
INT-0000137,BEN-004244,FPS-0533,2026-01,8,5,13,SELF,2026-01-18T08:20:00,SUBMITTED
INT-0000138,BEN-008464,FPS-0429,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-13T09:30:00,SUBMITTED
INT-0000139,BEN-002020,FPS-0295,2026-01,8,5,13,SELF,2026-01-13T13:05:00,SUBMITTED
INT-0000140,BEN-000472,FPS-0038,2026-01,14,9,23,AUTHORIZED_PERSON,2026-01-20T17:14:00,SUBMITTED
INT-0000141,BEN-000689,FPS-0146,2026-01,8,6,14,AUTHORIZED_PERSON,2026-01-15T18:32:00,SUBMITTED
INT-0000142,BEN-003648,FPS-0113,2026-01,14,11,25,AUTHORIZED_PERSON,2026-01-14T10:05:00,SUBMITTED
INT-0000143,BEN-009403,FPS-0166,2026-01,16,9,25,SELF,2026-01-06T13:29:00,SUBMITTED
INT-0000144,BEN-006024,FPS-0331,2026-01,14,10,24,AUTHORIZED_PERSON,2026-01-08T08:57:00,SUBMITTED
INT-0000145,BEN-006029,FPS-0555,2026-01,20,15,35,AUTHORIZED_PERSON,2026-01-09T08:04:00,SUBMITTED
INT-0000146,BEN-000362,FPS-0062,2026-01,10,6,16,AUTHORIZED_PERSON,2026-01-10T13:44:00,CANCELLED
INT-0000147,BEN-004047,FPS-0585,2026-01,7,4,11,SELF,2026-01-12T17:07:00,SUBMITTED
INT-0000148,BEN-006372,FPS-0270,2026-01,9,6,15,SELF,2026-01-13T18:31:00,SUBMITTED
INT-0000149,BEN-002894,FPS-0295,2026-01,20,15,35,SELF,2026-01-06T10:21:00,SUBMITTED
INT-0000150,BEN-000917,FPS-0037,2026-01,15,9,24,AUTHORIZED_PERSON,2026-01-15T16:39:00,SUBMITTED
INT-0000151,BEN-004529,FPS-0065,2026-01,3,2,5,AUTHORIZED_PERSON,2026-01-19T09:22:00,SUBMITTED
INT-0000152,BEN-004853,FPS-0380,2026-01,14,9,23,AUTHORIZED_PERSON,2026-01-05T17:05:00,SUBMITTED
INT-0000153,BEN-009902,FPS-0585,2026-01,10,6,16,SELF,2026-01-06T15:33:00,SUBMITTED
INT-0000154,BEN-007799,FPS-0105,2026-01,7,4,11,SELF,2026-01-10T14:19:00,SUBMITTED
INT-0000155,BEN-001495,FPS-0139,2026-01,14,11,25,AUTHORIZED_PERSON,2026-01-12T19:34:00,SUBMITTED
INT-0000156,BEN-002239,FPS-0505,2026-01,2,2,4,AUTHORIZED_PERSON,2026-01-17T13:39:00,SUBMITTED
INT-0000157,BEN-001369,FPS-0595,2026-01,10,6,16,AUTHORIZED_PERSON,2026-01-17T09:47:00,SUBMITTED
INT-0000158,BEN-005089,FPS-0176,2026-01,14,11,25,AUTHORIZED_PERSON,2026-01-08T13:56:00,SUBMITTED
INT-0000159,BEN-008847,FPS-0056,2026-01,5,3,8,SELF,2026-01-07T15:47:00,SUBMITTED
INT-0000160,BEN-006329,FPS-0562,2026-01,11,9,20,SELF,2026-01-13T17:46:00,SUBMITTED
INT-0000161,BEN-001370,FPS-0554,2026-01,5,4,9,AUTHORIZED_PERSON,2026-01-08T11:14:00,SUBMITTED
INT-0000162,BEN-005903,FPS-0470,2026-01,14,9,23,SELF,2026-01-17T12:11:00,SUBMITTED
INT-0000163,BEN-004392,FPS-0585,2026-01,20,13,33,AUTHORIZED_PERSON,2026-01-17T09:31:00,SUBMITTED
INT-0000164,BEN-003255,FPS-0053,2026-01,7,6,13,SELF,2026-01-20T11:01:00,SUBMITTED
INT-0000165,BEN-008039,FPS-0359,2026-01,11,8,19,AUTHORIZED_PERSON,2026-01-10T08:04:00,SUBMITTED
INT-0000166,BEN-007891,FPS-0146,2026-01,7,5,12,AUTHORIZED_PERSON,2026-01-07T16:51:00,SUBMITTED
INT-0000167,BEN-002797,FPS-0195,2026-01,10,6,16,AUTHORIZED_PERSON,2026-01-17T12:21:00,SUBMITTED
INT-0000168,BEN-004852,FPS-0575,2026-01,8,7,15,AUTHORIZED_PERSON,2026-01-05T13:05:00,SUBMITTED
INT-0000169,BEN-004375,FPS-0470,2026-01,2,2,4,SELF,2026-01-15T15:34:00,SUBMITTED
INT-0000170,BEN-002507,FPS-0559,2026-01,17,12,29,SELF,2026-01-20T17:35:00,SUBMITTED
INT-0000171,BEN-004455,FPS-0524,2026-01,3,2,5,AUTHORIZED_PERSON,2026-01-07T15:18:00,SUBMITTED
INT-0000172,BEN-008674,FPS-0468,2026-01,8,6,14,SELF,2026-01-08T09:22:00,SUBMITTED
INT-0000173,BEN-000740,FPS-0545,2026-01,9,6,15,SELF,2026-01-19T14:32:00,SUBMITTED
INT-0000174,BEN-005142,FPS-0082,2026-01,16,9,25,AUTHORIZED_PERSON,2026-01-11T11:38:00,SUBMITTED
INT-0000175,BEN-004173,FPS-0114,2026-01,6,4,10,AUTHORIZED_PERSON,2026-01-20T15:42:00,SUBMITTED
INT-0000176,BEN-008655,FPS-0119,2026-01,6,4,10,SELF,2026-01-18T15:55:00,SUBMITTED
INT-0000177,BEN-009652,FPS-0308,2026-01,7,4,11,AUTHORIZED_PERSON,2026-01-10T14:27:00,SUBMITTED
INT-0000178,BEN-002645,FPS-0063,2026-01,15,10,25,SELF,2026-01-18T16:43:00,SUBMITTED
INT-0000179,BEN-006858,FPS-0442,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-10T08:38:00,SUBMITTED
INT-0000180,BEN-009208,FPS-0560,2026-01,20,15,35,SELF,2026-01-13T11:58:00,SUBMITTED
INT-0000181,BEN-006105,FPS-0404,2026-01,8,7,15,AUTHORIZED_PERSON,2026-01-19T17:30:00,SUBMITTED
INT-0000182,BEN-002802,FPS-0128,2026-01,11,8,19,AUTHORIZED_PERSON,2026-01-19T10:09:00,SUBMITTED
INT-0000183,BEN-007454,FPS-0036,2026-01,8,6,14,AUTHORIZED_PERSON,2026-01-11T14:35:00,SUBMITTED
INT-0000184,BEN-000932,FPS-0578,2026-01,3,2,5,SELF,2026-01-07T11:56:00,SUBMITTED
INT-0000185,BEN-006689,FPS-0091,2026-01,5,3,8,SELF,2026-01-09T13:16:00,SUBMITTED
INT-0000186,BEN-003457,FPS-0041,2026-01,16,10,26,AUTHORIZED_PERSON,2026-01-15T08:56:00,SUBMITTED
INT-0000187,BEN-001090,FPS-0520,2026-01,8,6,14,AUTHORIZED_PERSON,2026-01-20T14:59:00,SUBMITTED
INT-0000188,BEN-001533,FPS-0022,2026-01,5,3,8,AUTHORIZED_PERSON,2026-01-12T18:35:00,SUBMITTED
INT-0000189,BEN-009994,FPS-0539,2026-01,8,5,13,SELF,2026-01-10T13:09:00,SUBMITTED
INT-0000190,BEN-007590,FPS-0080,2026-01,16,9,25,SELF,2026-01-10T10:32:00,SUBMITTED
INT-0000191,BEN-009682,FPS-0058,2026-01,11,7,18,SELF,2026-01-15T19:43:00,SUBMITTED
INT-0000192,BEN-005632,FPS-0295,2026-01,8,6,14,AUTHORIZED_PERSON,2026-01-17T19:36:00,CANCELLED
INT-0000193,BEN-001550,FPS-0167,2026-01,2,2,4,AUTHORIZED_PERSON,2026-01-06T11:58:00,SUBMITTED
INT-0000194,BEN-006460,FPS-0539,2026-01,20,15,35,SELF,2026-01-07T09:14:00,SUBMITTED
INT-0000195,BEN-007058,FPS-0228,2026-01,16,9,25,AUTHORIZED_PERSON,2026-01-11T09:11:00,SUBMITTED
INT-0000196,BEN-008895,FPS-0246,2026-01,22,13,35,SELF,2026-01-16T13:26:00,SUBMITTED
INT-0000197,BEN-007126,FPS-0039,2026-01,10,9,19,AUTHORIZED_PERSON,2026-01-14T13:10:00,SUBMITTED
INT-0000198,BEN-003354,FPS-0583,2026-01,6,4,10,SELF,2026-01-09T15:27:00,SUBMITTED
INT-0000199,BEN-000340,FPS-0314,2026-01,9,4,13,AUTHORIZED_PERSON,2026-01-12T16:04:00,SUBMITTED
INT-0000200,BEN-001863,FPS-0469,2026-01,8,6,14,AUTHORIZED_PERSON,2026-01-10T16:20:00,SUBMITTED
INT-0000201,BEN-009469,FPS-0479,2026-01,14,8,22,AUTHORIZED_PERSON,2026-01-06T17:15:00,SUBMITTED
INT-0000202,BEN-004243,FPS-0480,2026-01,2,2,4,SELF,2026-01-20T09:26:00,SUBMITTED
INT-0000203,BEN-002924,FPS-0113,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-13T12:54:00,SUBMITTED
INT-0000204,BEN-003246,FPS-0392,2026-01,8,6,14,AUTHORIZED_PERSON,2026-01-19T15:05:00,SUBMITTED
INT-0000205,BEN-002649,FPS-0214,2026-01,5,4,9,AUTHORIZED_PERSON,2026-01-20T13:03:00,SUBMITTED
INT-0000206,BEN-001644,FPS-0562,2026-01,16,10,26,SELF,2026-01-12T09:52:00,SUBMITTED
INT-0000207,BEN-003543,FPS-0127,2026-01,11,9,20,AUTHORIZED_PERSON,2026-01-18T13:49:00,SUBMITTED
INT-0000208,BEN-008527,FPS-0275,2026-01,8,5,13,SELF,2026-01-06T09:09:00,SUBMITTED
INT-0000209,BEN-006804,FPS-0543,2026-01,5,4,9,AUTHORIZED_PERSON,2026-01-19T19:57:00,SUBMITTED
INT-0000210,BEN-006692,FPS-0387,2026-01,19,12,31,AUTHORIZED_PERSON,2026-01-11T13:52:00,SUBMITTED
INT-0000211,BEN-004778,FPS-0057,2026-01,6,4,10,AUTHORIZED_PERSON,2026-01-16T16:04:00,SUBMITTED
INT-0000212,BEN-007485,FPS-0387,2026-01,12,8,20,AUTHORIZED_PERSON,2026-01-09T17:29:00,SUBMITTED
INT-0000213,BEN-007367,FPS-0407,2026-01,19,10,29,SELF,2026-01-16T14:26:00,SUBMITTED
INT-0000214,BEN-000571,FPS-0582,2026-01,7,5,12,SELF,2026-01-16T17:03:00,SUBMITTED
INT-0000215,BEN-003492,FPS-0337,2026-01,20,15,35,AUTHORIZED_PERSON,2026-01-05T09:13:00,SUBMITTED
INT-0000216,BEN-009081,FPS-0257,2026-01,12,6,18,SELF,2026-01-13T18:00:00,SUBMITTED
INT-0000217,BEN-003861,FPS-0418,2026-01,2,2,4,AUTHORIZED_PERSON,2026-01-07T11:27:00,SUBMITTED
INT-0000218,BEN-002738,FPS-0370,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-16T11:04:00,SUBMITTED
INT-0000219,BEN-007035,FPS-0491,2026-01,10,6,16,AUTHORIZED_PERSON,2026-01-18T08:03:00,SUBMITTED
INT-0000220,BEN-008996,FPS-0150,2026-01,17,9,26,AUTHORIZED_PERSON,2026-01-09T19:08:00,SUBMITTED
INT-0000221,BEN-003609,FPS-0019,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-16T18:07:00,SUBMITTED
