grievance_id,beneficiary_id,fps_id,category,description,created_at,status,resolution,resolved_at
GRV-000012,BEN-003725,FPS-0453,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2024103724 at FPS-0453,2026-01-21T03:00:00,RESOLVED,Resolved: WRONG_QUANTITY verified and adjusted,2026-01-25T03:00:00
GRV-000013,BEN-006958,FPS-0299,OTHER,OTHER reported for RC2023106957 at FPS-0299,2026-01-26T05:00:00,IN_REVIEW,,
GRV-000014,BEN-009227,FPS-0556,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2024109226 at FPS-0556,2026-01-29T01:00:00,RESOLVED,Resolved: ENTITLEMENT_QUERY verified and adjusted,2026-02-08T01:00:00
GRV-000015,BEN-009669,FPS-0350,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2025109668 at FPS-0350,2026-02-23T06:00:00,CLOSED,Resolved: ENTITLEMENT_QUERY verified and adjusted,2026-02-27T06:00:00
GRV-000016,BEN-004246,FPS-0204,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2023104245 at FPS-0204,2026-02-01T20:00:00,RESOLVED,Resolved: ENTITLEMENT_QUERY verified and adjusted,2026-02-02T20:00:00
GRV-000017,BEN-002007,FPS-0259,SHORT_DELIVERY,SHORT_DELIVERY reported for RC2025102006 at FPS-0259,2026-03-13T09:00:00,RESOLVED,Resolved: SHORT_DELIVERY verified and adjusted,2026-03-17T09:00:00
GRV-000018,BEN-008075,FPS-0575,OTHER,OTHER reported for RC2024108074 at FPS-0575,2026-02-16T10:00:00,IN_REVIEW,,
GRV-000019,BEN-006466,FPS-0542,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2023106465 at FPS-0542,2026-03-05T02:00:00,RESOLVED,Resolved: WRONG_QUANTITY verified and adjusted,2026-03-06T02:00:00
GRV-000020,BEN-000414,FPS-0314,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2025100413 at FPS-0314,2026-03-10T20:00:00,RESOLVED,Resolved: WRONG_QUANTITY verified and adjusted,2026-03-13T20:00:00
GRV-000021,BEN-006921,FPS-0248,OTHER,OTHER reported for RC2025106920 at FPS-0248,2026-02-06T08:00:00,CLOSED,Resolved: OTHER verified and adjusted,2026-02-14T08:00:00
GRV-000022,BEN-001545,FPS-0533,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2025101544 at FPS-0533,2026-02-15T02:00:00,RESOLVED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-02-22T02:00:00
GRV-000023,BEN-005110,FPS-0292,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2023105109 at FPS-0292,2026-01-19T08:00:00,IN_REVIEW,,
GRV-000024,BEN-006862,FPS-0183,OTHER,OTHER reported for RC2023106861 at FPS-0183,2026-01-06T16:00:00,RESOLVED,Resolved: OTHER verified and adjusted,2026-01-12T16:00:00
GRV-000025,BEN-009938,FPS-0093,FPS_CLOSED,FPS_CLOSED reported for RC2024109937 at FPS-0093,2026-03-15T04:00:00,RESOLVED,Resolved: FPS_CLOSED verified and adjusted,2026-03-20T04:00:00
GRV-000026,BEN-000115,FPS-0201,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2023100114 at FPS-0201,2026-02-06T20:00:00,CLOSED,Resolved: ENTITLEMENT_QUERY verified and adjusted,2026-02-13T20:00:00
GRV-000027,BEN-005249,FPS-0103,FPS_CLOSED,FPS_CLOSED reported for RC2024105248 at FPS-0103,2026-01-24T18:00:00,RESOLVED,Resolved: FPS_CLOSED verified and adjusted,2026-01-31T18:00:00
GRV-000028,BEN-004013,FPS-0255,OTHER,OTHER reported for RC2024104012 at FPS-0255,2026-01-30T05:00:00,IN_REVIEW,,
GRV-000029,BEN-009719,FPS-0189,SHORT_DELIVERY,SHORT_DELIVERY reported for RC2024109718 at FPS-0189,2026-01-22T12:00:00,RESOLVED,Resolved: SHORT_DELIVERY verified and adjusted,2026-01-29T12:00:00
GRV-000030,BEN-005951,FPS-0034,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2024105950 at FPS-0034,2026-02-22T15:00:00,RESOLVED,Resolved: ENTITLEMENT_QUERY verified and adjusted,2026-02-27T15:00:00
GRV-000031,BEN-001148,FPS-0412,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2024101147 at FPS-0412,2026-01-11T18:00:00,IN_REVIEW,,
GRV-000032,BEN-003610,FPS-0409,QUALITY,QUALITY reported for RC2023103609 at FPS-0409,2026-03-17T21:00:00,CLOSED,Resolved: QUALITY verified and adjusted,2026-03-27T21:00:00
GRV-000033,BEN-009595,FPS-0181,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2023109594 at FPS-0181,2026-01-11T03:00:00,RESOLVED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-01-15T03:00:00
GRV-000034,BEN-003424,FPS-0055,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2023103423 at FPS-0055,2026-03-20T07:00:00,RESOLVED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-03-24T07:00:00
GRV-000035,BEN-002580,FPS-0141,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2025102579 at FPS-0141,2026-01-09T21:00:00,CLOSED,Resolved: ENTITLEMENT_QUERY verified and adjusted,2026-01-16T21:00:00
GRV-000036,BEN-003568,FPS-0219,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2023103567 at FPS-0219,2026-03-21T19:00:00,RESOLVED,Resolved: ENTITLEMENT_QUERY verified and adjusted,2026-03-22T19:00:00
GRV-000037,BEN-007398,FPS-0361,QUALITY,QUALITY reported for RC2025107397 at FPS-0361,2026-03-02T00:00:00,OPEN,,
GRV-000038,BEN-006837,FPS-0432,QUALITY,QUALITY reported for RC2025106836 at FPS-0432,2026-02-17T07:00:00,OPEN,,
GRV-000039,BEN-005990,FPS-0150,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2024105989 at FPS-0150,2026-03-17T13:00:00,IN_REVIEW,,
GRV-000040,BEN-005587,FPS-0439,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2023105586 at FPS-0439,2026-01-05T22:00:00,IN_REVIEW,,
GRV-000041,BEN-006660,FPS-0305,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2025106659 at FPS-0305,2026-02-19T06:00:00,RESOLVED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-02-27T06:00:00
GRV-000042,BEN-001994,FPS-0174,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2024101993 at FPS-0174,2026-02-08T01:00:00,RESOLVED,Resolved: WRONG_QUANTITY verified and adjusted,2026-02-10T01:00:00
GRV-000043,BEN-009046,FPS-0092,FPS_CLOSED,FPS_CLOSED reported for RC2023109045 at FPS-0092,2026-02-11T11:00:00,IN_REVIEW,,
GRV-000044,BEN-004143,FPS-0076,QUALITY,QUALITY reported for RC2025104142 at FPS-0076,2026-01-08T04:00:00,RESOLVED,Resolved: QUALITY verified and adjusted,2026-01-17T04:00:00
GRV-000045,BEN-005168,FPS-0093,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2024105167 at FPS-0093,2026-02-07T21:00:00,RESOLVED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-02-16T21:00:00
GRV-000046,BEN-007171,FPS-0359,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2023107170 at FPS-0359,2026-02-17T10:00:00,CLOSED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-02-19T10:00:00
GRV-000047,BEN-005745,FPS-0434,QUALITY,QUALITY reported for RC2025105744 at FPS-0434,2026-02-09T05:00:00,CLOSED,Resolved: QUALITY verified and adjusted,2026-02-11T05:00:00
GRV-000048,BEN-009032,FPS-0182,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2024109031 at FPS-0182,2026-02-08T23:00:00,RESOLVED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-02-12T23:00:00
GRV-000049,BEN-002000,FPS-0197,QUALITY,QUALITY reported for RC2024101999 at FPS-0197,2026-01-12T13:00:00,CLOSED,Resolved: QUALITY verified and adjusted,2026-01-16T13:00:00
GRV-000050,BEN-009954,FPS-0555,FPS_CLOSED,FPS_CLOSED reported for RC2025109953 at FPS-0555,2026-01-15T07:00:00,RESOLVED,Resolved: FPS_CLOSED verified and adjusted,2026-01-18T07:00:00
GRV-000051,BEN-004971,FPS-0460,FPS_CLOSED,FPS_CLOSED reported for RC2025104970 at FPS-0460,2026-02-07T05:00:00,RESOLVED,Resolved: FPS_CLOSED verified and adjusted,2026-02-09T05:00:00
GRV-000052,BEN-000949,FPS-0453,OTHER,OTHER reported for RC2023100948 at FPS-0453,2026-01-15T21:00:00,CLOSED,Resolved: OTHER verified and adjusted,2026-01-20T21:00:00
GRV-000053,BEN-001061,FPS-0178,OTHER,OTHER reported for RC2024101060 at FPS-0178,2026-01-27T14:00:00,OPEN,,
GRV-000054,BEN-000097,FPS-0053,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2023100096 at FPS-0053,2026-02-17T09:00:00,OPEN,,
GRV-000055,BEN-009594,FPS-0428,SHORT_DELIVERY,SHORT_DELIVERY reported for RC2025109593 at FPS-0428,2026-03-04T21:00:00,OPEN,,
GRV-000056,BEN-007649,FPS-0477,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2024107648 at FPS-0477,2026-01-29T23:00:00,RESOLVED,Resolved: ENTITLEMENT_QUERY verified and adjusted,2026-02-06T23:00:00
GRV-000057,BEN-007002,FPS-0254,FPS_CLOSED,FPS_CLOSED reported for RC2025107001 at FPS-0254,2026-01-16T03:00:00,OPEN,,
GRV-000058,BEN-006014,FPS-0381,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2024106013 at FPS-0381,2026-02-07T16:00:00,CLOSED,Resolved: WRONG_QUANTITY verified and adjusted,2026-02-11T16:00:00
GRV-000059,BEN-009712,FPS-0593,FPS_CLOSED,FPS_CLOSED reported for RC2023109711 at FPS-0593,2026-01-28T07:00:00,IN_REVIEW,,
GRV-000060,BEN-003991,FPS-0188,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2023103990 at FPS-0188,2026-02-14T07:00:00,RESOLVED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-02-19T07:00:00
GRV-000061,BEN-009477,FPS-0492,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2025109476 at FPS-0492,2026-03-14T12:00:00,RESOLVED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-03-17T12:00:00
GRV-000062,BEN-008587,FPS-0285,SHORT_DELIVERY,SHORT_DELIVERY reported for RC2023108586 at FPS-0285,2026-01-16T23:00:00,IN_REVIEW,,
GRV-000063,BEN-004818,FPS-0524,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2025104817 at FPS-0524,2026-01-23T19:00:00,IN_REVIEW,,
GRV-000064,BEN-005590,FPS-0056,SHORT_DELIVERY,SHORT_DELIVERY reported for RC2023105589 at FPS-0056,2026-02-12T18:00:00,RESOLVED,Resolved: SHORT_DELIVERY verified and adjusted,2026-02-17T18:00:00
GRV-000065,BEN-009851,FPS-0224,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2024109850 at FPS-0224,2026-02-26T07:00:00,RESOLVED,Resolved: ENTITLEMENT_QUERY verified and adjusted,2026-03-02T07:00:00
GRV-000066,BEN-004062,FPS-0250,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2025104061 at FPS-0250,2026-02-07T04:00:00,OPEN,,
GRV-000067,BEN-000639,FPS-0153,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2025100638 at FPS-0153,2026-02-21T23:00:00,IN_REVIEW,,
GRV-000068,BEN-005372,FPS-0281,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2024105371 at FPS-0281,2026-01-13T08:00:00,RESOLVED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-01-18T08:00:00
GRV-000069,BEN-005682,FPS-0209,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2025105681 at FPS-0209,2026-02-24T14:00:00,RESOLVED,Resolved: ENTITLEMENT_QUERY verified and adjusted,2026-03-02T14:00:00
GRV-000070,BEN-007256,FPS-0094,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2024107255 at FPS-0094,2026-01-05T11:00:00,RESOLVED,Resolved: WRONG_QUANTITY verified and adjusted,2026-01-10T11:00:00
GRV-000071,BEN-002010,FPS-0328,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2025102009 at FPS-0328,2026-02-21T21:00:00,CLOSED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-02-22T21:00:00
GRV-000072,BEN-007940,FPS-0300,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2024107939 at FPS-0300,2026-03-05T16:00:00,RESOLVED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-03-13T16:00:00
GRV-000073,BEN-007615,FPS-0323,FPS_CLOSED,FPS_CLOSED reported for RC2023107614 at FPS-0323,2026-01-29T08:00:00,OPEN,,
GRV-000074,BEN-007893,FPS-0325,SHORT_DELIVERY,SHORT_DELIVERY reported for RC2025107892 at FPS-0325,2026-02-13T04:00:00,RESOLVED,Resolved: SHORT_DELIVERY verified and adjusted,2026-02-21T04:00:00
GRV-000075,BEN-008968,FPS-0239,QUALITY,QUALITY reported for RC2023108967 at FPS-0239,2026-03-01T08:00:00,RESOLVED,Resolved: QUALITY verified and adjusted,2026-03-03T08:00:00
GRV-000076,BEN-009351,FPS-0198,FPS_CLOSED,FPS_CLOSED reported for RC2025109350 at FPS-0198,2026-01-12T23:00:00,RESOLVED,Resolved: FPS_CLOSED verified and adjusted,2026-01-15T23:00:00
GRV-000077,BEN-005245,FPS-0383,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2023105244 at FPS-0383,2026-02-13T05:00:00,RESOLVED,Resolved: WRONG_QUANTITY verified and adjusted,2026-02-14T05:00:00
GRV-000078,BEN-000230,FPS-0250,SHORT_DELIVERY,SHORT_DELIVERY reported for RC2024100229 at FPS-0250,2026-01-22T21:00:00,RESOLVED,Resolved: SHORT_DELIVERY verified and adjusted,2026-01-29T21:00:00
GRV-000079,BEN-003682,FPS-0552,FPS_CLOSED,FPS_CLOSED reported for RC2023103681 at FPS-0552,2026-02-18T09:00:00,IN_REVIEW,,
GRV-000080,BEN-002294,FPS-0492,QUALITY,QUALITY reported for RC2024102293 at FPS-0492,2026-03-12T07:00:00,CLOSED,Resolved: QUALITY verified and adjusted,2026-03-15T07:00:00
GRV-000081,BEN-006520,FPS-0558,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2023106519 at FPS-0558,2026-02-09T11:00:00,OPEN,,
GRV-000082,BEN-003023,FPS-0336,OTHER,OTHER reported for RC2024103022 at FPS-0336,2026-03-13T13:00:00,OPEN,,
GRV-000083,BEN-003795,FPS-0008,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2025103794 at FPS-0008,2026-02-13T14:00:00,IN_REVIEW,,
GRV-000084,BEN-002521,FPS-0473,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2023102520 at FPS-0473,2026-02-23T21:00:00,RESOLVED,Resolved: ENTITLEMENT_QUERY verified and adjusted,2026-03-04T21:00:00
GRV-000085,BEN-009902,FPS-0585,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2024109901 at FPS-0585,2026-01-14T22:00:00,IN_REVIEW,,
GRV-000086,BEN-004529,FPS-0065,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2024104528 at FPS-0065,2026-02-01T00:00:00,OPEN,,
GRV-000087,BEN-007151,FPS-0555,OTHER,OTHER reported for RC2024107150 at FPS-0555,2026-02-17T22:00:00,OPEN,,
GRV-000088,BEN-000388,FPS-0557,OTHER,OTHER reported for RC2023100387 at FPS-0557,2026-02-25T03:00:00,RESOLVED,Resolved: OTHER verified and adjusted,2026-03-03T03:00:00
GRV-000089,BEN-006350,FPS-0374,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2024106349 at FPS-0374,2026-02-08T14:00:00,CLOSED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-02-13T14:00:00
GRV-000090,BEN-009270,FPS-0502,FPS_CLOSED,FPS_CLOSED reported for RC2025109269 at FPS-0502,2026-02-11T04:00:00,OPEN,,
GRV-000091,BEN-002206,FPS-0484,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2023102205 at FPS-0484,2026-02-02T01:00:00,IN_REVIEW,,
GRV-000092,BEN-009123,FPS-0472,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2025109122 at FPS-0472,2026-02-10T01:00:00,OPEN,,
GRV-000093,BEN-007884,FPS-0124,SHORT_DELIVERY,SHORT_DELIVERY reported for RC2025107883 at FPS-0124,2026-03-16T23:00:00,RESOLVED,Resolved: SHORT_DELIVERY verified and adjusted,2026-03-26T23:00:00
GRV-000094,BEN-008079,FPS-0153,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2025108078 at FPS-0153,2026-02-02T13:00:00,RESOLVED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-02-06T13:00:00
GRV-000095,BEN-006579,FPS-0112,SHORT_DELIVERY,SHORT_DELIVERY reported for RC2025106578 at FPS-0112,2026-03-20T16:00:00,RESOLVED,Resolved: SHORT_DELIVERY verified and adjusted,2026-03-23T16:00:00
GRV-000096,BEN-009133,FPS-0212,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2023109132 at FPS-0212,2026-03-05T03:00:00,IN_REVIEW,,
GRV-000097,BEN-005512,FPS-0187,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2023105511 at FPS-0187,2026-02-05T02:00:00,OPEN,,
GRV-000098,BEN-005554,FPS-0289,QUALITY,QUALITY reported for RC2023105553 at FPS-0289,2026-02-15T01:00:00,RESOLVED,Resolved: QUALITY verified and adjusted,2026-02-20T01:00:00
GRV-000099,BEN-009677,FPS-0146,OTHER,OTHER reported for RC2024109676 at FPS-0146,2026-02-05T19:00:00,RESOLVED,Resolved: OTHER verified and adjusted,2026-02-09T19:00:00
GRV-000100,BEN-008383,FPS-0183,OTHER,OTHER reported for RC2023108382 at FPS-0183,2026-03-20T10:00:00,IN_REVIEW,,
GRV-000101,BEN-000997,FPS-0449,QUALITY,QUALITY reported for RC2023100996 at FPS-0449,2026-03-14T09:00:00,RESOLVED,Resolved: QUALITY verified and adjusted,2026-03-15T09:00:00
GRV-000102,BEN-002469,FPS-0173,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2025102468 at FPS-0173,2026-01-19T13:00:00,OPEN,,
GRV-000103,BEN-003596,FPS-0149,SHORT_DELIVERY,SHORT_DELIVERY reported for RC2024103595 at FPS-0149,2026-02-04T15:00:00,IN_REVIEW,,
GRV-000104,BEN-007781,FPS-0356,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2024107780 at FPS-0356,2026-02-15T07:00:00,OPEN,,
GRV-000105,BEN-005561,FPS-0470,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2024105560 at FPS-0470,2026-01-30T03:00:00,OPEN,,
GRV-000106,BEN-005613,FPS-0098,OTHER,OTHER reported for RC2025105612 at FPS-0098,2026-01-31T21:00:00,IN_REVIEW,,
GRV-000107,BEN-005618,FPS-0553,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2024105617 at FPS-0553,2026-02-19T10:00:00,IN_REVIEW,,
GRV-000108,BEN-002899,FPS-0391,OTHER,OTHER reported for RC2023102898 at FPS-0391,2026-01-07T22:00:00,RESOLVED,Resolved: OTHER verified and adjusted,2026-01-09T22:00:00
GRV-000109,BEN-005688,FPS-0398,QUALITY,QUALITY reported for RC2025105687 at FPS-0398,2026-01-07T00:00:00,CLOSED,Resolved: QUALITY verified and adjusted,2026-01-17T00:00:00
GRV-000110,BEN-005609,FPS-0503,FPS_CLOSED,FPS_CLOSED reported for RC2024105608 at FPS-0503,2026-01-26T23:00:00,OPEN,,
GRV-000111,BEN-009280,FPS-0477,FPS_CLOSED,FPS_CLOSED reported for RC2023109279 at FPS-0477,2026-01-20T09:00:00,CLOSED,Resolved: FPS_CLOSED verified and adjusted,2026-01-30T09:00:00
GRV-000112,BEN-003144,FPS-0351,SHORT_DELIVERY,SHORT_DELIVERY reported for RC2025103143 at FPS-0351,2026-01-20T01:00:00,CLOSED,Resolved: SHORT_DELIVERY verified and adjusted,2026-01-22T01:00:00
GRV-000113,BEN-009100,FPS-0367,OTHER,OTHER reported for RC2023109099 at FPS-0367,2026-01-14T21:00:00,RESOLVED,Resolved: OTHER verified and adjusted,2026-01-24T21:00:00
GRV-000114,BEN-002746,FPS-0147,OTHER,OTHER reported for RC2023102745 at FPS-0147,2026-01-28T08:00:00,OPEN,,
GRV-000115,BEN-000014,FPS-0309,SHORT_DELIVERY,SHORT_DELIVERY reported for RC2024100013 at FPS-0309,2026-02-06T19:00:00,RESOLVED,Resolved: SHORT_DELIVERY verified and adjusted,2026-02-09T19:00:00
GRV-000116,BEN-005033,FPS-0336,OTHER,OTHER reported for RC2024105032 at FPS-0336,2026-01-10T03:00:00,IN_REVIEW,,
GRV-000117,BEN-002529,FPS-0079,SHORT_DELIVERY,SHORT_DELIVERY reported for RC2025102528 at FPS-0079,2026-01-07T12:00:00,CLOSED,Resolved: SHORT_DELIVERY verified and adjusted,2026-01-08T12:00:00
GRV-000118,BEN-003064,FPS-0222,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2023103063 at FPS-0222,2026-03-02T03:00:00,OPEN,,
GRV-000119,BEN-000253,FPS-0312,FPS_CLOSED,FPS_CLOSED reported for RC2023100252 at FPS-0312,2026-02-20T06:00:00,CLOSED,Resolved: FPS_CLOSED verified and adjusted,2026-02-24T06:00:00
GRV-000120,BEN-002205,FPS-0299,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2025102204 at FPS-0299,2026-01-05T01:00:00,IN_REVIEW,,
GRV-000121,BEN-008247,FPS-0024,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2025108246 at FPS-0024,2026-03-15T08:00:00,RESOLVED,Resolved: ENTITLEMENT_QUERY verified and adjusted,2026-03-20T08:00:00
GRV-000122,BEN-000088,FPS-0457,QUALITY,QUALITY reported for RC2023100087 at FPS-0457,2026-03-13T14:00:00,CLOSED,Resolved: QUALITY verified and adjusted,2026-03-23T14:00:00
GRV-000123,BEN-000785,FPS-0210,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2024100784 at FPS-0210,2026-01-20T00:00:00,RESOLVED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-01-29T00:00:00
GRV-000124,BEN-000359,FPS-0275,OTHER,OTHER reported for RC2024100358 at FPS-0275,2026-03-09T01:00:00,OPEN,,
GRV-000125,BEN-005627,FPS-0308,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2024105626 at FPS-0308,2026-02-16T22:00:00,CLOSED,Resolved: ENTITLEMENT_QUERY verified and adjusted,2026-02-19T22:00:00
GRV-000126,BEN-000901,FPS-0205,OTHER,OTHER reported for RC2023100900 at FPS-0205,2026-01-16T10:00:00,OPEN,,
GRV-000127,BEN-001868,FPS-0449,ENTITLEMENT_QUERY,ENTITLEMENT_QUERY reported for RC2024101867 at FPS-0449,2026-02-05T07:00:00,OPEN,,
GRV-000128,BEN-001212,FPS-0097,FPS_CLOSED,FPS_CLOSED reported for RC2025101211 at FPS-0097,2026-03-10T19:00:00,RESOLVED,Resolved: FPS_CLOSED verified and adjusted,2026-03-14T19:00:00
GRV-000129,BEN-000793,FPS-0585,OTHER,OTHER reported for RC2023100792 at FPS-0585,2026-02-20T19:00:00,IN_REVIEW,,
GRV-000130,BEN-009974,FPS-0531,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2024109973 at FPS-0531,2026-03-12T23:00:00,OPEN,,
GRV-000131,BEN-001048,FPS-0187,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2023101047 at FPS-0187,2026-01-18T02:00:00,IN_REVIEW,,
GRV-000132,BEN-006941,FPS-0286,QUALITY,QUALITY reported for RC2024106940 at FPS-0286,2026-03-11T15:00:00,RESOLVED,Resolved: QUALITY verified and adjusted,2026-03-20T15:00:00
GRV-000133,BEN-008058,FPS-0594,OTHER,OTHER reported for RC2025108057 at FPS-0594,2026-03-20T01:00:00,OPEN,,
GRV-000134,BEN-005184,FPS-0301,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2025105183 at FPS-0301,2026-03-13T10:00:00,RESOLVED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-03-21T10:00:00
GRV-000135,BEN-004589,FPS-0442,QUALITY,QUALITY reported for RC2024104588 at FPS-0442,2026-01-20T13:00:00,IN_REVIEW,,
GRV-000136,BEN-007508,FPS-0282,FPS_CLOSED,FPS_CLOSED reported for RC2024107507 at FPS-0282,2026-03-18T10:00:00,RESOLVED,Resolved: FPS_CLOSED verified and adjusted,2026-03-19T10:00:00
GRV-000137,BEN-004901,FPS-0566,SHORT_DELIVERY,SHORT_DELIVERY reported for RC2024104900 at FPS-0566,2026-02-05T05:00:00,RESOLVED,Resolved: SHORT_DELIVERY verified and adjusted,2026-02-13T05:00:00
