inspection_id,fps_id,inspector_id,inspection_date,stock_expected_kg,stock_observed_kg,stock_variance_kg,weighing_accuracy,moisture_status,shop_condition,stock_register_verified,epos_verified,finding,status,evidence_reference,sealed_hash
INSP-000019,FPS-0519,OFF-00020,2026-01-21,665,683,18,1.0,HIGH,GOOD,YES,NO,NORMAL,DRAFT,EVID-8363,3fbaefa6945ae1124fdaeb48edf0a6b04628b50b23fbe78b665189c8af13e903
INSP-000020,FPS-0098,OFF-00057,2026-01-17,952,1022,70,0.97,LOW,POOR,YES,NO,STOCK_VARIANCE,SUBMITTED,EVID-4254,69fe53607ea200189db7addb4df243a75cbd6464008a1f2607013150507c66a6
INSP-000021,FPS-0419,OFF-00061,2026-03-19,1769,1788,19,1.0,HIGH,AVERAGE,YES,NO,NORMAL,SUBMITTED,EVID-3377,5eb5a0d0943aff63c87d27faafb9b67a01ba8ea89db303447c4d82238937d815
INSP-000022,FPS-0204,OFF-00042,2026-01-19,1231,1194,-37,0.98,LOW,POOR,YES,NO,NORMAL,SEALED,EVID-2263,6d8bec303dafa230b663e5daa45ae501a394f1cbd0124e69d249be4100b613ce
INSP-000023,FPS-0341,OFF-00019,2026-03-12,1499,1524,25,0.97,NORMAL,AVERAGE,NO,NO,NORMAL,SUBMITTED,EVID-4930,a89f43f750fc06d35b1cb020ea71eca22910b3834d956c3e0b29955f0c624e58
INSP-000024,FPS-0112,OFF-00028,2026-01-10,619,635,16,1.0,NORMAL,GOOD,YES,YES,NORMAL,SEALED,EVID-1497,f8631d03a663801ec95560d16329627992703eff72396365bc1a6aff888ee47c
INSP-000025,FPS-0469,OFF-00030,2026-01-28,2002,2045,43,0.98,HIGH,POOR,NO,NO,NORMAL,SEALED,EVID-3114,fb4d1e8b0452849f839abaa78896f990aa13fca3f0af919b88f23c880002fbbb
INSP-000026,FPS-0510,OFF-00040,2026-03-04,1445,1486,41,0.99,NORMAL,GOOD,NO,NO,NORMAL,DRAFT,EVID-5938,e4aca6784b047a1b3038fb5d07be7db27fa6e4a01bceec39478d2d910a5e3047
INSP-000027,FPS-0266,OFF-00039,2026-02-04,1926,1943,17,0.98,LOW,GOOD,YES,NO,NORMAL,SUBMITTED,EVID-6312,e75be4e429403e9ada3638ad76a49a66a10d64918e9c6b2892f796e725ee7630
INSP-000028,FPS-0181,OFF-00041,2026-03-13,916,939,23,0.98,HIGH,GOOD,YES,YES,NORMAL,SUBMITTED,EVID-1945,d8c2f7f29c549e5a171950f628760553902bb02e4a5e68c9a656092a33d1d43f
INSP-000029,FPS-0006,OFF-00049,2026-01-29,1227,1234,7,0.99,HIGH,AVERAGE,YES,NO,NORMAL,SUBMITTED,EVID-4335,0ef265f0bfabc84544f7136174ea89e29adddbe8ecf596d72cbb6d973d491514
INSP-000030,FPS-0455,OFF-00022,2026-03-11,1829,1844,15,0.98,NORMAL,GOOD,YES,NO,NORMAL,SEALED,EVID-7765,793958ae1b2c7b0896fe3ae5e49de9bd178ba541e9abcca3cb27be1d901a1c9a
INSP-000031,FPS-0130,OFF-00014,2026-01-26,1838,1620,-218,0.98,HIGH,AVERAGE,YES,YES,STOCK_VARIANCE,SEALED,EVID-2646,f3a0c5f7203507e9be8a5297b0bd0bda9290a3407d6391b5a957acab60b7ff15
INSP-000032,FPS-0444,OFF-00057,2026-03-11,1310,1277,-33,1.0,LOW,GOOD,YES,YES,NORMAL,SUBMITTED,EVID-8288,b644f70cbbcd403b848546d66cd13c106012a20e0f892fcf5aafafee61ace966
INSP-000033,FPS-0219,OFF-00060,2026-02-19,1022,1026,4,0.97,NORMAL,POOR,NO,NO,NORMAL,SEALED,EVID-9975,4d9302cb40bc09dcb6b1f609d223aaae0bad02ee527ccb589b27c8e806f7c1d0
INSP-000034,FPS-0473,OFF-00031,2026-02-09,1785,1793,8,0.98,LOW,GOOD,NO,YES,NORMAL,SUBMITTED,EVID-6852,51b472b1e2795ec95871eff8e8d8037c046ffdc0ba6337b3b2a6965de6980f6e
INSP-000035,FPS-0236,OFF-00039,2026-02-06,1868,1845,-23,0.98,HIGH,POOR,NO,NO,NORMAL,SUBMITTED,EVID-6530,85d3c7f868f06015dfae090f20aa89baf6fa35d2331d50a84343b1eac913ee37
INSP-000036,FPS-0012,OFF-00007,2026-01-21,1698,1654,-44,0.99,HIGH,POOR,YES,YES,NORMAL,SEALED,EVID-4892,7f1138462fe97e644143cffef6132a9b161aa8229b9dcde8735863098a0f7a04
INSP-000037,FPS-0212,OFF-00064,2026-01-31,1452,1428,-24,0.99,HIGH,GOOD,NO,NO,NORMAL,DRAFT,EVID-7191,9611ee7f28bbf768302b8b6453ba64c019adbe372e594ee575640151cf95136c
INSP-000038,FPS-0402,OFF-00027,2026-03-08,819,786,-33,1.0,LOW,POOR,NO,YES,NORMAL,SUBMITTED,EVID-9009,23885813c1f3e9b6f00bcc857348dd9600c29ab70f9ba0aa2b93e372f91c5b40
INSP-000039,FPS-0246,OFF-00014,2026-02-10,1874,1850,-24,0.99,HIGH,POOR,YES,YES,NORMAL,DRAFT,EVID-2911,42ca1874035cc747de5a909f06539dd9928d32724ad124a7f9b1527c3540a991
INSP-000040,FPS-0161,OFF-00045,2026-01-09,882,903,21,0.99,NORMAL,GOOD,NO,NO,NORMAL,SUBMITTED,EVID-2812,5d7c164b90aeea83283074b0b981571ffb70778cf2af10fc5d5d475179e60b42
INSP-000041,FPS-0525,OFF-00062,2026-01-31,1861,1904,43,0.97,HIGH,AVERAGE,NO,YES,NORMAL,SEALED,EVID-5073,7f50753e61f795e271ca11bd089144e955dc4f14ac2d51663ab2b8ce5e4688a2
INSP-000042,FPS-0239,OFF-00046,2026-02-18,2489,2553,64,1.0,LOW,AVERAGE,NO,NO,NORMAL,SUBMITTED,EVID-3618,42530a1d81b250b5dbfcc5ed2af5fcb3159dea1667f0089866cba58049cbb147
INSP-000043,FPS-0499,OFF-00021,2026-01-08,2188,2233,45,0.97,LOW,AVERAGE,NO,YES,NORMAL,SEALED,EVID-8501,6ff8cd60ef7e25bb91a4bef7de855d2a7a802527ad096ea6ecedeac93e0fab01
INSP-000044,FPS-0579,OFF-00033,2026-02-01,1412,1433,21,1.0,HIGH,POOR,NO,NO,NORMAL,SEALED,EVID-9096,9aff61a4b313674bb029fdbde1fd03003e4fa199176901d916d3d3a670a222b6
INSP-000045,FPS-0012,OFF-00055,2026-01-31,2501,2573,72,1.0,HIGH,GOOD,NO,YES,NORMAL,SUBMITTED,EVID-6691,d95f0b1143bf8eb60cab87630320d9f71376181bba7188dd62c9f3f24b8811f4
INSP-000046,FPS-0073,OFF-00011,2026-01-30,2264,2245,-19,0.99,LOW,AVERAGE,NO,NO,NORMAL,SEALED,EVID-4602,eee2621d323d97e78d176a91409c46581c9b51437ddea1d591e0d23ca2ad0736
INSP-000047,FPS-0017,OFF-00051,2026-02-08,1458,1484,26,0.97,HIGH,AVERAGE,NO,YES,NORMAL,SUBMITTED,EVID-8510,f64d42b5bf1be221a985c9b735e257fc70bd43e7826241b0a38d90c2cc65b9d8
INSP-000048,FPS-0103,OFF-00023,2026-02-13,1731,1734,3,0.97,HIGH,POOR,NO,NO,NORMAL,DRAFT,EVID-1547,8c24e2e69872b50b7f95f6fa9149a66b75b03ccf237d3433d264c2067e52802c
INSP-000049,FPS-0063,OFF-00023,2026-02-27,1117,1137,20,0.97,NORMAL,GOOD,YES,NO,NORMAL,SEALED,EVID-2747,9cfa63f1d5ff93bc3db74b4cfe4758cb886c56512b294f4d3ad6850bccb93dbd
INSP-000050,FPS-0321,OFF-00033,2026-02-24,2409,2401,-8,1.0,HIGH,AVERAGE,NO,NO,NORMAL,SEALED,EVID-4574,cfa8710261c4668afa97abf7c3ba1ea4e99ee4785414972cb087b57b82554891
INSP-000051,FPS-0197,OFF-00007,2026-02-15,635,647,12,0.98,HIGH,POOR,NO,YES,NORMAL,SEALED,EVID-3664,4ee4dfa8ab0b74dc5999117cf222dc950bd32f65fdf1d3d85d8f34ef30b665ef
INSP-000052,FPS-0227,OFF-00058,2026-01-06,1548,1586,38,0.98,NORMAL,AVERAGE,YES,NO,NORMAL,SEALED,EVID-4169,f59fb0267b976e50a9b5390f1b4cfea5e41a085f558d557bd95b5c3f2795981b
INSP-000053,FPS-0062,OFF-00019,2026-01-18,1694,1723,29,0.99,NORMAL,POOR,YES,NO,NORMAL,SEALED,EVID-5022,4926fcff8b8266f7d1027334857c2e83b57420af04be4ea98be654dd662eec99
INSP-000054,FPS-0217,OFF-00064,2026-01-03,1262,1249,-13,0.99,LOW,POOR,YES,NO,NORMAL,SEALED,EVID-2100,24c019608bf7471ad47570e03532e35d859bc69148db83fbaaff1ef8be49605b
INSP-000055,FPS-0149,OFF-00031,2026-02-16,596,581,-15,0.97,HIGH,POOR,YES,YES,NORMAL,SUBMITTED,EVID-7659,4545f43c86a69e9d7b9ea3bd3f47b31307d1bc14670a4fd5fe4a372623c14af3
INSP-000056,FPS-0151,OFF-00015,2026-03-20,2049,2038,-11,0.99,NORMAL,POOR,YES,NO,NORMAL,DRAFT,EVID-4224,4bc5d5f4624e7dac8d186beb14b58ba2146b747116f7eb3585f0dcd9c6c52718
INSP-000057,FPS-0554,OFF-00066,2026-02-04,1641,1675,34,0.99,LOW,GOOD,YES,NO,NORMAL,SUBMITTED,EVID-3554,7633fe4458891fe19775c5115a61a22aa765d3326e0dbdb0fa2d4bb036706960
INSP-000058,FPS-0258,OFF-00061,2026-02-12,869,779,-90,0.99,LOW,POOR,YES,NO,STOCK_VARIANCE,SEALED,EVID-8454,fa2f44fc5122d33c2bf73046e3037f8e12770c3a4248006dc4ef97d6fe61aaa7
INSP-000059,FPS-0074,OFF-00063,2026-01-13,1178,1183,5,1.0,LOW,AVERAGE,YES,YES,NORMAL,SEALED,EVID-8182,aa7996afa0ace1500c2f007a59fb55c005c7f1954765f8186d239e6d878b7575
INSP-000060,FPS-0502,OFF-00013,2026-03-22,1597,1644,47,0.97,LOW,POOR,NO,NO,NORMAL,SUBMITTED,EVID-6467,1dabf4dd0f9240317bb4fac1655db505620026e7a9ffcde90c1a714d01341394
INSP-000061,FPS-0205,OFF-00029,2026-03-01,2433,2284,-149,0.99,HIGH,POOR,NO,NO,STOCK_VARIANCE,SEALED,EVID-5715,30ff4dd8ea86ffcbb68769ed53c558046d50abd0177db2ec58ac094d35bc0c1c
INSP-000062,FPS-0523,OFF-00058,2026-01-07,1549,1586,37,1.0,HIGH,POOR,NO,NO,NORMAL,SUBMITTED,EVID-4718,6203c761da748bfdda965964d8826643a0e899ff5a45554757e1a366ad784e22
INSP-000063,FPS-0528,OFF-00056,2026-03-22,877,900,23,0.97,HIGH,AVERAGE,NO,NO,NORMAL,SUBMITTED,EVID-7072,65abc9657aa0e1d3de01275d581d1e4dcebc41b5beb7553a41bd71e8dc98a0eb
INSP-000064,FPS-0414,OFF-00064,2026-01-30,1543,1536,-7,0.98,NORMAL,AVERAGE,NO,YES,NORMAL,SEALED,EVID-2235,9243afe620c609c7bcb7b877c84dd0ee7d38ac8abec559d5d44339eb1d6fa30e
INSP-000065,FPS-0558,OFF-00060,2026-03-10,1157,1136,-21,1.0,HIGH,GOOD,NO,YES,NORMAL,DRAFT,EVID-9139,a701484358fac931d173ae320e87c61aa9d09fee8be98b4b4510e19208aeb560
INSP-000066,FPS-0015,OFF-00009,2026-01-28,1873,1922,49,0.99,NORMAL,GOOD,YES,NO,NORMAL,SEALED,EVID-9300,84ac353efd8f5437a0eeff02e8ef3e27c5907054ff3a2831cac28614dab15286
INSP-000067,FPS-0018,OFF-00066,2026-02-04,1214,1206,-8,0.99,HIGH,POOR,NO,NO,NORMAL,SEALED,EVID-4035,a51c175b8ffb195e68a409f84074c4fe0d5907d7325612e795108b43b38cd9e6
INSP-000068,FPS-0577,OFF-00061,2026-01-17,1594,1594,0,0.97,LOW,POOR,NO,NO,NORMAL,SEALED,EVID-7771,ae363aa6762e08ad006bd51dab8de1b1dfa258c62c5988e6de4554404f7f8767
INSP-000069,FPS-0115,OFF-00059,2026-01-04,1599,1593,-6,0.97,NORMAL,GOOD,YES,NO,NORMAL,SEALED,EVID-3663,543b45e9145e35cbee78be617bc95de9c5c03623dce4e4ac9d0847acb2518e66
INSP-000070,FPS-0274,OFF-00009,2026-03-18,2083,2021,-62,0.97,NORMAL,POOR,YES,NO,NORMAL,SEALED,EVID-2947,2afd61fb803ef5632ffaef8b38f060f25f033b3529b3c4c8415834b060a67987
INSP-000071,FPS-0064,OFF-00047,2026-03-22,2208,2229,21,1.0,LOW,GOOD,NO,YES,NORMAL,SUBMITTED,EVID-9938,b7d613c8b7e8406f9cd1fb183952de4f5a2c8e579ebd619519f4bb6a11ccb90f
INSP-000072,FPS-0077,OFF-00007,2026-01-18,1954,1939,-15,0.99,LOW,GOOD,YES,NO,NORMAL,SEALED,EVID-4726,e5587ab19364f3b664b4f791a56cf7e908615de665131e6ad0b2e32a32f3d4fb
INSP-000073,FPS-0122,OFF-00035,2026-03-12,1882,1934,52,0.99,LOW,POOR,NO,YES,NORMAL,SUBMITTED,EVID-9296,041437b355097cc8bf8b4b079440716ff66f3682c81ba00e295b5978424b4bf9
INSP-000074,FPS-0172,OFF-00010,2026-02-13,1511,1497,-14,0.98,HIGH,AVERAGE,YES,YES,NORMAL,SEALED,EVID-5346,3268bfefe94b38782489ad91b0ce96ae3ab1d429c4badb18689f071295689aa0
INSP-000075,FPS-0172,OFF-00027,2026-03-12,1633,1643,10,0.98,HIGH,AVERAGE,YES,YES,NORMAL,SEALED,EVID-8564,382b2e533abb38609d8909a2fb0b782d58e3c876912fe5b3ec6ee40f9bd7c281
INSP-000076,FPS-0054,OFF-00024,2026-02-15,1171,1185,14,0.97,LOW,POOR,NO,NO,NORMAL,SEALED,EVID-8710,62c98dedbea6c33ed0651c274a2aba9b42f25891bcffc1ef37027009efb0f336
INSP-000077,FPS-0109,OFF-00015,2026-03-17,2215,2179,-36,0.99,LOW,POOR,NO,YES,NORMAL,SEALED,EVID-8120,1f96a9f3ba345515700faadfed116505bfc4df59b8568e650d7abc5bd80c52f7
INSP-000078,FPS-0357,OFF-00048,2026-03-20,2669,2681,12,0.98,NORMAL,GOOD,NO,NO,NORMAL,SUBMITTED,EVID-8149,97f1380faeaf356c155ac7be34a532f4b1a5d2f8def92818064269148db9191b
INSP-000079,FPS-0071,OFF-00042,2026-01-03,1605,1640,35,1.0,NORMAL,POOR,NO,YES,NORMAL,SEALED,EVID-4485,fe7f42cb34a35bf1a822bdcd137470ac2f311d4272c2aa959bd13fd894e82878
INSP-000080,FPS-0459,OFF-00051,2026-03-07,2349,2415,66,0.99,LOW,GOOD,YES,NO,NORMAL,SUBMITTED,EVID-5936,7ea2808707773146a6bf5e12c5bbbc590b556a321bc422726ff43108db31ed2e
INSP-000081,FPS-0587,OFF-00034,2026-02-16,1246,1268,22,0.98,NORMAL,GOOD,YES,YES,NORMAL,SEALED,EVID-1754,1a56789ac08f871a7e193d7ec700ae50f50e6a3c6d6ec2226df286fc05c7b6e9
INSP-000082,FPS-0152,OFF-00040,2026-01-23,1221,1225,4,0.99,LOW,GOOD,YES,YES,NORMAL,DRAFT,EVID-9550,e4dd98d5456d899c60eb5820f0c22939b6d7723472db0dc0cb2e667da75cf263
INSP-000083,FPS-0207,OFF-00009,2026-01-13,1505,1468,-37,0.99,HIGH,AVERAGE,NO,YES,NORMAL,SUBMITTED,EVID-9024,9b80b8ce4a059729819cdc24be02eb44f055863a1a5548010f8130bbb40644c7
INSP-000084,FPS-0512,OFF-00007,2026-02-07,1203,1220,17,1.0,NORMAL,GOOD,NO,YES,NORMAL,SEALED,EVID-6221,966e0d431996f0eede8855807f3ddc3b97f9fdeb8ccf3990583aaf989363db59
INSP-000085,FPS-0375,OFF-00007,2026-03-03,1057,1064,7,0.98,LOW,GOOD,NO,YES,NORMAL,SEALED,EVID-5146,9653327d4854d5920b4048bd94ef1d8d983cca712af437cb28f703b81b27612a
INSP-000086,FPS-0516,OFF-00020,2026-02-21,770,792,22,0.99,LOW,GOOD,YES,NO,NORMAL,SEALED,EVID-2288,e80851e83728c4d47a2c840597e4aca0ac6e8b1e9ca7a8f8617d305d78812b7f
INSP-000087,FPS-0429,OFF-00015,2026-03-13,1518,1503,-15,0.99,LOW,GOOD,YES,YES,NORMAL,SEALED,EVID-2956,3718bd51fb65651c2974465da61a2250e1284003e6a7b614354ece4168b5ef1f
INSP-000088,FPS-0419,OFF-00019,2026-03-12,2128,2067,-61,0.97,NORMAL,GOOD,YES,NO,NORMAL,SUBMITTED,EVID-6671,09777b09bc077b41636a46c76628e7893f1a9aa569ee0d9b717353b4cfc4fc42
INSP-000089,FPS-0502,OFF-00050,2026-01-16,1136,1152,16,0.99,NORMAL,POOR,NO,YES,NORMAL,SUBMITTED,EVID-1944,6bbf003d6fe67f8e57e7aa94970491d488bf168ec3affbc7325d1c47b8ca4159
INSP-000090,FPS-0502,OFF-00007,2026-02-08,1196,1229,33,0.99,HIGH,POOR,YES,YES,NORMAL,SEALED,EVID-9787,bf619ca7f67a2d3d3ff6582ea91a631cd703eb6fc1557830768c792691a7cc12
INSP-000091,FPS-0589,OFF-00032,2026-02-22,1381,1369,-12,1.0,NORMAL,GOOD,YES,YES,NORMAL,SEALED,EVID-6068,e584ace68fd33b27ec3757baf94c8821c078b3d3f2f16d5810a52978491359ca
INSP-000092,FPS-0056,OFF-00042,2026-03-22,1291,1265,-26,0.98,HIGH,GOOD,YES,YES,NORMAL,SUBMITTED,EVID-8380,af7951a73b9fe16eefb75e2e4d91902d9a07394ded7429f60e8a58beccf8f548
INSP-000093,FPS-0589,OFF-00019,2026-03-22,1447,1330,-117,0.98,LOW,AVERAGE,NO,NO,STOCK_VARIANCE,DRAFT,EVID-1276,4e89e06bb268c6fc793b664f69fcfb3add371792c73370ea55a8cf91dab588fe
INSP-000094,FPS-0391,OFF-00035,2026-02-01,1051,1029,-22,1.0,LOW,GOOD,NO,YES,NORMAL,SEALED,EVID-6481,d64d8042bea460acd8ff333b13575a41964bac339f1f88a7ff912248f5319f85
INSP-000095,FPS-0329,OFF-00019,2026-02-18,1190,1249,59,1.0,HIGH,GOOD,NO,NO,STOCK_VARIANCE,SUBMITTED,EVID-5389,da418dbc3cba08aa6c07391ebbefe62363a5200487499f00c3e04173c4d3c2c7
INSP-000096,FPS-0084,OFF-00046,2026-01-13,928,934,6,0.99,HIGH,POOR,YES,NO,NORMAL,SEALED,EVID-9680,52eae35c52ee8622606eea4e6613918a4922b2b707bce5120f0d1a0328309b6d
INSP-000097,FPS-0209,OFF-00046,2026-03-10,1304,1270,-34,0.99,LOW,POOR,YES,NO,NORMAL,SEALED,EVID-4783,f282b97cc981bcbb9d3cae59dd2dbb19808d629753236ac186d1bad8bc8a8ea4
INSP-000098,FPS-0129,OFF-00030,2026-01-23,1698,1698,0,1.0,LOW,AVERAGE,NO,YES,NORMAL,SEALED,EVID-6126,ee000c5f6f8a2f0966dbc5f8252667314d9bd1cfce2ca28ca5f86265054f6b1d
INSP-000099,FPS-0407,OFF-00039,2026-01-23,2920,2865,-55,0.99,LOW,GOOD,NO,YES,NORMAL,SEALED,EVID-2751,a340caefedaaf92539867a164fcf44d12a797bb293f008dedeb150e19a16485b
INSP-000100,FPS-0028,OFF-00008,2026-03-04,2072,2053,-19,1.0,NORMAL,POOR,YES,NO,NORMAL,SEALED,EVID-6424,20fc1f6ceee1af6e4b96ea8e46fa48da99590dd5abd05512aa92a39ece1fbf74
INSP-000101,FPS-0063,OFF-00038,2026-02-14,1243,1231,-12,0.98,LOW,AVERAGE,YES,YES,NORMAL,SEALED,EVID-3451,d4fd75bd246749bdeb59f3418c2bce6006752872b3789da3143defc56137b91e
INSP-000102,FPS-0001,OFF-00016,2026-02-03,728,653,-75,0.99,HIGH,POOR,NO,YES,STOCK_VARIANCE,SEALED,EVID-3284,8ce18422cce1dbbc21f9852084c6ac9414ad0caa8cb1cbaa4c02908d94ccc08c
INSP-000103,FPS-0164,OFF-00028,2026-02-20,2068,2080,12,0.99,NORMAL,POOR,YES,NO,NORMAL,SUBMITTED,EVID-1831,f3c58365eb73127e50c38039f26993397366b4eac1be63e8401be4d4d0a19b2d
INSP-000104,FPS-0085,OFF-00057,2026-01-22,1079,1066,-13,0.98,NORMAL,AVERAGE,NO,YES,NORMAL,SUBMITTED,EVID-7986,5e4f28de5e2e15ecee3e78f87ed45418abc9505b0aedef125b7f4f9ad542d5a9
INSP-000105,FPS-0036,OFF-00053,2026-01-26,1822,2006,184,0.99,LOW,AVERAGE,NO,YES,STOCK_VARIANCE,DRAFT,EVID-6876,332a51e0d8e6bfd309804ab43873bec74692c550e81a2e4125371d60138f7d76
INSP-000106,FPS-0147,OFF-00036,2026-01-23,1662,1643,-19,0.98,HIGH,POOR,YES,YES,NORMAL,SEALED,EVID-7292,8ce9d2ecaf37becf9d1d6182eebc95a822f14af4141e93fb5bbf1715b875f00e
INSP-000107,FPS-0263,OFF-00024,2026-01-26,1439,1450,11,0.98,LOW,GOOD,NO,NO,NORMAL,SEALED,EVID-8181,74d341011ab1f1c717ab289fe31ab8c9f7197e838fedea5c8848f995cb1df4f6
INSP-000108,FPS-0345,OFF-00054,2026-02-16,903,894,-9,1.0,HIGH,AVERAGE,YES,NO,NORMAL,SEALED,EVID-1759,558fff41b4f4e9b2e912b76e8ad30b2dbf7ae14ee7ba7e8993e59a1e0df9fbab
INSP-000109,FPS-0279,OFF-00041,2026-03-04,851,875,24,0.98,LOW,AVERAGE,YES,NO,NORMAL,SEALED,EVID-8669,5e2cc8f21c1502a868ed6d607044132a18627e6ae697c0e043fa462b2169bcef
INSP-000110,FPS-0029,OFF-00023,2026-02-19,1325,1320,-5,1.0,LOW,GOOD,NO,YES,NORMAL,SEALED,EVID-5493,35b571034f2b8b35aec82c497ac70a97015acdd5eb918fa7e6d006b7890d051c
INSP-000111,FPS-0399,OFF-00025,2026-01-12,1664,1711,47,0.99,NORMAL,AVERAGE,YES,NO,NORMAL,SEALED,EVID-4160,277c2c49ec3433e486e1b65d8274fb44b6acc0b11e072379317090a028844f44
INSP-000112,FPS-0089,OFF-00058,2026-03-21,1419,1432,13,0.98,HIGH,POOR,NO,NO,NORMAL,SEALED,EVID-2693,8c188276e233fb48f07d9f7915bb6c57b606eadc7105993af4b8f0ca34a2f455
INSP-000113,FPS-0046,OFF-00066,2026-01-06,1346,1306,-40,0.98,HIGH,POOR,NO,YES,NORMAL,DRAFT,EVID-8105,d0bbce9626929c54bb3505667207ad22ee1cdc06e61cb6670a3e9ab7f0527984
INSP-000114,FPS-0125,OFF-00049,2026-01-06,930,953,23,0.98,HIGH,AVERAGE,NO,NO,NORMAL,SUBMITTED,EVID-9571,21e98321180c2520232ef4d96854bd87458ad6ce71f0b76f6f46f055c2a52ed1
INSP-000115,FPS-0178,OFF-00020,2026-01-27,1345,1368,23,0.98,LOW,GOOD,NO,YES,NORMAL,DRAFT,EVID-5010,fff5ffe08debdfbc2ee2f806a24e6b9b8d78911f9759ca430902585c98652d37
INSP-000116,FPS-0253,OFF-00065,2026-02-22,2418,2462,44,0.99,LOW,AVERAGE,NO,NO,NORMAL,SEALED,EVID-8009,2d97bf40461684adc6ce193923370091e3751d2bc99d475b15d95417387522b5
