exception_id,cycle,entity_type,entity_id,rule_code,severity,reason,detected_at,assigned_to,status,resolution,resolved_at
EXC-000011,2026-01,MANIFEST,MAN-000021,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000021,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000012,2026-01,MANIFEST,MAN-000023,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000023,2026-01-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000013,2026-01,MANIFEST,MAN-000024,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000024,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000014,2026-01,MANIFEST,MAN-000025,ENTITLEMENT_FLOOR,HIGH,Allocation below NFSA entitlement floor,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000015,2026-01,MANIFEST,MAN-000026,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000026,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000016,2026-01,MANIFEST,MAN-000028,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000028,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000017,2026-01,MANIFEST,MAN-000029,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000029,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000018,2026-01,MANIFEST,MAN-000030,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000030,2026-01-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000019,2026-01,MANIFEST,MAN-000031,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000031,2026-01-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000020,2026-01,MANIFEST,MAN-000034,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000034,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000021,2026-01,MANIFEST,MAN-000035,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000035,2026-01-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000022,2026-01,MANIFEST,MAN-000036,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000036,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000023,2026-01,MANIFEST,MAN-000037,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000037,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000024,2026-01,MANIFEST,MAN-000038,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000038,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000025,2026-01,MANIFEST,MAN-000039,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000039,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000026,2026-01,MANIFEST,MAN-000040,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000040,2026-01-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000027,2026-01,MANIFEST,MAN-000041,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000041,2026-01-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000028,2026-01,MANIFEST,MAN-000042,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000042,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000029,2026-01,MANIFEST,MAN-000043,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000043,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000030,2026-01,MANIFEST,MAN-000045,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000045,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000031,2026-01,MANIFEST,MAN-000046,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000046,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000032,2026-01,MANIFEST,MAN-000047,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000047,2026-01-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000033,2026-01,MANIFEST,MAN-000048,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000048,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000034,2026-01,MANIFEST,MAN-000049,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000049,2026-01-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000035,2026-01,MANIFEST,MAN-000050,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000050,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000036,2026-01,MANIFEST,MAN-000052,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000052,2026-01-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000037,2026-01,MANIFEST,MAN-000053,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000053,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000038,2026-01,MANIFEST,MAN-000054,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000054,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000039,2026-01,MANIFEST,MAN-000055,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000055,2026-01-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000040,2026-01,MANIFEST,MAN-000056,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000056,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000041,2026-01,MANIFEST,MAN-000057,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000057,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000042,2026-01,MANIFEST,MAN-000058,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000058,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000043,2026-01,MANIFEST,MAN-000059,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000059,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000044,2026-01,MANIFEST,MAN-000061,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000061,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000045,2026-01,MANIFEST,MAN-000066,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000066,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000046,2026-01,MANIFEST,MAN-000067,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000067,2026-01-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000047,2026-01,MANIFEST,MAN-000069,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000069,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000048,2026-01,MANIFEST,MAN-000072,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000072,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000049,2026-01,MANIFEST,MAN-000078,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000078,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000050,2026-01,MANIFEST,MAN-000079,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000079,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000051,2026-01,MANIFEST,MAN-000080,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000080,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000052,2026-01,MANIFEST,MAN-000082,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000082,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000053,2026-01,MANIFEST,MAN-000085,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000085,2026-01-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000054,2026-01,MANIFEST,MAN-000086,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000086,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000055,2026-01,MANIFEST,MAN-000087,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000087,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000056,2026-01,MANIFEST,MAN-000088,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000088,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000057,2026-01,MANIFEST,MAN-000091,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000091,2026-01-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000058,2026-01,MANIFEST,MAN-000093,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000093,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000059,2026-01,MANIFEST,MAN-000095,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000095,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000060,2026-01,MANIFEST,MAN-000097,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000097,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000061,2026-01,MANIFEST,MAN-000098,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000098,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000062,2026-01,MANIFEST,MAN-000099,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000099,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000063,2026-02,MANIFEST,MAN-000102,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000102,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000064,2026-02,MANIFEST,MAN-000104,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000104,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000065,2026-02,MANIFEST,MAN-000109,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000109,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000066,2026-02,MANIFEST,MAN-000111,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000111,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000067,2026-02,MANIFEST,MAN-000112,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000112,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000068,2026-02,MANIFEST,MAN-000113,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000113,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000069,2026-02,MANIFEST,MAN-000114,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000114,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000070,2026-02,MANIFEST,MAN-000115,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000115,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000071,2026-02,MANIFEST,MAN-000117,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000117,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000072,2026-02,MANIFEST,MAN-000118,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000118,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000073,2026-02,MANIFEST,MAN-000120,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000120,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000074,2026-02,MANIFEST,MAN-000121,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000121,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000075,2026-02,MANIFEST,MAN-000122,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000122,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000076,2026-02,MANIFEST,MAN-000127,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000127,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000077,2026-02,MANIFEST,MAN-000129,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000129,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000078,2026-02,MANIFEST,MAN-000130,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000130,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000079,2026-02,MANIFEST,MAN-000132,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000132,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000080,2026-02,MANIFEST,MAN-000134,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000134,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000081,2026-02,MANIFEST,MAN-000135,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000135,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000082,2026-02,MANIFEST,MAN-000136,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000136,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000083,2026-02,MANIFEST,MAN-000137,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000137,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000084,2026-02,MANIFEST,MAN-000138,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000138,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000085,2026-02,MANIFEST,MAN-000139,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000139,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000086,2026-02,MANIFEST,MAN-000140,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000140,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000087,2026-02,MANIFEST,MAN-000141,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000141,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000088,2026-02,MANIFEST,MAN-000142,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000142,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000089,2026-02,MANIFEST,MAN-000144,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000144,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000090,2026-02,MANIFEST,MAN-000149,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000149,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000091,2026-02,MANIFEST,MAN-000151,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000151,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000092,2026-02,MANIFEST,MAN-000152,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000152,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000093,2026-02,MANIFEST,MAN-000155,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000155,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000094,2026-02,MANIFEST,MAN-000156,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000156,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000095,2026-02,MANIFEST,MAN-000159,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000159,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000096,2026-02,MANIFEST,MAN-000162,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000162,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000097,2026-02,MANIFEST,MAN-000166,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000166,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000098,2026-02,MANIFEST,MAN-000167,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000167,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000099,2026-02,MANIFEST,MAN-000168,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000168,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000100,2026-02,MANIFEST,MAN-000169,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000169,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000101,2026-02,MANIFEST,MAN-000170,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000170,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000102,2026-02,MANIFEST,MAN-000172,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000172,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000103,2026-02,MANIFEST,MAN-000173,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000173,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000104,2026-02,MANIFEST,MAN-000175,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000175,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000105,2026-02,MANIFEST,MAN-000178,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000178,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000106,2026-02,MANIFEST,MAN-000179,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000179,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000107,2026-02,MANIFEST,MAN-000182,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000182,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000108,2026-02,MANIFEST,MAN-000183,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000183,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000109,2026-02,MANIFEST,MAN-000184,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000184,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000110,2026-02,MANIFEST,MAN-000185,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000185,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000111,2026-02,MANIFEST,MAN-000186,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000186,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000112,2026-02,MANIFEST,MAN-000187,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000187,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000113,2026-02,MANIFEST,MAN-000189,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000189,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000114,2026-02,MANIFEST,MAN-000192,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000192,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000115,2026-02,MANIFEST,MAN-000195,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000195,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000116,2026-02,MANIFEST,MAN-000197,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000197,2026-02-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000117,2026-02,MANIFEST,MAN-000198,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000198,2026-02-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000118,2026-02,MANIFEST,MAN-000199,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000199,2026-02-05T10:00:00,OFF-00001,OPEN,,
EXC-000119,2026-03,MANIFEST,MAN-000204,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000204,2026-03-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000120,2026-03,MANIFEST,MAN-000210,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000210,2026-03-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000121,2026-03,MANIFEST,MAN-000211,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000211,2026-03-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000122,2026-03,MANIFEST,MAN-000212,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000212,2026-03-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000123,2026-03,MANIFEST,MAN-000214,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000214,2026-03-05T10:00:00,OFF-00001,OPEN,,
EXC-000124,2026-03,MANIFEST,MAN-000215,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000215,2026-03-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000125,2026-03,MANIFEST,MAN-000217,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000217,2026-03-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000126,2026-03,MANIFEST,MAN-000218,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000218,2026-03-05T10:00:00,OFF-00001,OPEN,,
EXC-000127,2026-03,MANIFEST,MAN-000219,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000219,2026-03-05T10:00:00,OFF-00001,OPEN,,
EXC-000128,2026-03,MANIFEST,MAN-000221,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000221,2026-03-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000129,2026-03,MANIFEST,MAN-000222,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000222,2026-03-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000130,2026-03,MANIFEST,MAN-000223,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000223,2026-03-05T10:00:00,OFF-00001,OPEN,,
EXC-000131,2026-03,MANIFEST,MAN-000224,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000224,2026-03-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000132,2026-03,MANIFEST,MAN-000225,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000225,2026-03-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000133,2026-03,MANIFEST,MAN-000231,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000231,2026-03-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000134,2026-03,MANIFEST,MAN-000232,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000232,2026-03-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000135,2026-03,MANIFEST,MAN-000233,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000233,2026-03-05T10:00:00,OFF-00001,OPEN,,
EXC-000136,2026-03,MANIFEST,MAN-000238,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000238,2026-03-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
