delivery_id,manifest_id,manifest_item_id,fps_id,vehicle_id,planned_kg,delivered_kg,delivery_date,rice_kg,wheat_kg,status,verified_by
DEL-0000027,MAN-000003,MI-0000027,FPS-0201,VEH-0101,129,126,2026-01-09,126,0,VARIANCE,OFF-00050
DEL-0000028,MAN-000003,MI-0000028,FPS-0201,VEH-0101,120,121,2026-01-09,0,121,VERIFIED,OFF-00009
DEL-0000029,MAN-000003,MI-0000029,FPS-0426,VEH-0101,210,211,2026-01-09,211,0,VERIFIED,OFF-00047
DEL-0000030,MAN-000003,MI-0000030,FPS-0426,VEH-0101,148,148,2026-01-07,0,148,VERIFIED,OFF-00011
DEL-0000031,MAN-000003,MI-0000031,FPS-0151,VEH-0101,190,188,2026-01-10,188,0,VERIFIED,OFF-00052
DEL-0000032,MAN-000003,MI-0000032,FPS-0151,VEH-0101,147,148,2026-01-08,0,148,VERIFIED,OFF-00056
DEL-0000033,MAN-000003,MI-0000033,FPS-0101,VEH-0101,203,204,2026-01-08,204,0,VERIFIED,OFF-00034
DEL-0000034,MAN-000003,MI-0000034,FPS-0101,VEH-0101,165,164,2026-01-10,0,164,VERIFIED,OFF-00046
DEL-0000035,MAN-000003,MI-0000035,FPS-0276,VEH-0101,165,162,2026-01-08,162,0,VARIANCE,OFF-00015
DEL-0000036,MAN-000003,MI-0000036,FPS-0276,VEH-0101,132,130,2026-01-09,0,130,VARIANCE,OFF-00017
DEL-0000037,MAN-000004,MI-0000037,FPS-0351,VEH-0051,111,110,2026-01-06,110,0,VERIFIED,OFF-00063
DEL-0000038,MAN-000004,MI-0000038,FPS-0351,VEH-0051,116,115,2026-01-07,0,115,VERIFIED,OFF-00032
DEL-0000039,MAN-000005,MI-0000049,FPS-0052,VEH-0002,206,204,2026-01-09,204,0,VERIFIED,OFF-00022
DEL-0000040,MAN-000005,MI-0000050,FPS-0052,VEH-0002,143,140,2026-01-07,0,140,VARIANCE,OFF-00039
DEL-0000041,MAN-000005,MI-0000051,FPS-0527,VEH-0002,180,181,2026-01-10,181,0,VERIFIED,OFF-00062
DEL-0000042,MAN-000005,MI-0000052,FPS-0527,VEH-0002,150,150,2026-01-07,0,150,VERIFIED,OFF-00026
DEL-0000043,MAN-000005,MI-0000053,FPS-0202,VEH-0002,134,132,2026-01-07,132,0,VERIFIED,OFF-00016
DEL-0000044,MAN-000005,MI-0000054,FPS-0202,VEH-0002,118,118,2026-01-08,0,118,VERIFIED,OFF-00022
DEL-0000045,MAN-000005,MI-0000055,FPS-0502,VEH-0002,191,189,2026-01-09,189,0,VERIFIED,OFF-00013
DEL-0000046,MAN-000005,MI-0000056,FPS-0502,VEH-0002,150,151,2026-01-08,0,151,VERIFIED,OFF-00066
DEL-0000047,MAN-000005,MI-0000057,FPS-0177,VEH-0002,150,149,2026-01-10,149,0,VERIFIED,OFF-00008
DEL-0000048,MAN-000005,MI-0000058,FPS-0177,VEH-0002,118,118,2026-01-10,0,118,VERIFIED,OFF-00052
DEL-0000049,MAN-000005,MI-0000059,FPS-0327,VEH-0002,184,185,2026-01-07,185,0,VERIFIED,OFF-00039
DEL-0000050,MAN-000005,MI-0000060,FPS-0327,VEH-0002,140,140,2026-01-08,0,140,VERIFIED,OFF-00018
DEL-0000051,MAN-000006,MI-0000061,FPS-0427,VEH-0077,154,150,2026-01-08,150,0,VARIANCE,OFF-00026
DEL-0000052,MAN-000006,MI-0000062,FPS-0427,VEH-0077,118,117,2026-01-10,0,117,VERIFIED,OFF-00026
DEL-0000053,MAN-000006,MI-0000063,FPS-0577,VEH-0077,148,146,2026-01-07,146,0,VERIFIED,OFF-00060
DEL-0000054,MAN-000006,MI-0000064,FPS-0577,VEH-0077,137,137,2026-01-07,0,137,VERIFIED,OFF-00039
DEL-0000055,MAN-000006,MI-0000065,FPS-0152,VEH-0077,182,178,2026-01-08,178,0,VARIANCE,OFF-00036
DEL-0000056,MAN-000006,MI-0000066,FPS-0152,VEH-0077,141,139,2026-01-08,0,139,VERIFIED,OFF-00037
DEL-0000057,MAN-000006,MI-0000067,FPS-0227,VEH-0077,127,126,2026-01-10,126,0,VERIFIED,OFF-00040
DEL-0000058,MAN-000006,MI-0000068,FPS-0227,VEH-0077,122,121,2026-01-10,0,121,VERIFIED,OFF-00037
DEL-0000059,MAN-000006,MI-0000069,FPS-0477,VEH-0077,179,178,2026-01-07,178,0,VERIFIED,OFF-00042
DEL-0000060,MAN-000006,MI-0000070,FPS-0477,VEH-0077,139,138,2026-01-08,0,138,VERIFIED,OFF-00009
DEL-0000061,MAN-000006,MI-0000071,FPS-0252,VEH-0077,179,175,2026-01-08,175,0,VARIANCE,OFF-00065
DEL-0000062,MAN-000006,MI-0000072,FPS-0252,VEH-0077,146,144,2026-01-09,0,144,VERIFIED,OFF-00051
DEL-0000063,MAN-000007,MI-0000076,FPS-0002,VEH-0127,125,124,2026-01-09,0,124,VERIFIED,OFF-00040
DEL-0000064,MAN-000008,MI-0000085,FPS-0102,VEH-0002,163,159,2026-01-08,159,0,VARIANCE,OFF-00058
DEL-0000065,MAN-000008,MI-0000086,FPS-0102,VEH-0002,140,139,2026-01-07,0,139,VERIFIED,OFF-00020
DEL-0000066,MAN-000008,MI-0000087,FPS-0277,VEH-0002,145,142,2026-01-08,142,0,VARIANCE,OFF-00059
DEL-0000067,MAN-000008,MI-0000088,FPS-0277,VEH-0002,134,132,2026-01-08,0,132,VERIFIED,OFF-00066
DEL-0000068,MAN-000008,MI-0000089,FPS-0552,VEH-0002,133,132,2026-01-10,132,0,VERIFIED,OFF-00058
DEL-0000069,MAN-000008,MI-0000090,FPS-0552,VEH-0002,118,118,2026-01-09,0,118,VERIFIED,OFF-00049
DEL-0000070,MAN-000008,MI-0000091,FPS-0077,VEH-0002,154,151,2026-01-09,151,0,VARIANCE,OFF-00057
DEL-0000071,MAN-000008,MI-0000092,FPS-0077,VEH-0002,113,112,2026-01-08,0,112,VERIFIED,OFF-00053
DEL-0000072,MAN-000008,MI-0000093,FPS-0302,VEH-0002,164,165,2026-01-07,165,0,VERIFIED,OFF-00036
DEL-0000073,MAN-000008,MI-0000094,FPS-0302,VEH-0002,142,141,2026-01-08,0,141,VERIFIED,OFF-00029
DEL-0000074,MAN-000008,MI-0000095,FPS-0452,VEH-0002,177,174,2026-01-09,174,0,VARIANCE,OFF-00019
DEL-0000075,MAN-000008,MI-0000096,FPS-0452,VEH-0002,146,145,2026-01-09,0,145,VERIFIED,OFF-00064
DEL-0000076,MAN-000009,MI-0000097,FPS-0403,VEH-0078,151,149,2026-01-08,149,0,VERIFIED,OFF-00054
DEL-0000077,MAN-000009,MI-0000098,FPS-0403,VEH-0078,141,140,2026-01-06,0,140,VERIFIED,OFF-00017
DEL-0000078,MAN-000009,MI-0000099,FPS-0478,VEH-0078,147,144,2026-01-07,144,0,VARIANCE,OFF-00017
DEL-0000079,MAN-000009,MI-0000100,FPS-0478,VEH-0078,139,137,2026-01-08,0,137,VERIFIED,OFF-00027
DEL-0000080,MAN-000009,MI-0000101,FPS-0003,VEH-0078,255,252,2026-01-09,252,0,VERIFIED,OFF-00009
DEL-0000081,MAN-000009,MI-0000102,FPS-0003,VEH-0078,181,181,2026-01-08,0,181,VERIFIED,OFF-00014
DEL-0000082,MAN-000009,MI-0000103,FPS-0528,VEH-0078,143,142,2026-01-08,142,0,VERIFIED,OFF-00026
DEL-0000083,MAN-000009,MI-0000104,FPS-0528,VEH-0078,134,134,2026-01-06,0,134,VERIFIED,OFF-00010
DEL-0000084,MAN-000009,MI-0000105,FPS-0078,VEH-0078,208,204,2026-01-06,204,0,VARIANCE,OFF-00024
DEL-0000085,MAN-000009,MI-0000106,FPS-0078,VEH-0078,148,146,2026-01-06,0,146,VERIFIED,OFF-00051
DEL-0000086,MAN-000009,MI-0000107,FPS-0128,VEH-0078,141,140,2026-01-06,140,0,VERIFIED,OFF-00065
DEL-0000087,MAN-000009,MI-0000108,FPS-0128,VEH-0078,140,138,2026-01-08,0,138,VERIFIED,OFF-00050
DEL-0000088,MAN-000010,MI-0000109,FPS-0553,VEH-0128,214,214,2026-01-09,214,0,VERIFIED,OFF-00054
DEL-0000089,MAN-000010,MI-0000110,FPS-0553,VEH-0128,156,154,2026-01-08,0,154,VERIFIED,OFF-00011
DEL-0000090,MAN-000010,MI-0000111,FPS-0378,VEH-0128,227,228,2026-01-10,228,0,VERIFIED,OFF-00043
DEL-0000091,MAN-000010,MI-0000112,FPS-0378,VEH-0128,164,162,2026-01-10,0,162,VERIFIED,OFF-00031
DEL-0000092,MAN-000010,MI-0000113,FPS-0278,VEH-0128,151,148,2026-01-10,148,0,VARIANCE,OFF-00033
DEL-0000093,MAN-000010,MI-0000114,FPS-0278,VEH-0128,134,134,2026-01-10,0,134,VERIFIED,OFF-00047
DEL-0000094,MAN-000010,MI-0000115,FPS-0253,VEH-0128,175,175,2026-01-10,175,0,VERIFIED,OFF-00033
DEL-0000095,MAN-000010,MI-0000116,FPS-0253,VEH-0128,125,124,2026-01-10,0,124,VERIFIED,OFF-00052
DEL-0000096,MAN-000010,MI-0000117,FPS-0053,VEH-0128,177,173,2026-01-07,173,0,VARIANCE,OFF-00061
DEL-0000097,MAN-000010,MI-0000118,FPS-0053,VEH-0128,147,147,2026-01-08,0,147,VERIFIED,OFF-00040
DEL-0000098,MAN-000010,MI-0000119,FPS-0453,VEH-0128,149,146,2026-01-07,146,0,VARIANCE,OFF-00008
DEL-0000099,MAN-000010,MI-0000120,FPS-0453,VEH-0128,128,126,2026-01-10,0,126,VARIANCE,OFF-00053
DEL-0000100,MAN-000011,MI-0000121,FPS-0228,VEH-0128,192,192,2026-01-07,192,0,VERIFIED,OFF-00050
DEL-0000101,MAN-000011,MI-0000122,FPS-0228,VEH-0128,148,147,2026-01-09,0,147,VERIFIED,OFF-00019
DEL-0000102,MAN-000011,MI-0000123,FPS-0203,VEH-0128,129,129,2026-01-09,129,0,VERIFIED,OFF-00055
DEL-0000103,MAN-000011,MI-0000124,FPS-0203,VEH-0128,111,111,2026-01-09,0,111,VERIFIED,OFF-00017
DEL-0000104,MAN-000011,MI-0000125,FPS-0353,VEH-0128,143,143,2026-01-06,143,0,VERIFIED,OFF-00060
DEL-0000105,MAN-000011,MI-0000126,FPS-0353,VEH-0128,125,124,2026-01-06,0,124,VERIFIED,OFF-00047
DEL-0000106,MAN-000011,MI-0000127,FPS-0178,VEH-0128,156,155,2026-01-06,155,0,VERIFIED,OFF-00022
DEL-0000107,MAN-000011,MI-0000128,FPS-0178,VEH-0128,136,137,2026-01-08,0,137,VERIFIED,OFF-00019
DEL-0000108,MAN-000011,MI-0000129,FPS-0103,VEH-0128,230,228,2026-01-08,228,0,VERIFIED,OFF-00016
DEL-0000109,MAN-000011,MI-0000130,FPS-0103,VEH-0128,174,175,2026-01-06,0,175,VERIFIED,OFF-00013
DEL-0000110,MAN-000011,MI-0000131,FPS-0328,VEH-0128,185,183,2026-01-07,183,0,VERIFIED,OFF-00066
DEL-0000111,MAN-000011,MI-0000132,FPS-0328,VEH-0128,154,154,2026-01-08,0,154,VERIFIED,OFF-00052
DEL-0000112,MAN-000012,MI-0000134,FPS-0303,VEH-0053,124,123,2026-01-09,0,123,VERIFIED,OFF-00027
DEL-0000113,MAN-000012,MI-0000135,FPS-0153,VEH-0053,147,146,2026-01-06,146,0,VERIFIED,OFF-00046
DEL-0000114,MAN-000012,MI-0000139,FPS-0578,VEH-0053,149,149,2026-01-09,149,0,VERIFIED,OFF-00035
DEL-0000115,MAN-000012,MI-0000141,FPS-0028,VEH-0053,138,138,2026-01-09,138,0,VERIFIED,OFF-00035
DEL-0000116,MAN-000012,MI-0000143,FPS-0503,VEH-0053,128,127,2026-01-06,127,0,VERIFIED,OFF-00066
DEL-0000117,MAN-000013,MI-0000145,FPS-0279,VEH-0104,265,265,2026-01-09,265,0,VERIFIED,OFF-00029
DEL-0000118,MAN-000013,MI-0000146,FPS-0279,VEH-0104,184,183,2026-01-08,0,183,VERIFIED,OFF-00027
DEL-0000119,MAN-000013,MI-0000147,FPS-0504,VEH-0104,159,158,2026-01-08,158,0,VERIFIED,OFF-00033
DEL-0000120,MAN-000013,MI-0000148,FPS-0504,VEH-0104,123,121,2026-01-08,0,121,VARIANCE,OFF-00061
DEL-0000121,MAN-000013,MI-0000149,FPS-0479,VEH-0104,189,191,2026-01-06,191,0,VERIFIED,OFF-00008
DEL-0000122,MAN-000013,MI-0000150,FPS-0479,VEH-0104,148,146,2026-01-07,0,146,VERIFIED,OFF-00020
DEL-0000123,MAN-000013,MI-0000151,FPS-0129,VEH-0104,164,161,2026-01-09,161,0,VARIANCE,OFF-00029
DEL-0000124,MAN-000013,MI-0000152,FPS-0129,VEH-0104,136,137,2026-01-09,0,137,VERIFIED,OFF-00039
DEL-0000125,MAN-000013,MI-0000153,FPS-0079,VEH-0104,145,146,2026-01-09,146,0,VERIFIED,OFF-00027
DEL-0000126,MAN-000013,MI-0000154,FPS-0079,VEH-0104,132,131,2026-01-06,0,131,VERIFIED,OFF-00035
DEL-0000127,MAN-000013,MI-0000155,FPS-0154,VEH-0104,130,130,2026-01-07,130,0,VERIFIED,OFF-00038
DEL-0000128,MAN-000013,MI-0000156,FPS-0154,VEH-0104,124,124,2026-01-08,0,124,VERIFIED,OFF-00042
DEL-0000129,MAN-000014,MI-0000157,FPS-0104,VEH-0129,153,152,2026-01-08,152,0,VERIFIED,OFF-00057
DEL-0000130,MAN-000014,MI-0000160,FPS-0579,VEH-0129,133,133,2026-01-09,0,133,VERIFIED,OFF-00049
DEL-0000131,MAN-000014,MI-0000161,FPS-0529,VEH-0129,241,239,2026-01-09,239,0,VERIFIED,OFF-00065
DEL-0000132,MAN-000014,MI-0000164,FPS-0379,VEH-0129,121,122,2026-01-08,0,122,VERIFIED,OFF-00047
DEL-0000133,MAN-000014,MI-0000165,FPS-0554,VEH-0129,143,143,2026-01-09,143,0,VERIFIED,OFF-00032
DEL-0000134,MAN-000014,MI-0000167,FPS-0354,VEH-0129,184,184,2026-01-06,184,0,VERIFIED,OFF-00012
DEL-0000135,MAN-000014,MI-0000168,FPS-0354,VEH-0129,142,139,2026-01-09,0,139,VARIANCE,OFF-00034
DEL-0000136,MAN-000015,MI-0000169,FPS-0254,VEH-0129,138,136,2026-01-06,136,0,VERIFIED,OFF-00009
DEL-0000137,MAN-000015,MI-0000170,FPS-0254,VEH-0129,123,121,2026-01-06,0,121,VARIANCE,OFF-00048
DEL-0000138,MAN-000015,MI-0000171,FPS-0179,VEH-0129,230,231,2026-01-08,231,0,VERIFIED,OFF-00031
DEL-0000139,MAN-000015,MI-0000172,FPS-0179,VEH-0129,170,167,2026-01-07,0,167,VARIANCE,OFF-00057
DEL-0000140,MAN-000015,MI-0000173,FPS-0229,VEH-0129,124,124,2026-01-06,124,0,VERIFIED,OFF-00062
DEL-0000141,MAN-000015,MI-0000174,FPS-0229,VEH-0129,120,120,2026-01-07,0,120,VERIFIED,OFF-00046
DEL-0000142,MAN-000015,MI-0000175,FPS-0429,VEH-0129,144,142,2026-01-08,142,0,VERIFIED,OFF-00056
DEL-0000143,MAN-000015,MI-0000176,FPS-0429,VEH-0129,123,122,2026-01-07,0,122,VERIFIED,OFF-00057
DEL-0000144,MAN-000015,MI-0000177,FPS-0454,VEH-0129,183,182,2026-01-07,182,0,VERIFIED,OFF-00017
DEL-0000145,MAN-000015,MI-0000178,FPS-0454,VEH-0129,147,148,2026-01-07,0,148,VERIFIED,OFF-00040
DEL-0000146,MAN-000015,MI-0000179,FPS-0404,VEH-0129,168,168,2026-01-07,168,0,VERIFIED,OFF-00042
DEL-0000147,MAN-000015,MI-0000180,FPS-0404,VEH-0129,130,128,2026-01-06,0,128,VARIANCE,OFF-00044
DEL-0000148,MAN-000016,MI-0000181,FPS-0204,VEH-0104,188,192,2026-01-08,192,0,VARIANCE,OFF-00041
DEL-0000149,MAN-000016,MI-0000182,FPS-0204,VEH-0104,155,146,2026-01-07,0,146,REJECTED,OFF-00013
DEL-0000150,MAN-000016,MI-0000183,FPS-0029,VEH-0104,206,210,2026-01-10,210,0,VARIANCE,OFF-00011
DEL-0000151,MAN-000016,MI-0000184,FPS-0029,VEH-0104,137,134,2026-01-07,0,134,VARIANCE,OFF-00013
DEL-0000152,MAN-000016,MI-0000185,FPS-0054,VEH-0104,124,127,2026-01-08,127,0,VARIANCE,OFF-00026
DEL-0000153,MAN-000016,MI-0000186,FPS-0054,VEH-0104,117,110,2026-01-09,0,110,REJECTED,OFF-00049
DEL-0000154,MAN-000016,MI-0000187,FPS-0329,VEH-0104,146,145,2026-01-10,145,0,VERIFIED,OFF-00050
DEL-0000155,MAN-000016,MI-0000188,FPS-0329,VEH-0104,115,114,2026-01-07,0,114,VERIFIED,OFF-00019
DEL-0000156,MAN-000016,MI-0000189,FPS-0304,VEH-0104,177,176,2026-01-09,176,0,VERIFIED,OFF-00007
DEL-0000157,MAN-000016,MI-0000190,FPS-0304,VEH-0104,142,133,2026-01-09,0,133,REJECTED,OFF-00019
DEL-0000158,MAN-000016,MI-0000191,FPS-0004,VEH-0104,135,138,2026-01-10,138,0,VARIANCE,OFF-00039
DEL-0000159,MAN-000016,MI-0000192,FPS-0004,VEH-0104,113,109,2026-01-09,0,109,REJECTED,OFF-00009
DEL-0000160,MAN-000017,MI-0000193,FPS-0330,VEH-0055,200,196,2026-01-06,196,0,VARIANCE,OFF-00063
DEL-0000161,MAN-000017,MI-0000194,FPS-0330,VEH-0055,153,152,2026-01-06,0,152,VERIFIED,OFF-00027
DEL-0000162,MAN-000017,MI-0000195,FPS-0305,VEH-0055,190,188,2026-01-07,188,0,VERIFIED,OFF-00055
DEL-0000163,MAN-000017,MI-0000196,FPS-0305,VEH-0055,153,152,2026-01-07,0,152,VERIFIED,OFF-00050
DEL-0000164,MAN-000017,MI-0000197,FPS-0005,VEH-0055,189,185,2026-01-07,185,0,VARIANCE,OFF-00013
DEL-0000165,MAN-000017,MI-0000198,FPS-0005,VEH-0055,151,151,2026-01-06,0,151,VERIFIED,OFF-00036
DEL-0000166,MAN-000017,MI-0000199,FPS-0030,VEH-0055,141,141,2026-01-06,141,0,VERIFIED,OFF-00045
DEL-0000167,MAN-000017,MI-0000200,FPS-0030,VEH-0055,117,115,2026-01-09,0,115,VARIANCE,OFF-00025
DEL-0000168,MAN-000017,MI-0000201,FPS-0455,VEH-0055,180,179,2026-01-07,179,0,VERIFIED,OFF-00041
DEL-0000169,MAN-000017,MI-0000202,FPS-0455,VEH-0055,143,140,2026-01-07,0,140,VARIANCE,OFF-00012
DEL-0000170,MAN-000017,MI-0000203,FPS-0280,VEH-0055,149,146,2026-01-08,146,0,VARIANCE,OFF-00018
DEL-0000171,MAN-000017,MI-0000204,FPS-0280,VEH-0055,117,116,2026-01-06,0,116,VERIFIED,OFF-00017
DEL-0000172,MAN-000018,MI-0000205,FPS-0155,VEH-0130,124,122,2026-01-09,122,0,VARIANCE,OFF-00007
DEL-0000173,MAN-000018,MI-0000206,FPS-0155,VEH-0130,107,105,2026-01-08,0,105,VARIANCE,OFF-00041
DEL-0000174,MAN-000018,MI-0000207,FPS-0530,VEH-0130,132,132,2026-01-06,132,0,VERIFIED,OFF-00009
DEL-0000175,MAN-000018,MI-0000208,FPS-0530,VEH-0130,100,99,2026-01-07,0,99,VERIFIED,OFF-00029
DEL-0000176,MAN-000018,MI-0000209,FPS-0255,VEH-0130,118,119,2026-01-09,119,0,VERIFIED,OFF-00026
DEL-0000177,MAN-000018,MI-0000210,FPS-0255,VEH-0130,100,99,2026-01-08,0,99,VERIFIED,OFF-00017
DEL-0000178,MAN-000018,MI-0000211,FPS-0355,VEH-0130,112,110,2026-01-07,110,0,VARIANCE,OFF-00029
DEL-0000179,MAN-000018,MI-0000212,FPS-0355,VEH-0130,96,94,2026-01-08,0,94,VARIANCE,OFF-00050
DEL-0000180,MAN-000018,MI-0000213,FPS-0230,VEH-0130,180,178,2026-01-07,178,0,VERIFIED,OFF-00060
DEL-0000181,MAN-000018,MI-0000214,FPS-0230,VEH-0130,117,116,2026-01-06,0,116,VERIFIED,OFF-00064
DEL-0000182,MAN-000018,MI-0000215,FPS-0180,VEH-0130,85,85,2026-01-08,85,0,VERIFIED,OFF-00015
DEL-0000183,MAN-000018,MI-0000216,FPS-0180,VEH-0130,82,81,2026-01-06,0,81,VERIFIED,OFF-00033
DEL-0000184,MAN-000019,MI-0000217,FPS-0555,VEH-0055,222,221,2026-01-09,221,0,VERIFIED,OFF-00051
DEL-0000185,MAN-000019,MI-0000218,FPS-0555,VEH-0055,156,153,2026-01-07,0,153,VARIANCE,OFF-00026
DEL-0000186,MAN-000019,MI-0000219,FPS-0055,VEH-0055,156,155,2026-01-08,155,0,VERIFIED,OFF-00051
DEL-0000187,MAN-000019,MI-0000220,FPS-0055,VEH-0055,126,124,2026-01-09,0,124,VARIANCE,OFF-00033
DEL-0000188,MAN-000019,MI-0000221,FPS-0380,VEH-0055,195,196,2026-01-07,196,0,VERIFIED,OFF-00014
DEL-0000189,MAN-000019,MI-0000222,FPS-0380,VEH-0055,148,145,2026-01-07,0,145,VARIANCE,OFF-00058
DEL-0000190,MAN-000019,MI-0000223,FPS-0505,VEH-0055,155,152,2026-01-06,152,0,VARIANCE,OFF-00022
DEL-0000191,MAN-000019,MI-0000224,FPS-0505,VEH-0055,134,135,2026-01-08,0,135,VERIFIED,OFF-00046
DEL-0000192,MAN-000019,MI-0000225,FPS-0105,VEH-0055,286,287,2026-01-08,287,0,VERIFIED,OFF-00023
DEL-0000193,MAN-000019,MI-0000226,FPS-0105,VEH-0055,202,200,2026-01-09,0,200,VERIFIED,OFF-00048
DEL-0000194,MAN-000019,MI-0000227,FPS-0430,VEH-0055,162,163,2026-01-07,163,0,VERIFIED,OFF-00026
DEL-0000195,MAN-000019,MI-0000228,FPS-0430,VEH-0055,131,128,2026-01-09,0,128,VARIANCE,OFF-00018
DEL-0000196,MAN-000020,MI-0000229,FPS-0205,VEH-0030,149,149,2026-01-06,149,0,VERIFIED,OFF-00059
DEL-0000197,MAN-000020,MI-0000230,FPS-0205,VEH-0030,121,121,2026-01-07,0,121,VERIFIED,OFF-00063
DEL-0000198,MAN-000020,MI-0000231,FPS-0130,VEH-0030,131,132,2026-01-07,132,0,VERIFIED,OFF-00054
DEL-0000199,MAN-000020,MI-0000232,FPS-0130,VEH-0030,114,111,2026-01-09,0,111,VARIANCE,OFF-00061
DEL-0000200,MAN-000020,MI-0000233,FPS-0580,VEH-0030,243,238,2026-01-07,238,0,VARIANCE,OFF-00038
DEL-0000201,MAN-000020,MI-0000234,FPS-0580,VEH-0030,166,166,2026-01-06,0,166,VERIFIED,OFF-00017
DEL-0000202,MAN-000020,MI-0000235,FPS-0080,VEH-0030,181,178,2026-01-06,178,0,VARIANCE,OFF-00036
DEL-0000203,MAN-000020,MI-0000236,FPS-0080,VEH-0030,147,146,2026-01-07,0,146,VERIFIED,OFF-00048
DEL-0000204,MAN-000020,MI-0000237,FPS-0480,VEH-0030,137,138,2026-01-09,138,0,VERIFIED,OFF-00033
DEL-0000205,MAN-000020,MI-0000238,FPS-0480,VEH-0030,131,129,2026-01-06,0,129,VARIANCE,OFF-00012
DEL-0000206,MAN-000020,MI-0000239,FPS-0405,VEH-0030,158,155,2026-01-09,155,0,VARIANCE,OFF-00048
DEL-0000207,MAN-000020,MI-0000240,FPS-0405,VEH-0030,130,128,2026-01-08,0,128,VARIANCE,OFF-00012
DEL-0000208,MAN-000021,MI-0000241,FPS-0506,VEH-0106,132,132,2026-01-08,132,0,VERIFIED,OFF-00041
DEL-0000209,MAN-000021,MI-0000242,FPS-0506,VEH-0106,116,115,2026-01-06,0,115,VERIFIED,OFF-00054
DEL-0000210,MAN-000021,MI-0000243,FPS-0181,VEH-0106,179,177,2026-01-07,177,0,VERIFIED,OFF-00035
DEL-0000211,MAN-000021,MI-0000244,FPS-0181,VEH-0106,151,148,2026-01-07,0,148,VARIANCE,OFF-00011
DEL-0000212,MAN-000021,MI-0000245,FPS-0581,VEH-0106,203,200,2026-01-09,200,0,VERIFIED,OFF-00041
DEL-0000213,MAN-000021,MI-0000246,FPS-0581,VEH-0106,161,159,2026-01-07,0,159,VERIFIED,OFF-00007
