transaction_id,beneficiary_id,fps_id,cycle,commodity,quantity_kg,transaction_time,status,receipt_number
EPOS-00000111,BEN-001703,FPS-0338,2026-01,RICE,14,2026-01-16T13:00:00,SUCCESS,RCT901224
EPOS-00000112,BEN-001703,FPS-0338,2026-01,WHEAT,9,2026-01-17T17:00:00,FAILED,RCT732083
EPOS-00000113,BEN-009483,FPS-0338,2026-01,RICE,4,2026-01-18T10:00:00,SUCCESS,RCT917642
EPOS-00000114,BEN-009483,FPS-0338,2026-01,WHEAT,4,2026-01-14T12:00:00,SUCCESS,RCT876540
EPOS-00000115,BEN-008240,FPS-0338,2026-01,RICE,8,2026-01-14T11:00:00,SUCCESS,RCT633303
EPOS-00000116,BEN-008240,FPS-0338,2026-01,WHEAT,4,2026-01-24T09:00:00,SUCCESS,RCT525744
EPOS-00000117,BEN-005280,FPS-0338,2026-01,RICE,10,2026-01-20T16:00:00,SUCCESS,RCT917420
EPOS-00000118,BEN-005280,FPS-0338,2026-01,WHEAT,6,2026-01-16T09:00:00,FAILED,RCT345556
EPOS-00000119,BEN-001853,FPS-0058,2026-01,RICE,16,2026-01-23T12:00:00,SUCCESS,RCT236215
EPOS-00000120,BEN-001853,FPS-0058,2026-01,WHEAT,11,2026-01-16T12:00:00,SUCCESS,RCT393009
EPOS-00000121,BEN-009971,FPS-0058,2026-01,RICE,7,2026-01-21T12:00:00,SUCCESS,RCT626548
EPOS-00000122,BEN-009971,FPS-0058,2026-01,WHEAT,3,2026-01-14T11:00:00,SUCCESS,RCT550676
EPOS-00000123,BEN-009096,FPS-0058,2026-01,RICE,9,2026-01-20T09:00:00,SUCCESS,RCT824460
EPOS-00000124,BEN-009096,FPS-0058,2026-01,WHEAT,7,2026-01-14T16:00:00,SUCCESS,RCT194364
EPOS-00000125,BEN-003388,FPS-0058,2026-01,RICE,7,2026-01-14T17:00:00,SUCCESS,RCT119623
EPOS-00000126,BEN-003388,FPS-0058,2026-01,WHEAT,5,2026-01-22T10:00:00,SUCCESS,RCT622155
EPOS-00000127,BEN-002949,FPS-0058,2026-01,RICE,16,2026-01-17T12:00:00,SUCCESS,RCT459261
EPOS-00000128,BEN-002949,FPS-0058,2026-01,WHEAT,8,2026-01-14T09:00:00,SUCCESS,RCT476005
EPOS-00000129,BEN-002784,FPS-0058,2026-01,RICE,10,2026-01-17T09:00:00,SUCCESS,RCT996645
EPOS-00000130,BEN-002784,FPS-0058,2026-01,WHEAT,7,2026-01-12T10:00:00,SUCCESS,RCT280139
EPOS-00000131,BEN-008415,FPS-0058,2026-01,RICE,9,2026-01-24T10:00:00,SUCCESS,RCT634972
EPOS-00000132,BEN-008415,FPS-0058,2026-01,WHEAT,8,2026-01-18T09:00:00,SUCCESS,RCT179303
EPOS-00000133,BEN-002153,FPS-0058,2026-01,RICE,9,2026-01-10T12:00:00,FAILED,RCT117714
EPOS-00000134,BEN-002153,FPS-0058,2026-01,WHEAT,7,2026-01-14T16:00:00,SUCCESS,RCT881405
EPOS-00000135,BEN-000958,FPS-0058,2026-01,RICE,15,2026-01-13T09:00:00,SUCCESS,RCT154873
EPOS-00000136,BEN-000958,FPS-0058,2026-01,WHEAT,9,2026-01-13T09:00:00,SUCCESS,RCT869499
EPOS-00000137,BEN-001961,FPS-0058,2026-01,RICE,5,2026-01-11T10:00:00,SUCCESS,RCT469290
EPOS-00000138,BEN-001961,FPS-0058,2026-01,WHEAT,3,2026-01-18T16:00:00,SUCCESS,RCT976554
EPOS-00000139,BEN-005069,FPS-0058,2026-01,RICE,7,2026-01-10T17:00:00,FAILED,RCT634701
EPOS-00000140,BEN-005069,FPS-0058,2026-01,WHEAT,5,2026-01-20T12:00:00,SUCCESS,RCT199302
EPOS-00000141,BEN-006011,FPS-0296,2026-01,RICE,5,2026-01-23T11:00:00,SUCCESS,RCT660375
EPOS-00000142,BEN-006011,FPS-0296,2026-01,WHEAT,3,2026-01-11T15:00:00,SUCCESS,RCT856695
EPOS-00000143,BEN-004522,FPS-0296,2026-01,RICE,11,2026-01-25T11:00:00,SUCCESS,RCT523375
EPOS-00000144,BEN-004522,FPS-0296,2026-01,WHEAT,3,2026-01-16T10:00:00,SUCCESS,RCT269657
EPOS-00000145,BEN-009578,FPS-0296,2026-01,RICE,10,2026-01-12T12:00:00,SUCCESS,RCT859281
EPOS-00000146,BEN-009578,FPS-0296,2026-01,WHEAT,6,2026-01-23T09:00:00,SUCCESS,RCT104847
EPOS-00000147,BEN-009952,FPS-0296,2026-01,RICE,17,2026-01-20T11:00:00,SUCCESS,RCT681672
EPOS-00000148,BEN-009952,FPS-0296,2026-01,WHEAT,11,2026-01-24T17:00:00,FAILED,RCT876549
EPOS-00000149,BEN-005419,FPS-0296,2026-01,RICE,7,2026-01-14T13:00:00,SUCCESS,RCT308803
EPOS-00000150,BEN-005419,FPS-0296,2026-01,WHEAT,4,2026-01-14T15:00:00,SUCCESS,RCT945110
EPOS-00000151,BEN-008054,FPS-0296,2026-01,RICE,11,2026-01-23T12:00:00,SUCCESS,RCT968913
EPOS-00000152,BEN-008054,FPS-0296,2026-01,WHEAT,9,2026-01-18T17:00:00,SUCCESS,RCT591073
EPOS-00000153,BEN-007464,FPS-0296,2026-01,RICE,19,2026-01-25T16:00:00,SUCCESS,RCT559070
EPOS-00000154,BEN-007464,FPS-0296,2026-01,WHEAT,12,2026-01-20T11:00:00,SUCCESS,RCT239484
EPOS-00000155,BEN-007583,FPS-0296,2026-01,RICE,4,2026-01-11T11:00:00,SUCCESS,RCT963275
EPOS-00000156,BEN-007583,FPS-0296,2026-01,WHEAT,3,2026-01-14T12:00:00,SUCCESS,RCT985347
EPOS-00000157,BEN-006998,FPS-0417,2026-01,RICE,18,2026-01-20T15:00:00,SUCCESS,RCT536080
EPOS-00000158,BEN-006998,FPS-0417,2026-01,WHEAT,13,2026-01-21T13:00:00,SUCCESS,RCT290605
EPOS-00000159,BEN-001854,FPS-0417,2026-01,RICE,19,2026-01-16T13:00:00,SUCCESS,RCT619957
EPOS-00000160,BEN-001854,FPS-0417,2026-01,WHEAT,11,2026-01-19T11:00:00,SUCCESS,RCT190295
EPOS-00000161,BEN-007063,FPS-0417,2026-01,RICE,20,2026-01-17T15:00:00,SUCCESS,RCT704307
EPOS-00000162,BEN-007063,FPS-0417,2026-01,WHEAT,12,2026-01-16T14:00:00,SUCCESS,RCT285349
EPOS-00000163,BEN-006459,FPS-0417,2026-01,RICE,12,2026-01-17T13:00:00,FAILED,RCT624120
EPOS-00000164,BEN-006459,FPS-0417,2026-01,WHEAT,9,2026-01-20T16:00:00,SUCCESS,RCT543383
EPOS-00000165,BEN-008778,FPS-0417,2026-01,RICE,11,2026-01-17T11:00:00,FAILED,RCT303308
EPOS-00000166,BEN-008778,FPS-0417,2026-01,WHEAT,10,2026-01-18T12:00:00,SUCCESS,RCT246856
EPOS-00000167,BEN-003907,FPS-0417,2026-01,RICE,2,2026-01-25T15:00:00,SUCCESS,RCT689041
EPOS-00000168,BEN-003907,FPS-0417,2026-01,WHEAT,1,2026-01-12T17:00:00,SUCCESS,RCT198241
EPOS-00000169,BEN-008691,FPS-0417,2026-01,RICE,7,2026-01-23T11:00:00,CANCELLED,RCT404002
EPOS-00000170,BEN-008691,FPS-0417,2026-01,WHEAT,5,2026-01-17T09:00:00,SUCCESS,RCT374918
EPOS-00000171,BEN-009032,FPS-0182,2026-01,RICE,10,2026-01-18T15:00:00,SUCCESS,RCT631931
EPOS-00000172,BEN-009032,FPS-0182,2026-01,WHEAT,6,2026-01-17T17:00:00,SUCCESS,RCT789206
EPOS-00000173,BEN-006795,FPS-0182,2026-01,RICE,15,2026-01-17T14:00:00,SUCCESS,RCT585422
EPOS-00000174,BEN-006795,FPS-0182,2026-01,WHEAT,7,2026-01-13T16:00:00,SUCCESS,RCT474579
EPOS-00000175,BEN-002704,FPS-0182,2026-01,RICE,15,2026-01-14T10:00:00,SUCCESS,RCT638442
EPOS-00000176,BEN-002704,FPS-0182,2026-01,WHEAT,7,2026-01-21T09:00:00,SUCCESS,RCT942379
EPOS-00000177,BEN-004833,FPS-0182,2026-01,RICE,5,2026-01-22T13:00:00,SUCCESS,RCT907238
EPOS-00000178,BEN-004833,FPS-0182,2026-01,WHEAT,2,2026-01-16T13:00:00,SUCCESS,RCT538062
EPOS-00000179,BEN-003731,FPS-0182,2026-01,RICE,1,2026-01-17T12:00:00,CANCELLED,RCT943704
EPOS-00000180,BEN-003731,FPS-0182,2026-01,WHEAT,1,2026-01-15T11:00:00,SUCCESS,RCT445494
EPOS-00000181,BEN-001841,FPS-0182,2026-01,RICE,17,2026-01-21T16:00:00,SUCCESS,RCT368626
EPOS-00000182,BEN-001841,FPS-0182,2026-01,WHEAT,13,2026-01-22T17:00:00,SUCCESS,RCT273325
EPOS-00000183,BEN-001862,FPS-0182,2026-01,RICE,6,2026-01-23T12:00:00,SUCCESS,RCT436998
EPOS-00000184,BEN-001862,FPS-0182,2026-01,WHEAT,6,2026-01-16T09:00:00,SUCCESS,RCT627797
EPOS-00000185,BEN-006290,FPS-0182,2026-01,RICE,21,2026-01-17T16:00:00,SUCCESS,RCT260343
EPOS-00000186,BEN-006290,FPS-0182,2026-01,WHEAT,11,2026-01-19T11:00:00,SUCCESS,RCT701595
EPOS-00000187,BEN-001276,FPS-0182,2026-01,RICE,20,2026-01-14T09:00:00,SUCCESS,RCT888906
EPOS-00000188,BEN-001276,FPS-0182,2026-01,WHEAT,13,2026-01-11T11:00:00,SUCCESS,RCT628237
EPOS-00000189,BEN-008612,FPS-0182,2026-01,RICE,4,2026-01-20T13:00:00,SUCCESS,RCT876823
EPOS-00000190,BEN-008612,FPS-0182,2026-01,WHEAT,5,2026-01-15T09:00:00,CANCELLED,RCT496711
EPOS-00000191,BEN-003117,FPS-0541,2026-01,RICE,5,2026-01-19T11:00:00,SUCCESS,RCT845280
EPOS-00000192,BEN-003117,FPS-0541,2026-01,WHEAT,3,2026-01-14T12:00:00,SUCCESS,RCT538486
EPOS-00000193,BEN-006738,FPS-0541,2026-01,RICE,5,2026-01-10T13:00:00,SUCCESS,RCT666743
EPOS-00000194,BEN-006738,FPS-0541,2026-01,WHEAT,3,2026-01-15T12:00:00,SUCCESS,RCT341473
EPOS-00000195,BEN-000548,FPS-0541,2026-01,RICE,7,2026-01-10T11:00:00,SUCCESS,RCT544683
EPOS-00000196,BEN-000548,FPS-0541,2026-01,WHEAT,6,2026-01-20T17:00:00,FAILED,RCT261855
EPOS-00000197,BEN-001915,FPS-0541,2026-01,RICE,9,2026-01-24T16:00:00,CANCELLED,RCT419298
EPOS-00000198,BEN-001915,FPS-0541,2026-01,WHEAT,7,2026-01-10T12:00:00,SUCCESS,RCT394633
EPOS-00000199,BEN-005566,FPS-0541,2026-01,RICE,13,2026-01-19T15:00:00,SUCCESS,RCT790734
EPOS-00000200,BEN-005566,FPS-0541,2026-01,WHEAT,9,2026-01-11T14:00:00,SUCCESS,RCT787853
EPOS-00000201,BEN-005076,FPS-0541,2026-01,RICE,11,2026-01-10T15:00:00,SUCCESS,RCT619074
EPOS-00000202,BEN-005076,FPS-0541,2026-01,WHEAT,6,2026-01-14T11:00:00,SUCCESS,RCT324338
EPOS-00000203,BEN-007041,FPS-0541,2026-01,RICE,15,2026-01-17T16:00:00,SUCCESS,RCT336582
EPOS-00000204,BEN-007041,FPS-0541,2026-01,WHEAT,8,2026-01-25T14:00:00,SUCCESS,RCT643719
EPOS-00000205,BEN-000609,FPS-0541,2026-01,RICE,4,2026-01-18T13:00:00,SUCCESS,RCT909290
EPOS-00000206,BEN-000609,FPS-0541,2026-01,WHEAT,5,2026-01-18T16:00:00,SUCCESS,RCT484346
EPOS-00000207,BEN-004689,FPS-0541,2026-01,RICE,6,2026-01-12T15:00:00,SUCCESS,RCT653118
EPOS-00000208,BEN-004689,FPS-0541,2026-01,WHEAT,7,2026-01-19T09:00:00,SUCCESS,RCT948592
EPOS-00000209,BEN-003535,FPS-0443,2026-01,RICE,11,2026-01-10T14:00:00,SUCCESS,RCT520563
EPOS-00000210,BEN-003535,FPS-0443,2026-01,WHEAT,6,2026-01-14T12:00:00,SUCCESS,RCT798981
EPOS-00000211,BEN-006594,FPS-0443,2026-01,RICE,8,2026-01-13T11:00:00,SUCCESS,RCT795339
EPOS-00000212,BEN-006594,FPS-0443,2026-01,WHEAT,5,2026-01-25T11:00:00,CANCELLED,RCT682103
EPOS-00000213,BEN-001375,FPS-0443,2026-01,RICE,12,2026-01-19T13:00:00,FAILED,RCT138200
EPOS-00000214,BEN-001375,FPS-0443,2026-01,WHEAT,6,2026-01-19T17:00:00,CANCELLED,RCT568455
EPOS-00000215,BEN-005668,FPS-0443,2026-01,RICE,4,2026-01-12T11:00:00,SUCCESS,RCT851362
EPOS-00000216,BEN-005668,FPS-0443,2026-01,WHEAT,3,2026-01-12T09:00:00,SUCCESS,RCT142768
EPOS-00000217,BEN-001085,FPS-0443,2026-01,RICE,2,2026-01-13T14:00:00,SUCCESS,RCT415569
EPOS-00000218,BEN-001085,FPS-0443,2026-01,WHEAT,1,2026-01-12T12:00:00,SUCCESS,RCT869576
EPOS-00000219,BEN-008961,FPS-0443,2026-01,RICE,2,2026-01-14T15:00:00,SUCCESS,RCT372319
EPOS-00000220,BEN-008961,FPS-0443,2026-01,WHEAT,1,2026-01-12T15:00:00,SUCCESS,RCT931254
EPOS-00000221,BEN-007867,FPS-0443,2026-01,RICE,11,2026-01-16T16:00:00,SUCCESS,RCT327012
EPOS-00000222,BEN-007867,FPS-0443,2026-01,WHEAT,6,2026-01-14T14:00:00,SUCCESS,RCT414537
EPOS-00000223,BEN-009700,FPS-0443,2026-01,RICE,16,2026-01-17T14:00:00,SUCCESS,RCT404328
EPOS-00000224,BEN-009700,FPS-0443,2026-01,WHEAT,7,2026-01-10T13:00:00,SUCCESS,RCT881913
EPOS-00000225,BEN-003211,FPS-0443,2026-01,RICE,20,2026-01-13T09:00:00,SUCCESS,RCT773704
EPOS-00000226,BEN-003211,FPS-0443,2026-01,WHEAT,12,2026-01-22T11:00:00,SUCCESS,RCT726346
EPOS-00000227,BEN-002828,FPS-0596,2026-01,RICE,6,2026-01-12T10:00:00,SUCCESS,RCT822947
EPOS-00000228,BEN-002828,FPS-0596,2026-01,WHEAT,4,2026-01-24T10:00:00,SUCCESS,RCT824653
