manifest_item_id,manifest_id,fps_id,commodity,planned_kg,sequence_number,allocation_id
MI-0000039,MAN-000004,FPS-0076,RICE,233,2,ALLOC-0000151
MI-0000040,MAN-000004,FPS-0076,WHEAT,144,2,ALLOC-0000152
MI-0000041,MAN-000004,FPS-0176,RICE,180,3,ALLOC-0000351
MI-0000042,MAN-000004,FPS-0176,WHEAT,141,3,ALLOC-0000352
MI-0000043,MAN-000004,FPS-0001,RICE,234,4,ALLOC-0000001
MI-0000044,MAN-000004,FPS-0001,WHEAT,171,4,ALLOC-0000002
MI-0000045,MAN-000004,FPS-0326,RICE,158,5,ALLOC-0000651
MI-0000046,MAN-000004,FPS-0326,WHEAT,129,5,ALLOC-0000652
MI-0000047,MAN-000004,FPS-0451,RICE,195,6,ALLOC-0000901
MI-0000048,MAN-000004,FPS-0451,WHEAT,137,6,ALLOC-0000902
MI-0000049,MAN-000005,FPS-0052,RICE,206,1,ALLOC-0000103
MI-0000050,MAN-000005,FPS-0052,WHEAT,143,1,ALLOC-0000104
MI-0000051,MAN-000005,FPS-0527,RICE,180,2,ALLOC-0001053
MI-0000052,MAN-000005,FPS-0527,WHEAT,150,2,ALLOC-0001054
MI-0000053,MAN-000005,FPS-0202,RICE,134,3,ALLOC-0000403
MI-0000054,MAN-000005,FPS-0202,WHEAT,118,3,ALLOC-0000404
MI-0000055,MAN-000005,FPS-0502,RICE,191,4,ALLOC-0001003
MI-0000056,MAN-000005,FPS-0502,WHEAT,150,4,ALLOC-0001004
MI-0000057,MAN-000005,FPS-0177,RICE,150,5,ALLOC-0000353
MI-0000058,MAN-000005,FPS-0177,WHEAT,118,5,ALLOC-0000354
MI-0000059,MAN-000005,FPS-0327,RICE,184,6,ALLOC-0000653
MI-0000060,MAN-000005,FPS-0327,WHEAT,140,6,ALLOC-0000654
MI-0000061,MAN-000006,FPS-0427,RICE,154,1,ALLOC-0000853
MI-0000062,MAN-000006,FPS-0427,WHEAT,118,1,ALLOC-0000854
MI-0000063,MAN-000006,FPS-0577,RICE,148,2,ALLOC-0001153
MI-0000064,MAN-000006,FPS-0577,WHEAT,137,2,ALLOC-0001154
MI-0000065,MAN-000006,FPS-0152,RICE,182,3,ALLOC-0000303
MI-0000066,MAN-000006,FPS-0152,WHEAT,141,3,ALLOC-0000304
MI-0000067,MAN-000006,FPS-0227,RICE,127,4,ALLOC-0000453
MI-0000068,MAN-000006,FPS-0227,WHEAT,122,4,ALLOC-0000454
MI-0000069,MAN-000006,FPS-0477,RICE,179,5,ALLOC-0000953
MI-0000070,MAN-000006,FPS-0477,WHEAT,139,5,ALLOC-0000954
MI-0000071,MAN-000006,FPS-0252,RICE,179,6,ALLOC-0000503
MI-0000072,MAN-000006,FPS-0252,WHEAT,146,6,ALLOC-0000504
MI-0000073,MAN-000007,FPS-0402,RICE,118,1,ALLOC-0000803
MI-0000074,MAN-000007,FPS-0402,WHEAT,107,1,ALLOC-0000804
MI-0000075,MAN-000007,FPS-0002,RICE,126,2,ALLOC-0000003
MI-0000076,MAN-000007,FPS-0002,WHEAT,125,2,ALLOC-0000004
MI-0000077,MAN-000007,FPS-0377,RICE,172,3,ALLOC-0000753
MI-0000078,MAN-000007,FPS-0377,WHEAT,143,3,ALLOC-0000754
MI-0000079,MAN-000007,FPS-0352,RICE,187,4,ALLOC-0000703
MI-0000080,MAN-000007,FPS-0352,WHEAT,145,4,ALLOC-0000704
MI-0000081,MAN-000007,FPS-0027,RICE,142,5,ALLOC-0000053
MI-0000082,MAN-000007,FPS-0027,WHEAT,116,5,ALLOC-0000054
MI-0000083,MAN-000007,FPS-0127,RICE,123,6,ALLOC-0000253
MI-0000084,MAN-000007,FPS-0127,WHEAT,103,6,ALLOC-0000254
MI-0000085,MAN-000008,FPS-0102,RICE,163,1,ALLOC-0000203
MI-0000086,MAN-000008,FPS-0102,WHEAT,140,1,ALLOC-0000204
MI-0000087,MAN-000008,FPS-0277,RICE,145,2,ALLOC-0000553
MI-0000088,MAN-000008,FPS-0277,WHEAT,134,2,ALLOC-0000554
MI-0000089,MAN-000008,FPS-0552,RICE,133,3,ALLOC-0001103
MI-0000090,MAN-000008,FPS-0552,WHEAT,118,3,ALLOC-0001104
MI-0000091,MAN-000008,FPS-0077,RICE,154,4,ALLOC-0000153
MI-0000092,MAN-000008,FPS-0077,WHEAT,113,4,ALLOC-0000154
MI-0000093,MAN-000008,FPS-0302,RICE,164,5,ALLOC-0000603
MI-0000094,MAN-000008,FPS-0302,WHEAT,142,5,ALLOC-0000604
MI-0000095,MAN-000008,FPS-0452,RICE,177,6,ALLOC-0000903
MI-0000096,MAN-000008,FPS-0452,WHEAT,146,6,ALLOC-0000904
MI-0000097,MAN-000009,FPS-0403,RICE,151,1,ALLOC-0000805
MI-0000098,MAN-000009,FPS-0403,WHEAT,141,1,ALLOC-0000806
MI-0000099,MAN-000009,FPS-0478,RICE,147,2,ALLOC-0000955
MI-0000100,MAN-000009,FPS-0478,WHEAT,139,2,ALLOC-0000956
MI-0000101,MAN-000009,FPS-0003,RICE,255,3,ALLOC-0000005
MI-0000102,MAN-000009,FPS-0003,WHEAT,181,3,ALLOC-0000006
MI-0000103,MAN-000009,FPS-0528,RICE,143,4,ALLOC-0001055
MI-0000104,MAN-000009,FPS-0528,WHEAT,134,4,ALLOC-0001056
MI-0000105,MAN-000009,FPS-0078,RICE,208,5,ALLOC-0000155
MI-0000106,MAN-000009,FPS-0078,WHEAT,148,5,ALLOC-0000156
MI-0000107,MAN-000009,FPS-0128,RICE,141,6,ALLOC-0000255
MI-0000108,MAN-000009,FPS-0128,WHEAT,140,6,ALLOC-0000256
MI-0000109,MAN-000010,FPS-0553,RICE,214,1,ALLOC-0001105
MI-0000110,MAN-000010,FPS-0553,WHEAT,156,1,ALLOC-0001106
MI-0000111,MAN-000010,FPS-0378,RICE,227,2,ALLOC-0000755
MI-0000112,MAN-000010,FPS-0378,WHEAT,164,2,ALLOC-0000756
MI-0000113,MAN-000010,FPS-0278,RICE,151,3,ALLOC-0000555
MI-0000114,MAN-000010,FPS-0278,WHEAT,134,3,ALLOC-0000556
MI-0000115,MAN-000010,FPS-0253,RICE,175,4,ALLOC-0000505
MI-0000116,MAN-000010,FPS-0253,WHEAT,125,4,ALLOC-0000506
MI-0000117,MAN-000010,FPS-0053,RICE,177,5,ALLOC-0000105
MI-0000118,MAN-000010,FPS-0053,WHEAT,147,5,ALLOC-0000106
MI-0000119,MAN-000010,FPS-0453,RICE,149,6,ALLOC-0000905
MI-0000120,MAN-000010,FPS-0453,WHEAT,128,6,ALLOC-0000906
MI-0000121,MAN-000011,FPS-0228,RICE,192,1,ALLOC-0000455
MI-0000122,MAN-000011,FPS-0228,WHEAT,148,1,ALLOC-0000456
MI-0000123,MAN-000011,FPS-0203,RICE,129,2,ALLOC-0000405
MI-0000124,MAN-000011,FPS-0203,WHEAT,111,2,ALLOC-0000406
MI-0000125,MAN-000011,FPS-0353,RICE,143,3,ALLOC-0000705
MI-0000126,MAN-000011,FPS-0353,WHEAT,125,3,ALLOC-0000706
MI-0000127,MAN-000011,FPS-0178,RICE,156,4,ALLOC-0000355
MI-0000128,MAN-000011,FPS-0178,WHEAT,136,4,ALLOC-0000356
MI-0000129,MAN-000011,FPS-0103,RICE,230,5,ALLOC-0000205
MI-0000130,MAN-000011,FPS-0103,WHEAT,174,5,ALLOC-0000206
MI-0000131,MAN-000011,FPS-0328,RICE,185,6,ALLOC-0000655
MI-0000132,MAN-000011,FPS-0328,WHEAT,154,6,ALLOC-0000656
MI-0000133,MAN-000012,FPS-0303,RICE,137,1,ALLOC-0000605
MI-0000134,MAN-000012,FPS-0303,WHEAT,124,1,ALLOC-0000606
MI-0000135,MAN-000012,FPS-0153,RICE,147,2,ALLOC-0000305
MI-0000136,MAN-000012,FPS-0153,WHEAT,128,2,ALLOC-0000306
MI-0000137,MAN-000012,FPS-0428,RICE,138,3,ALLOC-0000855
MI-0000138,MAN-000012,FPS-0428,WHEAT,119,3,ALLOC-0000856
MI-0000139,MAN-000012,FPS-0578,RICE,149,4,ALLOC-0001155
MI-0000140,MAN-000012,FPS-0578,WHEAT,134,4,ALLOC-0001156
MI-0000141,MAN-000012,FPS-0028,RICE,138,5,ALLOC-0000055
MI-0000142,MAN-000012,FPS-0028,WHEAT,121,5,ALLOC-0000056
MI-0000143,MAN-000012,FPS-0503,RICE,128,6,ALLOC-0001005
MI-0000144,MAN-000012,FPS-0503,WHEAT,104,6,ALLOC-0001006
MI-0000145,MAN-000013,FPS-0279,RICE,265,1,ALLOC-0000557
MI-0000146,MAN-000013,FPS-0279,WHEAT,184,1,ALLOC-0000558
MI-0000147,MAN-000013,FPS-0504,RICE,159,2,ALLOC-0001007
MI-0000148,MAN-000013,FPS-0504,WHEAT,123,2,ALLOC-0001008
MI-0000149,MAN-000013,FPS-0479,RICE,189,3,ALLOC-0000957
MI-0000150,MAN-000013,FPS-0479,WHEAT,148,3,ALLOC-0000958
MI-0000151,MAN-000013,FPS-0129,RICE,164,4,ALLOC-0000257
MI-0000152,MAN-000013,FPS-0129,WHEAT,136,4,ALLOC-0000258
MI-0000153,MAN-000013,FPS-0079,RICE,145,5,ALLOC-0000157
MI-0000154,MAN-000013,FPS-0079,WHEAT,132,5,ALLOC-0000158
MI-0000155,MAN-000013,FPS-0154,RICE,130,6,ALLOC-0000307
MI-0000156,MAN-000013,FPS-0154,WHEAT,124,6,ALLOC-0000308
MI-0000157,MAN-000014,FPS-0104,RICE,153,1,ALLOC-0000207
MI-0000158,MAN-000014,FPS-0104,WHEAT,130,1,ALLOC-0000208
MI-0000159,MAN-000014,FPS-0579,RICE,129,2,ALLOC-0001157
MI-0000160,MAN-000014,FPS-0579,WHEAT,133,2,ALLOC-0001158
MI-0000161,MAN-000014,FPS-0529,RICE,241,3,ALLOC-0001057
MI-0000162,MAN-000014,FPS-0529,WHEAT,171,3,ALLOC-0001058
MI-0000163,MAN-000014,FPS-0379,RICE,143,4,ALLOC-0000757
MI-0000164,MAN-000014,FPS-0379,WHEAT,121,4,ALLOC-0000758
MI-0000165,MAN-000014,FPS-0554,RICE,143,5,ALLOC-0001107
MI-0000166,MAN-000014,FPS-0554,WHEAT,128,5,ALLOC-0001108
MI-0000167,MAN-000014,FPS-0354,RICE,184,6,ALLOC-0000707
MI-0000168,MAN-000014,FPS-0354,WHEAT,142,6,ALLOC-0000708
MI-0000169,MAN-000015,FPS-0254,RICE,138,1,ALLOC-0000507
MI-0000170,MAN-000015,FPS-0254,WHEAT,123,1,ALLOC-0000508
MI-0000171,MAN-000015,FPS-0179,RICE,230,2,ALLOC-0000357
MI-0000172,MAN-000015,FPS-0179,WHEAT,170,2,ALLOC-0000358
MI-0000173,MAN-000015,FPS-0229,RICE,124,3,ALLOC-0000457
MI-0000174,MAN-000015,FPS-0229,WHEAT,120,3,ALLOC-0000458
MI-0000175,MAN-000015,FPS-0429,RICE,144,4,ALLOC-0000857
MI-0000176,MAN-000015,FPS-0429,WHEAT,123,4,ALLOC-0000858
MI-0000177,MAN-000015,FPS-0454,RICE,183,5,ALLOC-0000907
MI-0000178,MAN-000015,FPS-0454,WHEAT,147,5,ALLOC-0000908
MI-0000179,MAN-000015,FPS-0404,RICE,168,6,ALLOC-0000807
MI-0000180,MAN-000015,FPS-0404,WHEAT,130,6,ALLOC-0000808
MI-0000181,MAN-000016,FPS-0204,RICE,188,1,ALLOC-0000407
MI-0000182,MAN-000016,FPS-0204,WHEAT,155,1,ALLOC-0000408
MI-0000183,MAN-000016,FPS-0029,RICE,206,2,ALLOC-0000057
MI-0000184,MAN-000016,FPS-0029,WHEAT,137,2,ALLOC-0000058
MI-0000185,MAN-000016,FPS-0054,RICE,124,3,ALLOC-0000107
MI-0000186,MAN-000016,FPS-0054,WHEAT,117,3,ALLOC-0000108
MI-0000187,MAN-000016,FPS-0329,RICE,146,4,ALLOC-0000657
MI-0000188,MAN-000016,FPS-0329,WHEAT,115,4,ALLOC-0000658
MI-0000189,MAN-000016,FPS-0304,RICE,177,5,ALLOC-0000607
MI-0000190,MAN-000016,FPS-0304,WHEAT,142,5,ALLOC-0000608
MI-0000191,MAN-000016,FPS-0004,RICE,135,6,ALLOC-0000007
MI-0000192,MAN-000016,FPS-0004,WHEAT,113,6,ALLOC-0000008
MI-0000193,MAN-000017,FPS-0330,RICE,200,1,ALLOC-0000659
MI-0000194,MAN-000017,FPS-0330,WHEAT,153,1,ALLOC-0000660
MI-0000195,MAN-000017,FPS-0305,RICE,190,2,ALLOC-0000609
MI-0000196,MAN-000017,FPS-0305,WHEAT,153,2,ALLOC-0000610
MI-0000197,MAN-000017,FPS-0005,RICE,189,3,ALLOC-0000009
MI-0000198,MAN-000017,FPS-0005,WHEAT,151,3,ALLOC-0000010
MI-0000199,MAN-000017,FPS-0030,RICE,141,4,ALLOC-0000059
MI-0000200,MAN-000017,FPS-0030,WHEAT,117,4,ALLOC-0000060
MI-0000201,MAN-000017,FPS-0455,RICE,180,5,ALLOC-0000909
MI-0000202,MAN-000017,FPS-0455,WHEAT,143,5,ALLOC-0000910
MI-0000203,MAN-000017,FPS-0280,RICE,149,6,ALLOC-0000559
MI-0000204,MAN-000017,FPS-0280,WHEAT,117,6,ALLOC-0000560
MI-0000205,MAN-000018,FPS-0155,RICE,124,1,ALLOC-0000309
MI-0000206,MAN-000018,FPS-0155,WHEAT,107,1,ALLOC-0000310
MI-0000207,MAN-000018,FPS-0530,RICE,132,2,ALLOC-0001059
MI-0000208,MAN-000018,FPS-0530,WHEAT,100,2,ALLOC-0001060
MI-0000209,MAN-000018,FPS-0255,RICE,118,3,ALLOC-0000509
MI-0000210,MAN-000018,FPS-0255,WHEAT,100,3,ALLOC-0000510
MI-0000211,MAN-000018,FPS-0355,RICE,112,4,ALLOC-0000709
MI-0000212,MAN-000018,FPS-0355,WHEAT,96,4,ALLOC-0000710
MI-0000213,MAN-000018,FPS-0230,RICE,180,5,ALLOC-0000459
MI-0000214,MAN-000018,FPS-0230,WHEAT,117,5,ALLOC-0000460
MI-0000215,MAN-000018,FPS-0180,RICE,85,6,ALLOC-0000359
MI-0000216,MAN-000018,FPS-0180,WHEAT,82,6,ALLOC-0000360
MI-0000217,MAN-000019,FPS-0555,RICE,222,1,ALLOC-0001109
MI-0000218,MAN-000019,FPS-0555,WHEAT,156,1,ALLOC-0001110
MI-0000219,MAN-000019,FPS-0055,RICE,156,2,ALLOC-0000109
MI-0000220,MAN-000019,FPS-0055,WHEAT,126,2,ALLOC-0000110
MI-0000221,MAN-000019,FPS-0380,RICE,195,3,ALLOC-0000759
MI-0000222,MAN-000019,FPS-0380,WHEAT,148,3,ALLOC-0000760
MI-0000223,MAN-000019,FPS-0505,RICE,155,4,ALLOC-0001009
MI-0000224,MAN-000019,FPS-0505,WHEAT,134,4,ALLOC-0001010
MI-0000225,MAN-000019,FPS-0105,RICE,286,5,ALLOC-0000209
MI-0000226,MAN-000019,FPS-0105,WHEAT,202,5,ALLOC-0000210
MI-0000227,MAN-000019,FPS-0430,RICE,162,6,ALLOC-0000859
MI-0000228,MAN-000019,FPS-0430,WHEAT,131,6,ALLOC-0000860
MI-0000229,MAN-000020,FPS-0205,RICE,149,1,ALLOC-0000409
MI-0000230,MAN-000020,FPS-0205,WHEAT,121,1,ALLOC-0000410
MI-0000231,MAN-000020,FPS-0130,RICE,131,2,ALLOC-0000259
MI-0000232,MAN-000020,FPS-0130,WHEAT,114,2,ALLOC-0000260
MI-0000233,MAN-000020,FPS-0580,RICE,243,3,ALLOC-0001159
MI-0000234,MAN-000020,FPS-0580,WHEAT,166,3,ALLOC-0001160
MI-0000235,MAN-000020,FPS-0080,RICE,181,4,ALLOC-0000159
MI-0000236,MAN-000020,FPS-0080,WHEAT,147,4,ALLOC-0000160
MI-0000237,MAN-000020,FPS-0480,RICE,137,5,ALLOC-0000959
MI-0000238,MAN-000020,FPS-0480,WHEAT,131,5,ALLOC-0000960
MI-0000239,MAN-000020,FPS-0405,RICE,158,6,ALLOC-0000809
MI-0000240,MAN-000020,FPS-0405,WHEAT,130,6,ALLOC-0000810
MI-0000241,MAN-000021,FPS-0506,RICE,132,1,ALLOC-0001011
MI-0000242,MAN-000021,FPS-0506,WHEAT,116,1,ALLOC-0001012
MI-0000243,MAN-000021,FPS-0181,RICE,179,2,ALLOC-0000361
MI-0000244,MAN-000021,FPS-0181,WHEAT,151,2,ALLOC-0000362
MI-0000245,MAN-000021,FPS-0581,RICE,203,3,ALLOC-0001161
MI-0000246,MAN-000021,FPS-0581,WHEAT,161,3,ALLOC-0001162
MI-0000247,MAN-000021,FPS-0406,RICE,198,4,ALLOC-0000811
MI-0000248,MAN-000021,FPS-0406,WHEAT,146,4,ALLOC-0000812
MI-0000249,MAN-000021,FPS-0231,RICE,152,5,ALLOC-0000461
MI-0000250,MAN-000021,FPS-0231,WHEAT,131,5,ALLOC-0000462
MI-0000251,MAN-000021,FPS-0356,RICE,147,6,ALLOC-0000711
MI-0000252,MAN-000021,FPS-0356,WHEAT,130,6,ALLOC-0000712
MI-0000253,MAN-000022,FPS-0156,RICE,142,1,ALLOC-0000311
MI-0000254,MAN-000022,FPS-0156,WHEAT,123,1,ALLOC-0000312
MI-0000255,MAN-000022,FPS-0031,RICE,139,2,ALLOC-0000061
MI-0000256,MAN-000022,FPS-0031,WHEAT,122,2,ALLOC-0000062
MI-0000257,MAN-000022,FPS-0381,RICE,149,3,ALLOC-0000761
MI-0000258,MAN-000022,FPS-0381,WHEAT,128,3,ALLOC-0000762
MI-0000259,MAN-000022,FPS-0306,RICE,124,4,ALLOC-0000611
MI-0000260,MAN-000022,FPS-0306,WHEAT,111,4,ALLOC-0000612
MI-0000261,MAN-000022,FPS-0481,RICE,160,5,ALLOC-0000961
MI-0000262,MAN-000022,FPS-0481,WHEAT,133,5,ALLOC-0000962
MI-0000263,MAN-000022,FPS-0331,RICE,149,6,ALLOC-0000661
MI-0000264,MAN-000022,FPS-0331,WHEAT,127,6,ALLOC-0000662
MI-0000265,MAN-000023,FPS-0456,RICE,173,1,ALLOC-0000911
MI-0000266,MAN-000023,FPS-0456,WHEAT,127,1,ALLOC-0000912
MI-0000267,MAN-000023,FPS-0256,RICE,146,2,ALLOC-0000511
MI-0000268,MAN-000023,FPS-0256,WHEAT,124,2,ALLOC-0000512
MI-0000269,MAN-000023,FPS-0531,RICE,167,3,ALLOC-0001061
MI-0000270,MAN-000023,FPS-0531,WHEAT,144,3,ALLOC-0001062
MI-0000271,MAN-000023,FPS-0106,RICE,149,4,ALLOC-0000211
MI-0000272,MAN-000023,FPS-0106,WHEAT,126,4,ALLOC-0000212
MI-0000273,MAN-000023,FPS-0056,RICE,173,5,ALLOC-0000111
MI-0000274,MAN-000023,FPS-0056,WHEAT,139,5,ALLOC-0000112
MI-0000275,MAN-000023,FPS-0556,RICE,176,6,ALLOC-0001111
MI-0000276,MAN-000023,FPS-0556,WHEAT,141,6,ALLOC-0001112
MI-0000277,MAN-000024,FPS-0081,RICE,150,1,ALLOC-0000161
MI-0000278,MAN-000024,FPS-0081,WHEAT,129,1,ALLOC-0000162
MI-0000279,MAN-000024,FPS-0431,RICE,126,2,ALLOC-0000861
MI-0000280,MAN-000024,FPS-0431,WHEAT,115,2,ALLOC-0000862
MI-0000281,MAN-000024,FPS-0206,RICE,238,3,ALLOC-0000411
MI-0000282,MAN-000024,FPS-0206,WHEAT,176,3,ALLOC-0000412
MI-0000283,MAN-000024,FPS-0131,RICE,173,4,ALLOC-0000261
MI-0000284,MAN-000024,FPS-0131,WHEAT,140,4,ALLOC-0000262
MI-0000285,MAN-000024,FPS-0281,RICE,168,5,ALLOC-0000561
MI-0000286,MAN-000024,FPS-0281,WHEAT,128,5,ALLOC-0000562
MI-0000287,MAN-000024,FPS-0006,RICE,237,6,ALLOC-0000011
MI-0000288,MAN-000024,FPS-0006,WHEAT,157,6,ALLOC-0000012
MI-0000289,MAN-000025,FPS-0357,RICE,172,1,ALLOC-0000713
MI-0000290,MAN-000025,FPS-0357,WHEAT,133,1,ALLOC-0000714
MI-0000291,MAN-000025,FPS-0082,RICE,207,2,ALLOC-0000163
MI-0000292,MAN-000025,FPS-0082,WHEAT,164,2,ALLOC-0000164
MI-0000293,MAN-000025,FPS-0507,RICE,138,3,ALLOC-0001013
MI-0000294,MAN-000025,FPS-0507,WHEAT,117,3,ALLOC-0001014
MI-0000295,MAN-000025,FPS-0207,RICE,283,4,ALLOC-0000413
MI-0000296,MAN-000025,FPS-0207,WHEAT,205,4,ALLOC-0000414
MI-0000297,MAN-000025,FPS-0157,RICE,165,5,ALLOC-0000313
MI-0000298,MAN-000025,FPS-0157,WHEAT,135,5,ALLOC-0000314
MI-0000299,MAN-000025,FPS-0032,RICE,151,6,ALLOC-0000063
MI-0000300,MAN-000025,FPS-0032,WHEAT,126,6,ALLOC-0000064
MI-0000301,MAN-000026,FPS-0007,RICE,115,1,ALLOC-0000013
MI-0000302,MAN-000026,FPS-0007,WHEAT,95,1,ALLOC-0000014
MI-0000303,MAN-000026,FPS-0232,RICE,131,2,ALLOC-0000463
MI-0000304,MAN-000026,FPS-0232,WHEAT,115,2,ALLOC-0000464
MI-0000305,MAN-000026,FPS-0107,RICE,172,3,ALLOC-0000213
MI-0000306,MAN-000026,FPS-0107,WHEAT,148,3,ALLOC-0000214
MI-0000307,MAN-000026,FPS-0282,RICE,171,4,ALLOC-0000563
MI-0000308,MAN-000026,FPS-0282,WHEAT,133,4,ALLOC-0000564
MI-0000309,MAN-000026,FPS-0182,RICE,154,5,ALLOC-0000363
MI-0000310,MAN-000026,FPS-0182,WHEAT,115,5,ALLOC-0000364
MI-0000311,MAN-000026,FPS-0457,RICE,190,6,ALLOC-0000913
MI-0000312,MAN-000026,FPS-0457,WHEAT,141,6,ALLOC-0000914
MI-0000313,MAN-000027,FPS-0532,RICE,139,1,ALLOC-0001063
MI-0000314,MAN-000027,FPS-0532,WHEAT,120,1,ALLOC-0001064
MI-0000315,MAN-000027,FPS-0332,RICE,198,2,ALLOC-0000663
MI-0000316,MAN-000027,FPS-0332,WHEAT,158,2,ALLOC-0000664
MI-0000317,MAN-000027,FPS-0257,RICE,151,3,ALLOC-0000513
MI-0000318,MAN-000027,FPS-0257,WHEAT,144,3,ALLOC-0000514
MI-0000319,MAN-000027,FPS-0382,RICE,119,4,ALLOC-0000763
MI-0000320,MAN-000027,FPS-0382,WHEAT,108,4,ALLOC-0000764
MI-0000321,MAN-000027,FPS-0482,RICE,148,5,ALLOC-0000963
MI-0000322,MAN-000027,FPS-0482,WHEAT,135,5,ALLOC-0000964
MI-0000323,MAN-000027,FPS-0557,RICE,166,6,ALLOC-0001113
MI-0000324,MAN-000027,FPS-0557,WHEAT,127,6,ALLOC-0001114
MI-0000325,MAN-000028,FPS-0582,RICE,113,1,ALLOC-0001163
MI-0000326,MAN-000028,FPS-0582,WHEAT,111,1,ALLOC-0001164
MI-0000327,MAN-000028,FPS-0407,RICE,185,2,ALLOC-0000813
MI-0000328,MAN-000028,FPS-0407,WHEAT,159,2,ALLOC-0000814
MI-0000329,MAN-000028,FPS-0132,RICE,224,3,ALLOC-0000263
MI-0000330,MAN-000028,FPS-0132,WHEAT,159,3,ALLOC-0000264
MI-0000331,MAN-000028,FPS-0432,RICE,299,4,ALLOC-0000863
MI-0000332,MAN-000028,FPS-0432,WHEAT,206,4,ALLOC-0000864
MI-0000333,MAN-000028,FPS-0057,RICE,196,5,ALLOC-0000113
MI-0000334,MAN-000028,FPS-0057,WHEAT,144,5,ALLOC-0000114
MI-0000335,MAN-000028,FPS-0307,RICE,184,6,ALLOC-0000613
MI-0000336,MAN-000028,FPS-0307,WHEAT,140,6,ALLOC-0000614
MI-0000337,MAN-000029,FPS-0083,RICE,168,1,ALLOC-0000165
MI-0000338,MAN-000029,FPS-0083,WHEAT,134,1,ALLOC-0000166
MI-0000339,MAN-000029,FPS-0133,RICE,128,2,ALLOC-0000265
MI-0000340,MAN-000029,FPS-0133,WHEAT,125,2,ALLOC-0000266
MI-0000341,MAN-000029,FPS-0108,RICE,139,3,ALLOC-0000215
MI-0000342,MAN-000029,FPS-0108,WHEAT,117,3,ALLOC-0000216
MI-0000343,MAN-000029,FPS-0458,RICE,150,4,ALLOC-0000915
MI-0000344,MAN-000029,FPS-0458,WHEAT,129,4,ALLOC-0000916
MI-0000345,MAN-000029,FPS-0383,RICE,127,5,ALLOC-0000765
MI-0000346,MAN-000029,FPS-0383,WHEAT,123,5,ALLOC-0000766
MI-0000347,MAN-000029,FPS-0183,RICE,155,6,ALLOC-0000365
