inventory_id,location_type,location_id,commodity,opening_stock_kg,received_kg,dispatched_kg,distributed_kg,closing_stock_kg,cycle
INV-0000105,WAREHOUSE,WH-003,RICE,18534,3786,0,0,22320,2025-12
INV-0000106,WAREHOUSE,WH-003,WHEAT,19996,2037,0,0,22033,2025-12
INV-0000107,WAREHOUSE,WH-004,RICE,28127,4627,0,0,32754,2025-12
INV-0000108,WAREHOUSE,WH-004,WHEAT,21885,3886,0,0,25771,2025-12
INV-0000109,WAREHOUSE,WH-005,RICE,71296,9611,0,0,80907,2025-12
INV-0000110,WAREHOUSE,WH-005,WHEAT,56823,15090,0,0,71913,2025-12
INV-0000111,WAREHOUSE,WH-006,RICE,29536,7123,0,0,36659,2025-12
INV-0000112,WAREHOUSE,WH-006,WHEAT,27135,6625,0,0,33760,2025-12
INV-0000113,WAREHOUSE,WH-007,RICE,22946,5927,0,0,28873,2025-12
INV-0000114,WAREHOUSE,WH-007,WHEAT,15556,3260,0,0,18816,2025-12
INV-0000115,WAREHOUSE,WH-008,RICE,42136,9505,0,0,51641,2025-12
INV-0000116,WAREHOUSE,WH-008,WHEAT,31993,9134,0,0,41127,2025-12
INV-0000117,WAREHOUSE,WH-009,RICE,36849,8738,0,0,45587,2025-12
INV-0000118,WAREHOUSE,WH-009,WHEAT,31438,5832,0,0,37270,2025-12
INV-0000119,WAREHOUSE,WH-010,RICE,43757,5344,0,0,49101,2025-12
INV-0000120,WAREHOUSE,WH-010,WHEAT,36578,10872,0,0,47450,2025-12
INV-0000121,WAREHOUSE,WH-011,RICE,20257,3594,0,0,23851,2025-12
INV-0000122,WAREHOUSE,WH-011,WHEAT,15105,4380,0,0,19485,2025-12
INV-0000123,WAREHOUSE,WH-012,RICE,28062,7065,0,0,35127,2025-12
INV-0000124,WAREHOUSE,WH-012,WHEAT,24181,6087,0,0,30268,2025-12
INV-0000125,WAREHOUSE,WH-013,RICE,42736,10866,0,0,53602,2025-12
INV-0000126,WAREHOUSE,WH-013,WHEAT,32195,4462,0,0,36657,2025-12
INV-0000127,WAREHOUSE,WH-014,RICE,31121,7537,0,0,38658,2025-12
INV-0000128,WAREHOUSE,WH-014,WHEAT,25367,4140,0,0,29507,2025-12
INV-0000129,WAREHOUSE,WH-015,RICE,16431,2899,0,0,19330,2025-12
INV-0000130,WAREHOUSE,WH-015,WHEAT,18127,4646,0,0,22773,2025-12
INV-0000131,WAREHOUSE,WH-016,RICE,18660,2332,0,0,20992,2025-12
INV-0000132,WAREHOUSE,WH-016,WHEAT,15519,3779,0,0,19298,2025-12
INV-0000133,WAREHOUSE,WH-017,RICE,35839,8482,0,0,44321,2025-12
INV-0000134,WAREHOUSE,WH-017,WHEAT,26376,3584,0,0,29960,2025-12
INV-0000135,WAREHOUSE,WH-018,RICE,31554,8478,0,0,40032,2025-12
INV-0000136,WAREHOUSE,WH-018,WHEAT,24083,6841,0,0,30924,2025-12
INV-0000137,WAREHOUSE,WH-019,RICE,27153,7284,0,0,34437,2025-12
INV-0000138,WAREHOUSE,WH-019,WHEAT,22109,3541,0,0,25650,2025-12
INV-0000139,WAREHOUSE,WH-020,RICE,35970,8632,0,0,44602,2025-12
INV-0000140,WAREHOUSE,WH-020,WHEAT,29340,6090,0,0,35430,2025-12
INV-0000141,WAREHOUSE,WH-021,RICE,23434,2884,0,0,26318,2025-12
INV-0000142,WAREHOUSE,WH-021,WHEAT,14834,4152,0,0,18986,2025-12
INV-0000143,WAREHOUSE,WH-022,RICE,40478,6518,0,0,46996,2025-12
INV-0000144,WAREHOUSE,WH-022,WHEAT,32657,7685,0,0,40342,2025-12
INV-0000145,WAREHOUSE,WH-023,RICE,21991,4784,0,0,26775,2025-12
INV-0000146,WAREHOUSE,WH-023,WHEAT,19305,5490,0,0,24795,2025-12
INV-0000147,WAREHOUSE,WH-024,RICE,58919,12804,0,0,71723,2025-12
INV-0000148,WAREHOUSE,WH-024,WHEAT,42980,8413,0,0,51393,2025-12
INV-0000149,WAREHOUSE,WH-025,RICE,27427,4000,0,0,31427,2025-12
INV-0000150,WAREHOUSE,WH-025,WHEAT,21957,4364,0,0,26321,2025-12
INV-0000151,WAREHOUSE,WH-001,RICE,20281,2159,3961,0,18479,2026-01
INV-0000152,WAREHOUSE,WH-001,WHEAT,16680,2560,3208,0,16032,2026-01
INV-0000153,WAREHOUSE,WH-002,RICE,41144,11925,3697,0,49372,2026-01
INV-0000154,WAREHOUSE,WH-002,WHEAT,35210,6325,2873,0,38662,2026-01
INV-0000155,WAREHOUSE,WH-003,RICE,21548,4097,3822,0,21823,2026-01
INV-0000156,WAREHOUSE,WH-003,WHEAT,18825,2403,3007,0,18221,2026-01
INV-0000157,WAREHOUSE,WH-004,RICE,25827,7504,3707,0,29624,2026-01
INV-0000158,WAREHOUSE,WH-004,WHEAT,23980,5029,3052,0,25957,2026-01
INV-0000159,WAREHOUSE,WH-005,RICE,58341,9281,3999,0,63623,2026-01
INV-0000160,WAREHOUSE,WH-005,WHEAT,53901,13414,3370,0,63945,2026-01
INV-0000161,WAREHOUSE,WH-006,RICE,30269,3123,3665,0,29727,2026-01
INV-0000162,WAREHOUSE,WH-006,WHEAT,26352,6141,3044,0,29449,2026-01
INV-0000163,WAREHOUSE,WH-007,RICE,21752,5260,4044,0,22968,2026-01
INV-0000164,WAREHOUSE,WH-007,WHEAT,19088,3996,3083,0,20001,2026-01
INV-0000165,WAREHOUSE,WH-008,RICE,47949,9350,4009,0,53290,2026-01
INV-0000166,WAREHOUSE,WH-008,WHEAT,32099,5018,3095,0,34022,2026-01
INV-0000167,WAREHOUSE,WH-009,RICE,43131,6568,3899,0,45800,2026-01
INV-0000168,WAREHOUSE,WH-009,WHEAT,29669,3089,3292,0,29466,2026-01
INV-0000169,WAREHOUSE,WH-010,RICE,38236,8662,3775,0,43123,2026-01
INV-0000170,WAREHOUSE,WH-010,WHEAT,37943,9459,3064,0,44338,2026-01
INV-0000171,WAREHOUSE,WH-011,RICE,19578,4837,4021,0,20394,2026-01
INV-0000172,WAREHOUSE,WH-011,WHEAT,15622,3596,3027,0,16191,2026-01
INV-0000173,WAREHOUSE,WH-012,RICE,23770,6851,4991,0,25630,2026-01
INV-0000174,WAREHOUSE,WH-012,WHEAT,28548,6630,3328,0,31850,2026-01
INV-0000175,WAREHOUSE,WH-013,RICE,40810,12090,3642,0,49258,2026-01
INV-0000176,WAREHOUSE,WH-013,WHEAT,27368,4052,3018,0,28402,2026-01
INV-0000177,WAREHOUSE,WH-014,RICE,30645,9111,3745,0,36011,2026-01
INV-0000178,WAREHOUSE,WH-014,WHEAT,25489,4440,3008,0,26921,2026-01
INV-0000179,WAREHOUSE,WH-015,RICE,18979,5449,3803,0,20625,2026-01
INV-0000180,WAREHOUSE,WH-015,WHEAT,20076,2097,3026,0,19147,2026-01
INV-0000181,WAREHOUSE,WH-016,RICE,18197,3528,3718,0,18007,2026-01
INV-0000182,WAREHOUSE,WH-016,WHEAT,15815,4410,2975,0,17250,2026-01
INV-0000183,WAREHOUSE,WH-017,RICE,36019,4431,3809,0,36641,2026-01
INV-0000184,WAREHOUSE,WH-017,WHEAT,25681,3831,3014,0,26498,2026-01
INV-0000185,WAREHOUSE,WH-018,RICE,30313,5362,3868,0,31807,2026-01
INV-0000186,WAREHOUSE,WH-018,WHEAT,25160,2538,3030,0,24668,2026-01
INV-0000187,WAREHOUSE,WH-019,RICE,24588,4445,3799,0,25234,2026-01
INV-0000188,WAREHOUSE,WH-019,WHEAT,23007,3137,3147,0,22997,2026-01
INV-0000189,WAREHOUSE,WH-020,RICE,34593,6682,3692,0,37583,2026-01
INV-0000190,WAREHOUSE,WH-020,WHEAT,30514,8537,2908,0,36143,2026-01
INV-0000191,WAREHOUSE,WH-021,RICE,20797,4828,3824,0,21801,2026-01
INV-0000192,WAREHOUSE,WH-021,WHEAT,16652,4655,3294,0,18013,2026-01
INV-0000193,WAREHOUSE,WH-022,RICE,37579,8598,4483,0,41694,2026-01
INV-0000194,WAREHOUSE,WH-022,WHEAT,33150,6959,3305,0,36804,2026-01
INV-0000195,WAREHOUSE,WH-023,RICE,18384,3737,3779,0,18342,2026-01
INV-0000196,WAREHOUSE,WH-023,WHEAT,16077,1947,3398,0,14626,2026-01
INV-0000197,WAREHOUSE,WH-024,RICE,53251,10043,4050,0,59244,2026-01
INV-0000198,WAREHOUSE,WH-024,WHEAT,40449,11358,3061,0,48746,2026-01
INV-0000199,WAREHOUSE,WH-025,RICE,32693,8526,3738,0,37481,2026-01
INV-0000200,WAREHOUSE,WH-025,WHEAT,22385,3833,3172,0,23046,2026-01
INV-0000201,WAREHOUSE,WH-001,RICE,22629,5806,12947,0,15488,2026-02
INV-0000202,WAREHOUSE,WH-001,WHEAT,16369,4573,3192,0,17750,2026-02
INV-0000203,WAREHOUSE,WH-002,RICE,39103,6292,3426,0,41969,2026-02
INV-0000204,WAREHOUSE,WH-002,WHEAT,35623,3671,2886,0,36408,2026-02
INV-0000205,WAREHOUSE,WH-003,RICE,19659,2718,3707,0,18670,2026-02
INV-0000206,WAREHOUSE,WH-003,WHEAT,16827,3322,3029,0,17120,2026-02
INV-0000207,WAREHOUSE,WH-004,RICE,24948,2788,3572,0,24164,2026-02
INV-0000208,WAREHOUSE,WH-004,WHEAT,24872,3716,3197,0,25391,2026-02
INV-0000209,WAREHOUSE,WH-005,RICE,62651,16117,3999,0,74769,2026-02
INV-0000210,WAREHOUSE,WH-005,WHEAT,55827,9290,3185,0,61932,2026-02
INV-0000211,WAREHOUSE,WH-006,RICE,27942,4147,3856,0,28233,2026-02
INV-0000212,WAREHOUSE,WH-006,WHEAT,28573,3265,3105,0,28733,2026-02
INV-0000213,WAREHOUSE,WH-007,RICE,21736,4037,3841,0,21932,2026-02
INV-0000214,WAREHOUSE,WH-007,WHEAT,16398,2959,3059,0,16298,2026-02
INV-0000215,WAREHOUSE,WH-008,RICE,43456,12512,3957,0,52011,2026-02
INV-0000216,WAREHOUSE,WH-008,WHEAT,33762,6501,3060,0,37203,2026-02
INV-0000217,WAREHOUSE,WH-009,RICE,44554,13213,3895,0,53872,2026-02
INV-0000218,WAREHOUSE,WH-009,WHEAT,30866,5739,3316,0,33289,2026-02
INV-0000219,WAREHOUSE,WH-010,RICE,40444,10213,3800,0,46857,2026-02
INV-0000220,WAREHOUSE,WH-010,WHEAT,37467,8209,3058,0,42618,2026-02
INV-0000221,WAREHOUSE,WH-011,RICE,20029,2663,3841,0,18851,2026-02
INV-0000222,WAREHOUSE,WH-011,WHEAT,15985,1884,3064,0,14805,2026-02
INV-0000223,WAREHOUSE,WH-012,RICE,28990,6074,3879,0,31185,2026-02
INV-0000224,WAREHOUSE,WH-012,WHEAT,25079,2597,3246,0,24430,2026-02
INV-0000225,WAREHOUSE,WH-013,RICE,41799,6477,3710,0,44566,2026-02
INV-0000226,WAREHOUSE,WH-013,WHEAT,28222,8127,3070,0,33279,2026-02
INV-0000227,WAREHOUSE,WH-014,RICE,29913,8845,3849,0,34909,2026-02
INV-0000228,WAREHOUSE,WH-014,WHEAT,23173,4971,3170,0,24974,2026-02
INV-0000229,WAREHOUSE,WH-015,RICE,16879,2362,3708,0,15533,2026-02
INV-0000230,WAREHOUSE,WH-015,WHEAT,17627,1780,2862,0,16545,2026-02
INV-0000231,WAREHOUSE,WH-016,RICE,16632,2643,3530,0,15745,2026-02
INV-0000232,WAREHOUSE,WH-016,WHEAT,13980,1824,2891,0,12913,2026-02
INV-0000233,WAREHOUSE,WH-017,RICE,42308,8900,3499,0,47709,2026-02
INV-0000234,WAREHOUSE,WH-017,WHEAT,31457,6305,2957,0,34805,2026-02
INV-0000235,WAREHOUSE,WH-018,RICE,31899,4173,4101,0,31971,2026-02
INV-0000236,WAREHOUSE,WH-018,WHEAT,26308,5964,3154,0,29118,2026-02
INV-0000237,WAREHOUSE,WH-019,RICE,28995,8219,3996,0,33218,2026-02
INV-0000238,WAREHOUSE,WH-019,WHEAT,21039,3248,3170,0,21117,2026-02
INV-0000239,WAREHOUSE,WH-020,RICE,36271,9295,3582,0,41984,2026-02
INV-0000240,WAREHOUSE,WH-020,WHEAT,33656,7070,3103,0,37623,2026-02
INV-0000241,WAREHOUSE,WH-021,RICE,24812,2831,3786,0,23857,2026-02
INV-0000242,WAREHOUSE,WH-021,WHEAT,15340,2316,3199,0,14457,2026-02
INV-0000243,WAREHOUSE,WH-022,RICE,39471,6799,4003,0,42267,2026-02
INV-0000244,WAREHOUSE,WH-022,WHEAT,30683,3118,3228,0,30573,2026-02
INV-0000245,WAREHOUSE,WH-023,RICE,18137,4056,3755,0,18438,2026-02
INV-0000246,WAREHOUSE,WH-023,WHEAT,19147,4109,3091,0,20165,2026-02
INV-0000247,WAREHOUSE,WH-024,RICE,57851,17192,3809,0,71234,2026-02
INV-0000248,WAREHOUSE,WH-024,WHEAT,38991,8468,3174,0,44285,2026-02
INV-0000249,WAREHOUSE,WH-025,RICE,30689,4437,3749,0,31377,2026-02
INV-0000250,WAREHOUSE,WH-025,WHEAT,20546,2765,3071,0,20240,2026-02
INV-0000251,WAREHOUSE,WH-001,RICE,19705,4784,5111,0,19378,2026-03
INV-0000252,WAREHOUSE,WH-001,WHEAT,17816,4003,4220,0,17599,2026-03
INV-0000253,WAREHOUSE,WH-002,RICE,37746,6655,4629,0,39772,2026-03
INV-0000254,WAREHOUSE,WH-002,WHEAT,38670,7836,4506,0,42000,2026-03
INV-0000255,WAREHOUSE,WH-003,RICE,19467,3819,5063,0,18223,2026-03
INV-0000256,WAREHOUSE,WH-003,WHEAT,18484,2655,4393,0,16746,2026-03
INV-0000257,WAREHOUSE,WH-004,RICE,25952,4250,4924,0,25278,2026-03
INV-0000258,WAREHOUSE,WH-004,WHEAT,24490,4931,4304,0,25117,2026-03
INV-0000259,WAREHOUSE,WH-005,RICE,58219,7993,4887,0,61325,2026-03
INV-0000260,WAREHOUSE,WH-005,WHEAT,48311,6267,4582,0,49996,2026-03
INV-0000261,WAREHOUSE,WH-006,RICE,26318,7514,4581,0,29251,2026-03
INV-0000262,WAREHOUSE,WH-006,WHEAT,25361,7575,4392,0,28544,2026-03
INV-0000263,WAREHOUSE,WH-007,RICE,24258,2985,4715,0,22528,2026-03
INV-0000264,WAREHOUSE,WH-007,WHEAT,18909,4107,4547,0,18469,2026-03
INV-0000265,WAREHOUSE,WH-008,RICE,48421,11476,4759,0,55138,2026-03
INV-0000266,WAREHOUSE,WH-008,WHEAT,34064,4988,4369,0,34683,2026-03
INV-0000267,WAREHOUSE,WH-009,RICE,43564,9339,4686,0,48217,2026-03
INV-0000268,WAREHOUSE,WH-009,WHEAT,32670,7663,4467,0,35866,2026-03
INV-0000269,WAREHOUSE,WH-010,RICE,36621,4882,5044,0,36459,2026-03
INV-0000270,WAREHOUSE,WH-010,WHEAT,37276,5162,4539,0,37899,2026-03
INV-0000271,WAREHOUSE,WH-011,RICE,21767,2474,4602,0,19639,2026-03
INV-0000272,WAREHOUSE,WH-011,WHEAT,16396,4577,4393,0,16580,2026-03
INV-0000273,WAREHOUSE,WH-012,RICE,29067,3911,4767,0,28211,2026-03
INV-0000274,WAREHOUSE,WH-012,WHEAT,24688,3382,4410,0,23660,2026-03
INV-0000275,WAREHOUSE,WH-013,RICE,35576,10278,4893,0,40961,2026-03
INV-0000276,WAREHOUSE,WH-013,WHEAT,27141,4857,4390,0,27608,2026-03
INV-0000277,WAREHOUSE,WH-014,RICE,29186,7240,4675,0,31751,2026-03
INV-0000278,WAREHOUSE,WH-014,WHEAT,24175,7216,4348,0,27043,2026-03
INV-0000279,WAREHOUSE,WH-015,RICE,16038,2900,4513,0,14425,2026-03
INV-0000280,WAREHOUSE,WH-015,WHEAT,20587,5282,4248,0,21621,2026-03
INV-0000281,WAREHOUSE,WH-016,RICE,18327,4317,4562,0,18082,2026-03
INV-0000282,WAREHOUSE,WH-016,WHEAT,14405,2780,4127,0,13058,2026-03
INV-0000283,WAREHOUSE,WH-017,RICE,34609,9458,4566,0,39501,2026-03
INV-0000284,WAREHOUSE,WH-017,WHEAT,29683,7086,4492,0,32277,2026-03
INV-0000285,WAREHOUSE,WH-018,RICE,29328,5727,4978,0,30077,2026-03
INV-0000286,WAREHOUSE,WH-018,WHEAT,24666,4839,4401,0,25104,2026-03
INV-0000287,WAREHOUSE,WH-019,RICE,29088,7185,4702,0,31571,2026-03
INV-0000288,WAREHOUSE,WH-019,WHEAT,21234,6214,4634,0,22814,2026-03
INV-0000289,WAREHOUSE,WH-020,RICE,39167,6414,4657,0,40924,2026-03
INV-0000290,WAREHOUSE,WH-020,WHEAT,28931,8581,4256,0,33256,2026-03
INV-0000291,WAREHOUSE,WH-021,RICE,23694,6512,4646,0,25560,2026-03
INV-0000292,WAREHOUSE,WH-021,WHEAT,15251,2672,4216,0,13707,2026-03
INV-0000293,WAREHOUSE,WH-022,RICE,38145,9947,5378,0,42714,2026-03
INV-0000294,WAREHOUSE,WH-022,WHEAT,30588,4734,4696,0,30626,2026-03
INV-0000295,WAREHOUSE,WH-023,RICE,21401,5427,4742,0,22086,2026-03
INV-0000296,WAREHOUSE,WH-023,WHEAT,17226,2739,4501,0,15464,2026-03
INV-0000297,WAREHOUSE,WH-024,RICE,59322,12123,4692,0,66753,2026-03
INV-0000298,WAREHOUSE,WH-024,WHEAT,44255,8413,4584,0,48084,2026-03
INV-0000299,WAREHOUSE,WH-025,RICE,32535,3659,4802,0,31392,2026-03
INV-0000300,WAREHOUSE,WH-025,WHEAT,24163,4279,4114,0,24328,2026-03
INV-0000301,FPS,FPS-0001,RICE,112,231,0,144,199,2026-01
INV-0000302,FPS,FPS-0001,WHEAT,126,169,0,103,192,2026-01
INV-0000303,FPS,FPS-0002,RICE,179,117,0,97,199,2026-01
INV-0000304,FPS,FPS-0002,WHEAT,254,121,0,74,301,2026-01
INV-0000305,FPS,FPS-0003,RICE,210,226,0,139,297,2026-01
INV-0000306,FPS,FPS-0003,WHEAT,86,172,0,134,124,2026-01
INV-0000307,FPS,FPS-0004,RICE,54,121,0,101,74,2026-01
INV-0000308,FPS,FPS-0004,WHEAT,214,96,0,61,249,2026-01
INV-0000309,FPS,FPS-0005,RICE,196,179,0,129,246,2026-01
INV-0000310,FPS,FPS-0005,WHEAT,58,143,0,107,94,2026-01
INV-0000311,FPS,FPS-0006,RICE,178,207,0,147,238,2026-01
INV-0000312,FPS,FPS-0006,WHEAT,173,138,0,89,222,2026-01
INV-0000313,FPS,FPS-0007,RICE,118,111,0,98,131,2026-01
