vehicle_id,vehicle_number,vehicle_type,capacity_kg,current_status,warehouse_id,driver_id,latitude,longitude,availability_start,availability_end
VEH-0031,KA-13-KD-2734,SMALL,736,DELIVERED,WH-006,DRV-0031,14.011145,75.390291,2025-01-01,2026-12-31
VEH-0032,KA-12-FB-8043,SMALL,772,AVAILABLE,WH-007,DRV-0032,12.70298,77.540304,2025-01-01,2026-12-31
VEH-0033,KA-05-ZN-1255,SMALL,817,AVAILABLE,WH-008,DRV-0033,12.58226,76.386565,2025-01-01,2026-12-31
VEH-0034,KA-22-OY-8009,HEAVY,4759,AVAILABLE,WH-009,DRV-0034,13.575025,76.971292,2025-01-01,2026-12-31
VEH-0035,KA-17-RP-3790,MEDIUM,1635,ASSIGNED,WH-010,DRV-0035,12.822297,77.058045,2025-01-01,2026-12-31
VEH-0036,KA-07-HT-6917,SMALL,798,AVAILABLE,WH-011,DRV-0036,12.774179,76.182332,2025-01-01,2026-12-31
VEH-0037,KA-23-CV-7185,LARGE,2956,AVAILABLE,WH-012,DRV-0037,13.794595,75.64635,2025-01-01,2026-12-31
VEH-0038,KA-14-FR-8265,LARGE,2838,AVAILABLE,WH-013,DRV-0038,12.791122,77.584649,2025-01-01,2026-12-31
VEH-0039,KA-08-ZL-2187,HEAVY,5167,AVAILABLE,WH-014,DRV-0039,12.324097,76.900272,2025-01-01,2026-12-31
VEH-0040,KA-06-YU-2605,MEDIUM,1510,IN_TRANSIT,WH-015,DRV-0040,13.517333,76.95569,2025-01-01,2026-12-31
VEH-0041,KA-23-SH-9272,LARGE,3243,AVAILABLE,WH-016,DRV-0041,12.507167,76.586467,2025-01-01,2026-12-31
VEH-0042,KA-22-NK-8749,LARGE,2968,MAINTENANCE,WH-017,DRV-0042,13.179628,75.804266,2025-01-01,2026-12-31
VEH-0043,KA-10-SB-7340,HEAVY,4704,AVAILABLE,WH-018,DRV-0043,13.669074,75.756428,2025-01-01,2026-12-31
VEH-0044,KA-25-TV-3623,HEAVY,5480,AVAILABLE,WH-019,DRV-0044,12.878226,77.788354,2025-01-01,2026-12-31
VEH-0045,KA-27-RR-9705,SMALL,739,AVAILABLE,WH-020,DRV-0045,12.256658,76.435449,2025-01-01,2026-12-31
VEH-0046,KA-23-PT-6558,SMALL,825,IN_TRANSIT,WH-021,DRV-0046,13.591839,76.832463,2025-01-01,2026-12-31
VEH-0047,KA-12-SY-7349,SMALL,774,AVAILABLE,WH-022,DRV-0047,12.406796,76.633106,2025-01-01,2026-12-31
VEH-0048,KA-28-AW-6600,LARGE,3056,ASSIGNED,WH-023,DRV-0048,12.854121,76.019909,2025-01-01,2026-12-31
VEH-0049,KA-06-DR-8607,MEDIUM,1605,DELIVERED,WH-024,DRV-0049,13.700281,75.813608,2025-01-01,2026-12-31
VEH-0050,KA-29-EC-6015,HEAVY,5499,AVAILABLE,WH-025,DRV-0050,13.00404,77.649752,2025-01-01,2026-12-31
VEH-0051,KA-07-AL-4431,SMALL,808,IN_TRANSIT,WH-001,DRV-0051,13.267101,77.767636,2025-01-01,2026-12-31
VEH-0052,KA-21-CN-5748,LARGE,3289,IN_TRANSIT,WH-002,DRV-0052,12.111243,76.598133,2025-01-01,2026-12-31
VEH-0053,KA-10-ZG-6818,LARGE,3213,AVAILABLE,WH-003,DRV-0053,13.313706,76.914474,2025-01-01,2026-12-31
VEH-0054,KA-24-FY-2993,MEDIUM,1431,AVAILABLE,WH-004,DRV-0054,12.512099,76.820818,2025-01-01,2026-12-31
VEH-0055,KA-18-WB-4621,LARGE,3052,AVAILABLE,WH-005,DRV-0055,13.331678,76.204792,2025-01-01,2026-12-31
VEH-0056,KA-07-SZ-4947,HEAVY,5332,AVAILABLE,WH-006,DRV-0056,13.983062,75.411157,2025-01-01,2026-12-31
VEH-0057,KA-28-VK-6537,LARGE,3172,AVAILABLE,WH-007,DRV-0057,12.721617,77.548771,2025-01-01,2026-12-31
VEH-0058,KA-03-ES-6486,HEAVY,5000,IN_TRANSIT,WH-008,DRV-0058,12.596605,76.391476,2025-01-01,2026-12-31
VEH-0059,KA-01-JV-8847,HEAVY,5268,ASSIGNED,WH-009,DRV-0059,13.589186,76.967929,2025-01-01,2026-12-31
VEH-0060,KA-25-AI-1458,SMALL,848,AVAILABLE,WH-010,DRV-0060,12.803421,77.079899,2025-01-01,2026-12-31
VEH-0061,KA-17-UC-3689,HEAVY,5057,AVAILABLE,WH-011,DRV-0061,12.73549,76.186514,2025-01-01,2026-12-31
VEH-0062,KA-16-WV-7768,MEDIUM,1642,DELIVERED,WH-012,DRV-0062,13.768976,75.630641,2025-01-01,2026-12-31
VEH-0063,KA-21-XJ-5641,MEDIUM,1383,AVAILABLE,WH-013,DRV-0063,12.790783,77.576203,2025-01-01,2026-12-31
VEH-0064,KA-22-PV-2697,LARGE,2818,AVAILABLE,WH-014,DRV-0064,12.32346,76.891471,2025-01-01,2026-12-31
VEH-0065,KA-03-VA-6054,LARGE,3095,MAINTENANCE,WH-015,DRV-0065,13.530617,76.966734,2025-01-01,2026-12-31
VEH-0066,KA-19-VR-1454,LARGE,3040,AVAILABLE,WH-016,DRV-0066,12.498905,76.561033,2025-01-01,2026-12-31
VEH-0067,KA-22-RR-1742,SMALL,770,AVAILABLE,WH-017,DRV-0067,13.182629,75.832559,2025-01-01,2026-12-31
VEH-0068,KA-06-ET-9033,MEDIUM,1433,DELIVERED,WH-018,DRV-0068,13.664617,75.766476,2025-01-01,2026-12-31
VEH-0069,KA-01-KA-6455,LARGE,2813,ASSIGNED,WH-019,DRV-0069,12.887415,77.811546,2025-01-01,2026-12-31
VEH-0070,KA-24-VK-9938,HEAVY,5041,AVAILABLE,WH-020,DRV-0070,12.264874,76.448249,2025-01-01,2026-12-31
VEH-0071,KA-11-MP-8131,HEAVY,5087,AVAILABLE,WH-021,DRV-0071,13.596525,76.844284,2025-01-01,2026-12-31
VEH-0072,KA-04-MF-6668,HEAVY,5105,DELIVERED,WH-022,DRV-0072,12.415963,76.66131,2025-01-01,2026-12-31
VEH-0073,KA-23-VC-3056,HEAVY,4737,ASSIGNED,WH-023,DRV-0073,12.869128,76.046634,2025-01-01,2026-12-31
VEH-0074,KA-12-MC-9852,LARGE,2971,ASSIGNED,WH-024,DRV-0074,13.668176,75.804837,2025-01-01,2026-12-31
VEH-0075,KA-02-GP-7805,HEAVY,4586,AVAILABLE,WH-025,DRV-0075,13.034745,77.631581,2025-01-01,2026-12-31
VEH-0076,KA-26-SA-9588,HEAVY,4511,AVAILABLE,WH-001,DRV-0076,13.285565,77.756445,2025-01-01,2026-12-31
VEH-0077,KA-07-PL-4102,HEAVY,4850,AVAILABLE,WH-002,DRV-0077,12.115882,76.623509,2025-01-01,2026-12-31
VEH-0078,KA-21-VI-6860,MEDIUM,1557,ASSIGNED,WH-003,DRV-0078,13.320065,76.886069,2025-01-01,2026-12-31
VEH-0079,KA-19-NC-6351,HEAVY,5273,AVAILABLE,WH-004,DRV-0079,12.493836,76.787277,2025-01-01,2026-12-31
VEH-0080,KA-11-UO-9474,MEDIUM,1559,ASSIGNED,WH-005,DRV-0080,13.329803,76.21471,2025-01-01,2026-12-31
VEH-0081,KA-22-NK-2900,MEDIUM,1582,AVAILABLE,WH-006,DRV-0081,13.982356,75.411985,2025-01-01,2026-12-31
VEH-0082,KA-03-ID-7613,HEAVY,4906,AVAILABLE,WH-007,DRV-0082,12.700711,77.564777,2025-01-01,2026-12-31
VEH-0083,KA-04-OA-5486,SMALL,797,AVAILABLE,WH-008,DRV-0083,12.611568,76.41693,2025-01-01,2026-12-31
VEH-0084,KA-14-NC-8591,LARGE,3010,AVAILABLE,WH-009,DRV-0084,13.579801,76.961107,2025-01-01,2026-12-31
VEH-0085,KA-28-QU-6093,SMALL,744,ASSIGNED,WH-010,DRV-0085,12.836342,77.07777,2025-01-01,2026-12-31
VEH-0086,KA-10-AB-4320,LARGE,2787,IN_TRANSIT,WH-011,DRV-0086,12.741097,76.157268,2025-01-01,2026-12-31
VEH-0087,KA-15-KE-2962,SMALL,754,MAINTENANCE,WH-012,DRV-0087,13.780551,75.655564,2025-01-01,2026-12-31
VEH-0088,KA-24-PJ-1265,MEDIUM,1477,ASSIGNED,WH-013,DRV-0088,12.780221,77.572101,2025-01-01,2026-12-31
VEH-0089,KA-26-HX-4329,MEDIUM,1609,DELIVERED,WH-014,DRV-0089,12.29866,76.885504,2025-01-01,2026-12-31
VEH-0090,KA-13-VW-6191,MEDIUM,1403,DELIVERED,WH-015,DRV-0090,13.525632,76.939264,2025-01-01,2026-12-31
VEH-0091,KA-08-QG-6529,LARGE,3038,AVAILABLE,WH-016,DRV-0091,12.49577,76.580261,2025-01-01,2026-12-31
VEH-0092,KA-15-WU-3793,SMALL,805,AVAILABLE,WH-017,DRV-0092,13.171946,75.839613,2025-01-01,2026-12-31
VEH-0093,KA-28-KO-3814,HEAVY,4800,AVAILABLE,WH-018,DRV-0093,13.63919,75.773802,2025-01-01,2026-12-31
VEH-0094,KA-14-UT-8730,HEAVY,4868,ASSIGNED,WH-019,DRV-0094,12.897298,77.793186,2025-01-01,2026-12-31
VEH-0095,KA-18-LS-6209,LARGE,2935,ASSIGNED,WH-020,DRV-0095,12.244593,76.419358,2025-01-01,2026-12-31
VEH-0096,KA-04-EW-7132,LARGE,2917,AVAILABLE,WH-021,DRV-0096,13.60276,76.825905,2025-01-01,2026-12-31
VEH-0097,KA-19-OX-3542,LARGE,3072,ASSIGNED,WH-022,DRV-0097,12.422953,76.648333,2025-01-01,2026-12-31
VEH-0098,KA-09-LZ-8290,MEDIUM,1370,AVAILABLE,WH-023,DRV-0098,12.875475,76.025125,2025-01-01,2026-12-31
VEH-0099,KA-27-NB-9845,SMALL,831,AVAILABLE,WH-024,DRV-0099,13.678048,75.834543,2025-01-01,2026-12-31
VEH-0100,KA-10-RF-6422,HEAVY,5249,AVAILABLE,WH-025,DRV-0100,13.032371,77.631139,2025-01-01,2026-12-31
VEH-0101,KA-14-UQ-9444,LARGE,2844,AVAILABLE,WH-001,DRV-0101,13.296801,77.741989,2025-01-01,2026-12-31
VEH-0102,KA-29-XV-5927,HEAVY,4970,AVAILABLE,WH-002,DRV-0102,12.094794,76.620512,2025-01-01,2026-12-31
VEH-0103,KA-06-JN-7484,MEDIUM,1378,AVAILABLE,WH-003,DRV-0103,13.304395,76.885008,2025-01-01,2026-12-31
VEH-0104,KA-27-HE-9130,HEAVY,4555,DELIVERED,WH-004,DRV-0104,12.485309,76.790886,2025-01-01,2026-12-31
VEH-0105,KA-08-BH-1754,LARGE,2735,DELIVERED,WH-005,DRV-0105,13.345102,76.204214,2025-01-01,2026-12-31
VEH-0106,KA-01-ZU-5314,MEDIUM,1505,AVAILABLE,WH-006,DRV-0106,13.984973,75.400004,2025-01-01,2026-12-31
VEH-0107,KA-27-ZZ-4761,SMALL,769,AVAILABLE,WH-007,DRV-0107,12.688603,77.564223,2025-01-01,2026-12-31
VEH-0108,KA-26-FO-1322,MEDIUM,1426,AVAILABLE,WH-008,DRV-0108,12.601557,76.419387,2025-01-01,2026-12-31
VEH-0109,KA-05-NT-4012,SMALL,743,AVAILABLE,WH-009,DRV-0109,13.580756,76.960319,2025-01-01,2026-12-31
VEH-0110,KA-21-HV-6559,HEAVY,5300,ASSIGNED,WH-010,DRV-0110,12.834681,77.087012,2025-01-01,2026-12-31
VEH-0111,KA-20-UQ-1344,SMALL,825,ASSIGNED,WH-011,DRV-0111,12.753485,76.150619,2025-01-01,2026-12-31
VEH-0112,KA-04-MY-1874,HEAVY,5389,AVAILABLE,WH-012,DRV-0112,13.769319,75.627322,2025-01-01,2026-12-31
VEH-0113,KA-15-MZ-9213,SMALL,872,AVAILABLE,WH-013,DRV-0113,12.795499,77.572258,2025-01-01,2026-12-31
VEH-0114,KA-21-TC-9335,SMALL,769,AVAILABLE,WH-014,DRV-0114,12.314952,76.882156,2025-01-01,2026-12-31
VEH-0115,KA-25-BL-8809,LARGE,3248,ASSIGNED,WH-015,DRV-0115,13.552171,76.937988,2025-01-01,2026-12-31
VEH-0116,KA-22-BU-8669,LARGE,3244,AVAILABLE,WH-016,DRV-0116,12.50097,76.569012,2025-01-01,2026-12-31
VEH-0117,KA-10-HD-4468,LARGE,2876,IN_TRANSIT,WH-017,DRV-0117,13.144889,75.804726,2025-01-01,2026-12-31
VEH-0118,KA-17-UU-2543,SMALL,803,ASSIGNED,WH-018,DRV-0118,13.651132,75.771512,2025-01-01,2026-12-31
VEH-0119,KA-02-DW-6187,MEDIUM,1537,MAINTENANCE,WH-019,DRV-0119,12.872697,77.777294,2025-01-01,2026-12-31
VEH-0120,KA-14-XZ-9321,HEAVY,4633,DELIVERED,WH-020,DRV-0120,12.270881,76.443951,2025-01-01,2026-12-31
VEH-0121,KA-05-WL-7148,LARGE,3027,MAINTENANCE,WH-021,DRV-0121,13.592875,76.837264,2025-01-01,2026-12-31
VEH-0122,KA-27-QS-5680,SMALL,754,AVAILABLE,WH-022,DRV-0122,12.407896,76.644039,2025-01-01,2026-12-31
VEH-0123,KA-13-PT-5938,HEAVY,5054,ASSIGNED,WH-023,DRV-0123,12.879912,76.024182,2025-01-01,2026-12-31
VEH-0124,KA-18-MK-6932,HEAVY,5265,AVAILABLE,WH-024,DRV-0124,13.668623,75.806381,2025-01-01,2026-12-31
VEH-0125,KA-12-KU-1957,SMALL,800,ASSIGNED,WH-025,DRV-0125,13.034785,77.626578,2025-01-01,2026-12-31
VEH-0126,KA-15-NU-8738,HEAVY,5371,AVAILABLE,WH-001,DRV-0126,13.287653,77.768751,2025-01-01,2026-12-31
VEH-0127,KA-17-GJ-2119,HEAVY,5326,IN_TRANSIT,WH-002,DRV-0127,12.1077,76.593196,2025-01-01,2026-12-31
VEH-0128,KA-04-IP-2682,LARGE,3176,DELIVERED,WH-003,DRV-0128,13.336508,76.901634,2025-01-01,2026-12-31
VEH-0129,KA-12-LA-8732,MEDIUM,1423,DELIVERED,WH-004,DRV-0129,12.501132,76.789024,2025-01-01,2026-12-31
VEH-0130,KA-11-NE-8661,SMALL,823,DELIVERED,WH-005,DRV-0130,13.320471,76.217333,2025-01-01,2026-12-31
VEH-0131,KA-04-MO-8906,MEDIUM,1531,AVAILABLE,WH-006,DRV-0131,13.99208,75.401534,2025-01-01,2026-12-31
VEH-0132,KA-12-DM-4683,SMALL,755,AVAILABLE,WH-007,DRV-0132,12.709328,77.53386,2025-01-01,2026-12-31
VEH-0133,KA-23-HW-4907,HEAVY,5195,ASSIGNED,WH-008,DRV-0133,12.592777,76.383468,2025-01-01,2026-12-31
VEH-0134,KA-15-NV-5389,HEAVY,4648,AVAILABLE,WH-009,DRV-0134,13.55936,76.97257,2025-01-01,2026-12-31
VEH-0135,KA-25-PC-1601,MEDIUM,1596,AVAILABLE,WH-010,DRV-0135,12.807231,77.085206,2025-01-01,2026-12-31
VEH-0136,KA-14-OP-7971,HEAVY,5103,AVAILABLE,WH-011,DRV-0136,12.773754,76.179548,2025-01-01,2026-12-31
VEH-0137,KA-18-VH-4473,LARGE,2750,DELIVERED,WH-012,DRV-0137,13.77917,75.640421,2025-01-01,2026-12-31
VEH-0138,KA-15-XW-2537,HEAVY,4536,AVAILABLE,WH-013,DRV-0138,12.801655,77.57171,2025-01-01,2026-12-31
VEH-0139,KA-25-WL-5422,LARGE,2790,MAINTENANCE,WH-014,DRV-0139,12.298982,76.8964,2025-01-01,2026-12-31
VEH-0140,KA-08-OV-2778,HEAVY,5247,AVAILABLE,WH-015,DRV-0140,13.534393,76.960659,2025-01-01,2026-12-31
VEH-0141,KA-14-CA-5260,SMALL,795,AVAILABLE,WH-016,DRV-0141,12.51881,76.588168,2025-01-01,2026-12-31
VEH-0142,KA-03-TN-9693,LARGE,3037,AVAILABLE,WH-017,DRV-0142,13.176584,75.839729,2025-01-01,2026-12-31
VEH-0143,KA-28-FB-3766,LARGE,3109,AVAILABLE,WH-018,DRV-0143,13.676457,75.739821,2025-01-01,2026-12-31
VEH-0144,KA-06-OG-6461,LARGE,2821,AVAILABLE,WH-019,DRV-0144,12.897893,77.78201,2025-01-01,2026-12-31
VEH-0145,KA-01-LI-6253,SMALL,745,AVAILABLE,WH-020,DRV-0145,12.256347,76.429857,2025-01-01,2026-12-31
VEH-0146,KA-10-ZQ-1228,HEAVY,5370,AVAILABLE,WH-021,DRV-0146,13.599734,76.844711,2025-01-01,2026-12-31
VEH-0147,KA-06-AD-7081,SMALL,807,AVAILABLE,WH-022,DRV-0147,12.422818,76.66784,2025-01-01,2026-12-31
VEH-0148,KA-07-EG-8832,SMALL,763,ASSIGNED,WH-023,DRV-0148,12.846904,76.018537,2025-01-01,2026-12-31
VEH-0149,KA-28-VO-1195,LARGE,2751,AVAILABLE,WH-024,DRV-0149,13.695792,75.829292,2025-01-01,2026-12-31
VEH-0150,KA-24-GX-1649,HEAVY,4648,DELIVERED,WH-025,DRV-0150,13.018241,77.637416,2025-01-01,2026-12-31
